,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,500,2,100000.0,1.17577026432641,,0.0,62443.4,62.44340000000001,500.0,0.0,2.394130617425199,0.0288066328284088,0.0134046553597166,0.0056035253881501,0.0066360163694279,1.0979589200010709e-05,866265001493261.4,,,,0.0187971829968343,0.0105110878862584
1,1,0.03,2548,2,100000.0,2.38210252419051,,0.0,80657.4,80.65740000000001,2548.0,0.0,2.325741003490561,0.0145984063513327,0.0133187854000104,0.0057772108809357,0.004953330262536,1.899099594323481e-05,300843077395804.2,,,,0.0330100634053067,0.0172754755183797
2,2,0.03,6000,2,100000.0,7.77006215966874,,0.0,6109.8,6.109800000000001,6000.0,0.0,2.0419684389545107,0.0105897018115626,0.0113114838532097,0.0124435359207289,-0.0006389401652335,-3.186946384816687e-05,4469929680000.0,,,,0.0009036972350869,0.0001450625914362
