,Simulation Number,CPMU20.photonEnergy,PG.lineDensity,PG.cFactor,ExitSlit.totalHeight,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,500,1200,2.25,0.05,2,50000,,50000.0,100.0,,0.49914751061874085,0.17032649697400543,0.03789791637309701
1,1,500,1200,2.25,0.01,2,50000,,50000.0,100.0,,0.34096887884508326,0.18943720218380744,0.036245031216656995
2,2,1000,1200,2.25,0.05,2,50000,,50000.0,100.0,,0.9992892202477603,0.17910573568189386,0.03424805194823051
3,3,1000,1200,2.25,0.01,2,50000,,50000.0,100.0,,0.9938907067635229,0.183896076624712,0.03290201983731675
4,4,1500,1200,2.25,0.05,2,50000,,50000.0,100.0,,1.4926678111285128,0.16645985653784084,0.02950461920689005
5,5,1500,1200,2.25,0.01,2,50000,,50000.0,100.0,,1.4889851910743344,0.1623652867750527,0.031786559657135255
6,6,2000,1200,2.25,0.05,2,50000,,50000.0,100.0,,1.9982377623289265,0.17408842561557022,0.02838330896905224
7,7,2000,1200,2.25,0.01,2,50000,,50000.0,100.0,,1.99752281969586,0.16500003691371362,0.029902299798724368
8,8,2500,1200,2.25,0.05,2,50000,,50000.0,100.0,,2.481389993353332,0.18192125962479247,0.02785178007766084
9,9,2500,1200,2.25,0.01,2,50000,,50000.0,100.0,,2.478792193386198,0.16925411437292776,0.030728195294814582
10,10,3000,1200,2.25,0.05,2,50000,,50000.0,100.0,,2.9969600174526927,0.18741467174577148,0.02734906440300857
11,11,3000,1200,2.25,0.01,2,50000,,50000.0,100.0,,2.9939725630142675,0.1710075194357187,0.029345157706649572
12,12,3500,1200,2.25,0.05,2,50000,,50000.0,100.0,,3.4956023378099417,0.1880020207121048,0.02549507116560796
13,13,3500,1200,2.25,0.01,2,50000,,50000.0,100.0,,3.4869550358916968,0.1660865804269674,0.02581392615424868
14,14,4000,1200,2.25,0.05,2,50000,,50000.0,100.0,,3.987117820389358,0.16959264428254936,0.029204730812230264
15,15,4000,1200,2.25,0.01,2,50000,,50000.0,100.0,,3.9892088134538426,0.19192973982171785,0.02840632390076888
16,16,4500,1200,2.25,0.05,2,50000,,50000.0,100.0,,4.440882307386346,0.1708944544446965,0.02910807333838821
17,17,4500,1200,2.25,0.01,2,50000,,50000.0,100.0,,4.49538618648694,0.1882429986074424,0.02795722212965968
18,18,5000,1200,2.25,0.05,2,50000,,50000.0,100.0,,4.9960711726780564,0.1830719228490392,0.02619239129450076
19,19,5000,1200,2.25,0.01,2,50000,,50000.0,100.0,,4.996996520088032,0.16483746036708083,0.02619790845162459
