Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays
0,0.03,500.0,1.5,1,300000.0
1,0.03,500.0,2.25,1,300000.0
2,0.03,500.0,3.0,1,300000.0
3,0.03,500.0,5.0,1,300000.0
4,0.03,500.2,1.5,1,300000.0
5,0.03,500.2,2.25,1,300000.0
6,0.03,500.2,3.0,1,300000.0
7,0.03,500.2,5.0,1,300000.0
8,0.03,500.4,1.5,1,300000.0
9,0.03,500.4,2.25,1,300000.0
10,0.03,500.4,3.0,1,300000.0
11,0.03,500.4,5.0,1,300000.0
12,0.03,500.59999999999997,1.5,1,300000.0
13,0.03,500.59999999999997,2.25,1,300000.0
14,0.03,500.59999999999997,3.0,1,300000.0
15,0.03,500.59999999999997,5.0,1,300000.0
16,0.03,500.79999999999995,1.5,1,300000.0
17,0.03,500.79999999999995,2.25,1,300000.0
18,0.03,500.79999999999995,3.0,1,300000.0
19,0.03,500.79999999999995,5.0,1,300000.0
20,0.03,500.99999999999994,1.5,1,300000.0
21,0.03,500.99999999999994,2.25,1,300000.0
22,0.03,500.99999999999994,3.0,1,300000.0
23,0.03,500.99999999999994,5.0,1,300000.0
24,0.03,501.19999999999993,1.5,1,300000.0
25,0.03,501.19999999999993,2.25,1,300000.0
26,0.03,501.19999999999993,3.0,1,300000.0
27,0.03,501.19999999999993,5.0,1,300000.0
28,0.03,501.3999999999999,1.5,1,300000.0
29,0.03,501.3999999999999,2.25,1,300000.0
30,0.03,501.3999999999999,3.0,1,300000.0
31,0.03,501.3999999999999,5.0,1,300000.0
32,0.03,501.5999999999999,1.5,1,300000.0
33,0.03,501.5999999999999,2.25,1,300000.0
34,0.03,501.5999999999999,3.0,1,300000.0
35,0.03,501.5999999999999,5.0,1,300000.0
36,0.03,501.7999999999999,1.5,1,300000.0
37,0.03,501.7999999999999,2.25,1,300000.0
38,0.03,501.7999999999999,3.0,1,300000.0
39,0.03,501.7999999999999,5.0,1,300000.0
40,0.03,501.9999999999999,1.5,1,300000.0
41,0.03,501.9999999999999,2.25,1,300000.0
42,0.03,501.9999999999999,3.0,1,300000.0
43,0.03,501.9999999999999,5.0,1,300000.0
44,0.03,502.1999999999999,1.5,1,300000.0
45,0.03,502.1999999999999,2.25,1,300000.0
46,0.03,502.1999999999999,3.0,1,300000.0
47,0.03,502.1999999999999,5.0,1,300000.0
48,0.03,502.39999999999986,1.5,1,300000.0
49,0.03,502.39999999999986,2.25,1,300000.0
50,0.03,502.39999999999986,3.0,1,300000.0
51,0.03,502.39999999999986,5.0,1,300000.0
52,0.03,502.59999999999985,1.5,1,300000.0
53,0.03,502.59999999999985,2.25,1,300000.0
54,0.03,502.59999999999985,3.0,1,300000.0
