Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,PremirrorM2.slopeErrorMer,PG.slopeErrorMer,M3.slopeErrorSag,KB_ver.slopeErrorMer,KB_hor.slopeErrorMer
195,0.03,500.0,2.25,1,500000.0,2,0.05,0,1,0,0.2
196,0.03,500.0,2.25,1,500000.0,2,0.05,0,1,0,0.05
197,0.03,500.0,2.25,1,500000.0,2,0.05,0,1,0,0
198,0.03,500.0,2.25,1,500000.0,2,0.05,0,0.5,0.2,0.2
199,0.03,500.0,2.25,1,500000.0,2,0.05,0,0.5,0.2,0.05
200,0.03,500.0,2.25,1,500000.0,2,0.05,0,0.5,0.2,0
201,0.03,500.0,2.25,1,500000.0,2,0.05,0,0.5,0.05,0.2
202,0.03,500.0,2.25,1,500000.0,2,0.05,0,0.5,0.05,0.05
203,0.03,500.0,2.25,1,500000.0,2,0.05,0,0.5,0.05,0
204,0.03,500.0,2.25,1,500000.0,2,0.05,0,0.5,0,0.2
205,0.03,500.0,2.25,1,500000.0,2,0.05,0,0.5,0,0.05
206,0.03,500.0,2.25,1,500000.0,2,0.05,0,0.5,0,0
207,0.03,500.0,2.25,1,500000.0,2,0.05,0,0,0.2,0.2
208,0.03,500.0,2.25,1,500000.0,2,0.05,0,0,0.2,0.05
209,0.03,500.0,2.25,1,500000.0,2,0.05,0,0,0.2,0
210,0.03,500.0,2.25,1,500000.0,2,0.05,0,0,0.05,0.2
211,0.03,500.0,2.25,1,500000.0,2,0.05,0,0,0.05,0.05
212,0.03,500.0,2.25,1,500000.0,2,0.05,0,0,0.05,0
213,0.03,500.0,2.25,1,500000.0,2,0.05,0,0,0,0.2
214,0.03,500.0,2.25,1,500000.0,2,0.05,0,0,0,0.05
215,0.03,500.0,2.25,1,500000.0,2,0.05,0,0,0,0
216,0.03,500.0,2.25,1,500000.0,2,0,0.2,2,0.2,0.2
217,0.03,500.0,2.25,1,500000.0,2,0,0.2,2,0.2,0.05
218,0.03,500.0,2.25,1,500000.0,2,0,0.2,2,0.2,0
219,0.03,500.0,2.25,1,500000.0,2,0,0.2,2,0.05,0.2
220,0.03,500.0,2.25,1,500000.0,2,0,0.2,2,0.05,0.05
221,0.03,500.0,2.25,1,500000.0,2,0,0.2,2,0.05,0
222,0.03,500.0,2.25,1,500000.0,2,0,0.2,2,0,0.2
223,0.03,500.0,2.25,1,500000.0,2,0,0.2,2,0,0.05
224,0.03,500.0,2.25,1,500000.0,2,0,0.2,2,0,0
225,0.03,500.0,2.25,1,500000.0,2,0,0.2,1,0.2,0.2
226,0.03,500.0,2.25,1,500000.0,2,0,0.2,1,0.2,0.05
227,0.03,500.0,2.25,1,500000.0,2,0,0.2,1,0.2,0
228,0.03,500.0,2.25,1,500000.0,2,0,0.2,1,0.05,0.2
229,0.03,500.0,2.25,1,500000.0,2,0,0.2,1,0.05,0.05
230,0.03,500.0,2.25,1,500000.0,2,0,0.2,1,0.05,0
231,0.03,500.0,2.25,1,500000.0,2,0,0.2,1,0,0.2
232,0.03,500.0,2.25,1,500000.0,2,0,0.2,1,0,0.05
233,0.03,500.0,2.25,1,500000.0,2,0,0.2,1,0,0
234,0.03,500.0,2.25,1,500000.0,2,0,0.2,0.5,0.2,0.2
235,0.03,500.0,2.25,1,500000.0,2,0,0.2,0.5,0.2,0.05
236,0.03,500.0,2.25,1,500000.0,2,0,0.2,0.5,0.2,0
237,0.03,500.0,2.25,1,500000.0,2,0,0.2,0.5,0.05,0.2
238,0.03,500.0,2.25,1,500000.0,2,0,0.2,0.5,0.05,0.05
239,0.03,500.0,2.25,1,500000.0,2,0,0.2,0.5,0.05,0
240,0.03,500.0,2.25,1,500000.0,2,0,0.2,0.5,0,0.2
241,0.03,500.0,2.25,1,500000.0,2,0,0.2,0.5,0,0.05
242,0.03,500.0,2.25,1,500000.0,2,0,0.2,0.5,0,0
243,0.03,500.0,2.25,1,500000.0,2,0,0.2,0,0.2,0.2
244,0.03,500.0,2.25,1,500000.0,2,0,0.2,0,0.2,0.05
245,0.03,500.0,2.25,1,500000.0,2,0,0.2,0,0.2,0
246,0.03,500.0,2.25,1,500000.0,2,0,0.2,0,0.05,0.2
247,0.03,500.0,2.25,1,500000.0,2,0,0.2,0,0.05,0.05
248,0.03,500.0,2.25,1,500000.0,2,0,0.2,0,0.05,0
249,0.03,500.0,2.25,1,500000.0,2,0,0.2,0,0,0.2
