,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,PremirrorM2.slopeErrorMer,PG.slopeErrorMer,M3.slopeErrorSag,KB_ver.slopeErrorMer,KB_hor.slopeErrorMer,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
25,25,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.2,0.5,0.0,0.05,,10739.4,5.3697,500.0,0.0633133321094959,0.0138110807053588,0.0098883094765633,74492791528301.9,7.9234995289633,42.55083979371021,590299427920931.5,0.00161642757342,0.0009038807723928
26,26,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.2,0.5,0.0,0.0,,10753.0,5.376499999999999,500.0,0.0626985748266065,0.0144440985611138,0.0099056226736873,74587126590296.5,7.99916481224672,43.00817696173935,596643976464823.9,0.0016184745606817,0.0009050254153435
27,27,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.2,0.0,0.2,0.2,,10766.25,5.383125000000001,500.0,0.0642568061608187,0.0149059914903114,0.0096116708967148,74679033911725.06,7.814581716387404,42.06964073357537,583623848043053.9,0.0016204688681242,0.0009061406005712
28,28,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.2,0.0,0.2,0.05,,10712.55,5.356275,500.0,0.0639810974228964,0.0144649927377238,0.0095095981378068,74306549144878.72,7.836706410590942,41.97879663172224,582363585693030.6,0.0016123862787158,0.0009016209442145
29,29,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.2,0.0,0.2,0.0,,10753.45,5.376725000000001,500.0,0.0631762826081597,0.0139554368876819,0.0093890619929718,74590247971024.27,7.946039241232905,42.71099399230202,592521215605175.1,0.0016185422918779,0.0009050632895588
30,30,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.2,0.0,0.05,0.2,,10706.35,5.353175000000001,500.0,0.0613044135917135,0.0147258749610816,0.0095986931082051,74263543454851.75,8.172327924418225,43.748807677505205,606918600654071.5,0.0016114530933465,0.0009010991216929
31,31,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.2,0.0,0.05,0.05,,10776.9,5.388450000000001,500.0,0.0627499283362396,0.0142795922634519,0.0096449760990167,74752906588948.78,7.99565182440531,43.08721873828888,597740507478201.2,0.0016220718397667,0.0009070369569995
32,32,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.2,0.0,0.05,0.0,,10774.9,5.387449999999999,500.0,0.0630475371669632,0.0142303234925923,0.0097109769081576,74739033785714.28,7.940050345739843,42.77467335104594,593404626819128.8,0.0016217708122282,0.0009068686271538
33,33,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.2,0.0,0.0,0.2,,10753.65,5.376824999999998,500.0,0.0632280170970858,0.0145654508200873,0.0097954406243161,74591635251347.7,7.935654814659749,42.66169756316574,591837335943604.1,0.0016185723946317,0.0009050801225434
34,34,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.2,0.0,0.0,0.05,,10690.15,5.345075,500.0,0.0614580696788862,0.0142292052280881,0.0099474211546371,74151173748652.28,8.144060903576161,43.52958659446657,603877389704222.4,0.0016090147702847,0.0008997356499428
35,35,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.2,0.0,0.0,0.0,,10751.5,5.37575,500.0,0.0622323125374009,0.0141311664262727,0.0098954020508697,74576721987870.62,8.051038192179892,43.28057426990951,600422890722676.2,0.0016182487900279,0.0009048991679593
36,36,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,2.0,0.2,0.2,,10729.8,5.3649,500.0,0.0482110751579653,0.0143441285847933,0.0095276427331566,74426202072776.28,10.412394598830671,55.85165734925171,774819052726960.0,0.0016149826412353,0.0009030727891335
37,37,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,2.0,0.2,0.05,,10771.0,5.385500000000001,500.0,0.0502684511789595,0.014149061859991,0.0095089043397803,74711981819407.02,9.9735156614623,53.69968517302664,744965166160068.0,0.0016211838085281,0.0009065403839547
38,38,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,2.0,0.2,0.0,,10751.15,5.375575000000001,500.0,0.0496530768304495,0.0140000855025135,0.0094754041694369,74574294247304.58,10.096987278077329,54.288676535102056,753136127432961.2,0.0016181961102087,0.0009048697102363
39,39,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,2.0,0.05,0.2,,10696.05,5.348025,500.0,0.0487442935071953,0.014638677850889,0.0097303476145166,74192098518194.08,10.275597056778796,54.96006129396251,762450116087275.2,0.0016099028015233,0.0009002322229876
40,40,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,2.0,0.05,0.05,,10737.15,5.368575,500.0,0.0494232354672902,0.014182950183757,0.009610740338473,74477184624663.1,10.142091349505773,54.44512647797666,755306526706509.5,0.0016160889174392,0.0009036914013165
41,41,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,2.0,0.05,0.0,,10702.1,5.351049999999999,500.0,0.0478279952628923,0.0142990906505937,0.0096191693491835,74234063747978.42,10.471202477152795,56.026690165524165,777247248546688.5,0.0016108134098272,0.0009007414207708
42,42,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,2.0,0.0,0.2,,10740.05,5.370025,500.0,0.0486519701346025,0.0144876796409376,0.0098252450814239,74497300189353.1,10.314605149464416,55.38386727724846,768329493103006.0,0.00161652540737,0.0009039354795927
43,43,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,2.0,0.0,0.05,,10746.0,5.373000000000001,500.0,0.0495653368729306,0.0143550184903546,0.0098476687748028,74538571778975.72,10.123300086775242,54.3915094428658,754562708128399.4,0.001617420964297,0.0009044362608836
44,44,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,2.0,0.0,0.0,,10754.3,5.377149999999999,500.0,0.0486683419613825,0.0140374230000623,0.0098594335398738,74596143912398.92,10.316429458085953,55.47828824706945,769639376638543.2,0.0016186702285818,0.0009051348297432
45,45,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,1.0,0.2,0.2,,10759.45,5.379725,500.0,0.0498176654303221,0.0147987820012993,0.0096388707936795,74631866380727.77,10.06691626030703,54.16418574605742,751409091212037.4,0.0016194453744934,0.0009055682790959
46,46,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,1.0,0.2,0.05,,10735.55,5.367774999999998,500.0,0.0487768692370707,0.0140705141994536,0.0095079798725312,74466086382075.47,10.281737898614775,55.19423015356523,765698694600191.6,0.0016158480954084,0.0009035567374399
