,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,PremirrorM2.slopeErrorMer,PG.slopeErrorMer,M3.slopeErrorSag,KB_ver.slopeErrorMer,KB_hor.slopeErrorMer,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
384,384,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.05,0.5,0.0,0.2,,10777.2,5.388599999999999,500.0,0.0507450273238077,0.0109121701613714,0.0099157185621344,74754987509433.95,9.86738408280629,53.17981763351887,737753146076472.4,0.0016221169938975,0.0009070622064764
385,385,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.05,0.5,0.0,0.05,,10838.4,5.419200000000002,500.0,0.0502719668342705,0.0103271448094119,0.0099035267337885,75179495288409.69,9.96245404178332,53.986569781451294,748945059883750.5,0.0016313284365752,0.0009122130997544
386,386,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.05,0.5,0.0,0.0,,10786.5,5.39325,500.0,0.0487220422115029,0.0104580789494595,0.0098600043664745,74819496044474.4,10.291543638094408,55.4967716527939,769895793289262.0,0.0016235167719514,0.0009078449402588
387,387,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.05,0.0,0.2,0.2,,10793.1,5.39655,500.0,0.0490952613586159,0.0113907618704359,0.0094070484488535,74865276295148.25,10.20812198116499,55.088445471097465,764231164515091.8,0.0016245101628284,0.0009084004287496
388,388,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.05,0.0,0.2,0.05,,10768.95,5.384475,500.0,0.0493800750635471,0.0105887940918389,0.0095485174901897,74697762196091.64,10.15197410507501,54.65940478152466,758279167449053.8,0.0016208752553012,0.0009063678458629
389,389,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.05,0.0,0.2,0.0,,10750.25,5.375125000000001,500.0,0.0487893019992923,0.0103297033405704,0.0094106554389952,74568051485849.05,10.274372045316792,55.230421023565896,766200763418596.1,0.0016180606478163,0.0009047939618057
390,390,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.05,0.0,0.05,0.2,,10772.9,5.38645,500.0,0.0496745164230872,0.0109535386556692,0.009618305916817,74725160982479.78,10.088567797074784,54.35168229695283,754010193969756.8,0.0016214697846897,0.0009067002973081
391,391,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.05,0.0,0.05,0.05,,10746.3,5.373150000000001,500.0,0.0494484603185611,0.0105273110385126,0.0096093547803796,74540652699460.9,10.154474361399794,54.55683570857235,756856246882041.2,0.0016174661184278,0.0009044615103605
392,392,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.05,0.0,0.05,0.0,,10751.5,5.37575,500.0,0.0499466378789406,0.0102432580869428,0.0095794448151088,74576721987870.62,10.036223630653849,53.9519713297767,748465082371450.2,0.0016182487900279,0.0009048991679593
393,393,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.05,0.0,0.0,0.2,,10789.05,5.394525,500.0,0.0480881930330809,0.0111680310341823,0.0097869034667722,74837183868598.39,10.428959678936204,56.248049325884814,780318120622526.1,0.001623900582063,0.0009080595608121
394,394,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.05,0.0,0.0,0.05,,10808.55,5.404274999999999,500.0,0.0498091965963226,0.0105508156209853,0.0099072109016206,74972443700134.78,10.07521343713061,54.4489268342399,755359248301170.5,0.0016268356005632,0.0009097007768075
395,395,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.05,0.0,0.0,0.0,,10767.5,5.38375,500.0,0.048425254673981,0.0103277672446451,0.0099365292548962,74687704413746.64,10.3674994025045,55.82858478349974,774498971562167.8,0.0016206570103358,0.0009062458067248
396,396,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,2.0,0.2,0.2,,10772.55,5.386275,500.0,0.0485785820216249,0.0109097743416576,0.0095782287405928,74722733241913.72,10.3301753906132,55.64232994249132,771915094801384.8,0.0016214171048705,0.0009066708395851
397,397,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,2.0,0.2,0.05,,10779.4,5.3897,500.0,0.0487692783221205,0.0105508673066272,0.0095572243861285,74770247592991.9,10.28183139514655,55.41712791096179,768790911329965.6,0.0016224481241898,0.0009072473693066
398,398,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,2.0,0.2,0.0,,10842.0,5.421000000000001,500.0,0.0473822221174941,0.0102110104654506,0.0094830930445821,75204466334231.78,10.58761750096649,57.390074274182254,796161208019147.8,0.0016318702861445,0.0009125160934766
399,399,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,2.0,0.05,0.2,,10778.25,5.389124999999999,500.0,0.0486948253893956,0.0109676547886492,0.0096298701916223,74762270731132.1,10.28916000267808,55.44218186011823,769138479836860.0,0.0016222750333552,0.0009071505796454
400,400,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,2.0,0.05,0.05,,10792.85,5.396425000000001,500.0,0.0482533533818212,0.0103949722318234,0.0096061051181913,74863542194743.94,10.378606500105386,56.000615803612654,776885524054425.0,0.0016244725343861,0.0009083793875189
401,401,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,2.0,0.05,0.0,,10814.65,5.407325,500.0,0.0477820023540715,0.0100341318983317,0.0096527883079366,75014755750000.0,10.484987584094894,56.693635516003305,786499650162051.2,0.0016277537345556,0.0009102141828369
402,402,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,2.0,0.0,0.2,,10763.35,5.381675,500.0,0.0476294645994868,0.0111330055448916,0.0098717629259101,74658918347035.05,10.521581829511826,56.61733450653814,785441141271147.0,0.0016200323781934,0.000905896522295
403,403,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,2.0,0.0,0.05,,10745.95,5.372975,500.0,0.0494685696490648,0.0102796124757121,0.0099098719133471,74538224958894.88,10.150410522062636,54.52903238792569,756470536885444.2,0.0016174134386086,0.0009044320526375
404,404,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,2.0,0.0,0.0,,10791.45,5.395724999999998,500.0,0.0477512206099674,0.0104704284054506,0.0099170862057249,74853831232479.78,10.495504596067388,56.624852686974194,785545439509017.6,0.0016242618151092,0.0009082615566269
405,405,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,1.0,0.2,0.2,,10783.85,5.391925,500.0,0.0473823504224497,0.0113258710060531,0.0095336496638908,74801114580188.67,10.596293924032226,57.141865094444654,792717850907651.6,0.0016231179104629,0.0009076219032133
406,406,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,1.0,0.2,0.05,,10770.8,5.3854,500.0,0.0490912408559693,0.0104905284258434,0.0094291612215674,74710594539083.56,10.226061700406008,55.05964505012565,763831621941879.4,0.0016211537057743,0.0009065235509702
407,407,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,1.0,0.2,0.0,,10767.75,5.383875,500.0,0.0481724930200271,0.0102081975952502,0.0094483331889396,74689438514150.95,10.396621885310918,55.96736405980276,776424229155346.4,0.0016206946387781,0.0009062668479555
408,408,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,1.0,0.05,0.2,,10818.05,5.409025,500.0,0.0480058209980426,0.0112446995551739,0.0095619572114251,75038339515498.66,10.445951831154597,56.49724495816047,783775162595983.4,0.0016282654813711,0.0009105003435746
409,409,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,1.0,0.05,0.05,,10797.35,5.398675000000001,500.0,0.0474922890731164,0.0103359605812678,0.0096754818302921,74894756002021.55,10.55540878734093,56.99596466917173,790693803016010.2,0.0016251498463477,0.0009087581296717
410,410,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,1.0,0.05,0.0,,10773.1,5.38655,500.0,0.0475364628243169,0.0101710581373947,0.0096410906101929,74726548262803.23,10.547884422415748,56.810898203107726,788126412346999.6,0.0016214998874435,0.0009067171302927
411,411,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,1.0,0.0,0.2,,10805.65,5.402825,500.0,0.0483103883291959,0.011173403361203,0.0098921738126739,74952328135444.72,10.380621097086182,56.0864484520813,778076263497726.8,0.0016263991106324,0.0009094566985313
412,412,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,1.0,0.0,0.05,,10762.25,5.381125,500.0,0.0477871096363883,0.0104714522980163,0.0099618063313595,74651288305256.06,10.489333446321512,56.44469208851414,783046106975971.2,0.0016198668130473,0.0009058039408798
413,413,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,1.0,0.0,0.0,,10796.35,5.398175,500.0,0.0486859873121346,0.0105062257188005,0.0099018114034807,74887819600404.3,10.298829023695864,55.606096576536174,771412436444965.4,0.0016249993325785,0.0009086739647488
414,414,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.5,0.2,0.2,,10761.35,5.380674999999998,500.0,0.0477119373947374,0.0109348945915287,0.0095998329373756,74645045543800.53,10.498244767394988,56.49545701056356,783750358750777.8,0.0016197313506549,0.0009057281924493
415,415,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.5,0.2,0.05,,10783.8,5.3919,500.0,0.0471360811199076,0.0103893351356983,0.0095378732577566,74800767760107.83,10.638818124428626,57.36529977402156,795817516253185.5,0.0016231103847745,0.0009076176949671
416,416,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.5,0.2,0.0,,10745.3,5.372650000000002,500.0,0.0470804361200805,0.0104645270363267,0.0095298049564819,74533716297843.66,10.64717047067714,57.206167327097866,793609903128788.8,0.0016173156046586,0.0009043773454376
417,417,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.5,0.05,0.2,,10817.6,5.408800000000001,500.0,0.0488784728158918,0.0110549688977315,0.0096266586148715,75035218134770.9,10.26989413099755,55.548089675655135,770607718122799.2,0.0016281977501749,0.0009104624693593
418,418,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.5,0.05,0.05,,10804.55,5.402275,500.0,0.0477930131142186,0.010447296754056,0.0095982454700619,74944698093665.78,10.490821855234104,56.674510887623605,786234337955606.5,0.0016262335454863,0.0009093641171162
419,419,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.5,0.05,0.0,,10811.55,5.405775,500.0,0.0482284716761455,0.0103515497377671,0.0095910683405684,74993252904986.53,10.397136964673416,56.19814784404307,779625847183825.5,0.001627287141871,0.0009099532715761
420,420,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.5,0.0,0.2,,10779.6,5.389800000000001,500.0,0.0489269222031111,0.0111874680052006,0.0099437077989049,74771634873315.36,10.241403384175555,55.19543235121752,765715372451670.6,0.0016224782269436,0.0009072642022912
421,421,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.5,0.0,0.05,,10808.95,5.404475,500.0,0.0470528234688827,0.0105608681781821,0.0098352818990025,74975218260781.67,10.671618265382888,57.68959318111079,800316374879980.6,0.001626895806071,0.0009097344427767
422,422,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.5,0.0,0.0,,10761.85,5.380925,500.0,0.0486136779735062,0.0105089582363542,0.0098839768045209,74648513744609.16,10.33040505441046,55.59601994541306,771272645324127.5,0.0016198066075395,0.0009057702749107
423,423,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.0,0.2,0.2,,10760.7,5.380350000000001,500.0,0.0474296994896177,0.0111197781800935,0.0094420825094975,74640536882749.33,10.572882745552798,56.874397625900144,789007327344903.1,0.0016196335167049,0.0009056734852494
424,424,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.0,0.2,0.05,,10768.25,5.384124999999999,500.0,0.0466633861412219,0.0105324287465919,0.0094218345078652,74692906714959.56,10.74024344795584,57.825519645668905,802202055977156.8,0.0016207698956627,0.0009063089304169
425,425,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.0,0.2,0.0,,10787.95,5.393975000000001,500.0,0.0488363754348653,0.0106679146852791,0.0096407707204176,74829553826819.4,10.264996023049926,55.367146953211474,768097535337623.8,0.0016237350169168,0.0009079669793969
426,426,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.0,0.05,0.2,,10795.4,5.397699999999999,500.0,0.0479754767514264,0.011238086925307,0.0096219338700292,74881230018867.9,10.469507420206474,56.50651881206342,783903816946404.6,0.0016248563444977,0.0009085940080721
427,427,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.0,0.05,0.05,,10819.7,5.40985,500.0,0.0476887867853974,0.0104934787161175,0.0096800089445405,75049784578167.11,10.519396119524444,56.91480479474696,789567888047578.2,0.0016285138290903,0.0009106392156972
428,428,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.0,0.05,0.0,,10770.3,5.385150000000001,500.0,0.0487043596158997,0.01048518986431,0.009674626291,74707126338274.94,10.290034347918604,55.41611430990804,768776849841988.8,0.0016210784488897,0.0009064814685088
429,429,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.0,0.0,0.2,,10785.35,5.392674999999999,500.0,0.0477291495078219,0.0110756319500668,0.0098578576468787,74811519182614.58,10.521746326322829,56.753420984466025,787329042202316.9,0.0016233436811168,0.0009077481505975
430,430,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.0,0.0,0.05,,10791.55,5.395775,500.0,0.0484101930512479,0.0103229414925369,0.0099168488712893,74854524872641.53,10.349649675663027,55.85071587324912,774805991815626.2,0.0016242768664861,0.0009082699731192
431,431,0.03,500.0,2.25,1,200000.0,0.5,0.2,0.0,0.0,0.0,0.0,,10805.3,5.40265,500.0,0.047048118202204,0.0106011249000213,0.0098126761262953,74949900394878.69,10.664663711446238,57.62110796740801,799366292985809.2,0.0016263464308132,0.0009094272408083
432,432,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,2.0,0.2,0.2,,10801.9,5.40095,500.0,0.0583939147567746,0.0109515882001378,0.0094867310149116,74926316629380.05,8.583240758528422,46.35751649142703,643108704725718.8,0.0016258346839978,0.0009091410800706
433,433,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,2.0,0.2,0.05,,10769.9,5.384949999999999,500.0,0.0587400003038367,0.0104185934044409,0.0096412184785693,74704351777628.03,8.557659616739665,46.08138210005144,639277946647886.2,0.001621018243382,0.0009064478025396
434,434,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,2.0,0.2,0.0,,10809.15,5.404575,500.0,0.0597622182152263,0.0103524578227614,0.0094596533794644,74976605541105.14,8.389828489211787,45.34258062294583,629028699126641.1,0.0016269259088248,0.0009097512757612
435,435,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,2.0,0.05,0.2,,10762.3,5.38115,500.0,0.0581033472870018,0.0111128196101532,0.0096160006689918,74651635125336.92,8.628483598924209,46.43316655259514,644158183138981.8,0.0016198743387357,0.000905808149126
436,436,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,2.0,0.05,0.05,,10756.35,5.378175000000001,500.0,0.059639503238867,0.0106592101407186,0.0096640107423476,74610363535714.28,8.411879837191655,45.243270389434144,627650987797960.9,0.0016189787818087,0.0009053073678351
437,437,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,2.0,0.05,0.0,,10750.65,5.375325,500.0,0.0587652268838041,0.0102826014391278,0.0096473893315912,74570826046495.97,8.53050060668661,45.84784827461493,636038177839005.2,0.001618120853324,0.0009048276277749
438,438,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,2.0,0.0,0.2,,10820.75,5.410375,500.0,0.057657778340669,0.0113710636397686,0.009897271869469,75057067799865.22,8.683970110647099,46.98424149090292,651803137325590.4,0.001628671868548,0.0009107275888662
439,439,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,2.0,0.0,0.05,,10779.1,5.389550000000001,500.0,0.0595725564449622,0.0101866431536368,0.009886400785415,74768166672506.73,8.407513582203677,45.313397763997536,628623851066631.4,0.001622402970059,0.0009072221198298
440,440,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,2.0,0.0,0.0,,10767.2,5.3836,500.0,0.0587591471746293,0.0104833920561063,0.0099536971415107,74685623493261.47,8.527046519149868,45.90102613396075,636775903818141.6,0.001620611856205,0.0009062205572479
441,441,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,1.0,0.2,0.2,,10795.9,5.39795,500.0,0.0579072187014247,0.0111846992408686,0.0095118297475142,74884698219676.56,8.68270470582928,46.86735204920988,650181553100792.0,0.0016249316013823,0.0009086360905336
442,442,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,1.0,0.2,0.05,,10774.7,5.38735,500.0,0.057704371023098,0.0103502339773958,0.0095326791157782,74737646505390.84,8.695141913277743,46.85270138575409,649978307329415.1,0.0016217407094743,0.0009068517941693
443,443,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,1.0,0.2,0.0,,10767.5,5.38375,500.0,0.0583685889112387,0.0104829669588165,0.0095845363423147,74687704413746.62,8.582175544598414,46.202442737694966,640957397053358.0,0.0016206570103358,0.0009062458067248
444,444,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,1.0,0.05,0.2,,10804.0,5.402,500.0,0.0580479234183286,0.0111204797806941,0.0096769918960797,74940883072776.27,8.62975093672318,46.61091468362291,646624047986030.4,0.0016261507629132,0.0009093178264086
445,445,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,1.0,0.05,0.05,,10777.4,5.3887,500.0,0.0576583436509565,0.010376643777466,0.0097176791760921,74756374789757.4,8.703830031469181,46.90318399053353,650678642572285.4,0.0016221470966513,0.0009070790394609
446,446,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,1.0,0.05,0.0,,10764.75,5.382375,500.0,0.0580171356453405,0.0103432989190536,0.0096519350226421,74668629309299.19,8.631206158331578,46.46445028075864,644592176144235.5,0.0016202430974704,0.000906014353187
447,447,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,1.0,0.0,0.2,,10806.9,5.403450000000001,500.0,0.057838519362076,0.0110386126175477,0.009853212880039,74960998637466.3,8.662192335587006,46.796171446022576,649194078598661.6,0.001626587252844,0.0009095619046848
448,448,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,1.0,0.0,0.05,,10760.4,5.380199999999999,500.0,0.0598446667237055,0.0103908779432877,0.0099229297563267,74638455962264.16,8.37103932614905,45.04207170245967,624859798002524.1,0.0016195883625742,0.0009056482357726
449,449,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,1.0,0.0,0.0,,10762.6,5.381300000000001,500.0,0.0577298536408164,0.0103704368236627,0.0099484283737411,74653716045822.1,8.675837837603634,46.69429543065933,647780772683212.1,0.0016199194928665,0.0009058333986028
450,450,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.5,0.2,0.2,,10776.4,5.388200000000001,500.0,0.0577663180831933,0.0112086920001096,0.0095942656834784,74749438388140.16,8.68372292771358,46.7900646663189,649109360445436.0,0.001621996582882,0.0009069948745381
451,451,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.5,0.2,0.05,,10794.9,5.39745,500.0,0.0572382075076347,0.0102689902939355,0.0094404663751462,74877761818059.3,8.775107221763268,47.365682878257296,657094798637853.0,0.0016247810876131,0.0009085519256107
452,452,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.5,0.2,0.0,,10803.2,5.4016,500.0,0.0579140012399818,0.010217622397894,0.0096254957807492,74935333951482.47,8.659191399634619,46.77268195506311,648868213512502.2,0.0016260303518978,0.0009092504944703
453,453,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.5,0.05,0.2,,10803.6,5.401800000000001,500.0,0.0586684337593339,0.0110283131708799,0.009613780544389,74938108512129.36,8.545528180760394,46.15759999606592,640335302522242.6,0.0016260905574055,0.0009092841604394
454,454,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.5,0.05,0.05,,10768.8,5.3844,500.0,0.0582766195091039,0.010228936128487,0.0096075977730031,74696721735849.03,8.602755976075798,46.314368711339945,642510124062564.9,0.0016208526782358,0.0009063552211245
455,455,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.5,0.05,0.0,,10815.85,5.4079250000000005,500.0,0.0588046644229109,0.0104562799464703,0.0097069334834464,75023079431940.67,8.522830416425434,46.090897449243286,639409951214932.2,0.0016279343510787,0.0009103151807443
456,456,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.5,0.0,0.2,,10780.85,5.3904250000000005,500.0,0.0574520601727726,0.0108002062671935,0.009922959581816,74780305375336.9,8.727840072600875,47.04530588102588,652650271594400.9,0.0016226663691552,0.0009073694084447
457,457,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.5,0.0,0.05,,10777.8,5.3889000000000005,500.0,0.0565208716431072,0.0103756997919099,0.0099054403773391,74759149350404.31,8.873253818352799,47.81297907434496,663300050753718.0,0.001622207302159,0.0009071127054301
458,458,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.5,0.0,0.0,,10758.7,5.3793500000000005,500.0,0.0587291285517579,0.0104882873162708,0.0098442154210225,74626664079514.84,8.5464249198013,45.970876002562335,637744917301207.1,0.0016193324891664,0.0009055051554037
459,459,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.0,0.2,0.2,,10840.7,5.42035,500.0,0.05797544775032,0.010896876672462,0.009458518976182,75195449012129.38,8.642507698345245,46.8489781665108,649926655841454.0,0.0016316746182444,0.000912406679077
460,460,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.0,0.2,0.05,,10757.65,5.378825000000001,500.0,0.0581459822845459,0.0104394767479299,0.0093860957879972,74619380857816.72,8.617538154741306,46.36047389046287,643149732140628.6,0.0016191744497087,0.0009054167822348
461,461,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.0,0.2,0.0,,10779.25,5.389625,500.0,0.0572631326294611,0.010341670003107,0.0095555663898446,74769207132749.33,8.76016371145263,47.20938747001688,654926543192877.6,0.0016224255471244,0.0009072347445682
462,462,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.0,0.05,0.2,,10784.85,5.392424999999999,500.0,0.0586709335232398,0.0111727532414915,0.0096159766152246,74808050981805.92,8.557519672464297,46.1438205257089,640144142641304.2,0.0016232684242322,0.0009077060681361
463,463,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.0,0.05,0.05,,10791.2,5.395599999999999,500.0,0.0581004703926822,0.0104009421964187,0.0096498979228509,74852097132075.47,8.625046248110783,46.5390529927618,645627124888615.5,0.0016242241866669,0.0009082405153962
464,464,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.0,0.05,0.0,,10783.25,5.391625,500.0,0.0589203775223608,0.0103703702043849,0.009606089829071,74796952739218.33,8.502670627936975,45.8472089995911,636029309302386.8,0.0016230276022014,0.0009075714042596
465,465,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.0,0.0,0.2,,10798.9,5.39945,500.0,0.0582067201355016,0.010734158702304,0.0098253129701335,74905507424528.3,8.614790103444864,46.515722492975314,645303465455714.9,0.00162538314269,0.0009088885853021
466,466,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.0,0.0,0.05,,10775.85,5.387925,500.0,0.0582108777044936,0.0103949398380743,0.0098640436871783,74745623367250.67,8.615252422030277,46.413872707125854,643890523417149.4,0.001621913800309,0.0009069485838305
467,467,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.2,0.0,0.0,0.0,,10805.65,5.402825000000001,500.0,0.0575683833670893,0.0101159539468798,0.0099402768915274,74952328135444.73,8.704799262644439,47.03201001674003,652465820685330.8,0.0016263991106324,0.0009094566985313
468,468,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,2.0,0.2,0.2,,10801.15,5.400575,500.0,0.0432608448567833,0.0112145218190459,0.0094273726230212,74921114328167.11,11.59498059502498,62.62961873307139,868848377335738.9,0.0016257217986708,0.0009090779563785
469,469,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,2.0,0.2,0.05,,10812.45,5.406225,500.0,0.0439788728584687,0.0106165947126203,0.0097572338906419,74999495666442.03,11.380772979547976,61.52593325579445,853537165876699.4,0.0016274226042633,0.0009100290200066
470,470,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,2.0,0.2,0.0,,10795.45,5.397724999999999,500.0,0.0441764890942521,0.0106263799664826,0.0096093907044456,74881576838948.78,11.341841535306468,61.21239898834513,849187566677101.4,0.0016248638701862,0.0009085982163183
471,471,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,2.0,0.05,0.2,,10737.7,5.36885,500.0,0.044833666952499,0.0109103432199929,0.0096879244835118,74480999645552.56,11.178091603879222,60.001530940293904,832389432503541.9,0.0016161717000123,0.000903737692024
472,472,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,2.0,0.05,0.05,,10747.1,5.373549999999999,500.0,0.0430890806807923,0.0103306098444711,0.0095746985383283,74546201820754.72,11.635694497868402,62.52629557128158,867414995442662.2,0.0016175865294432,0.0009045288422988
473,473,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,2.0,0.05,0.0,,10785.9,5.392949999999999,500.0,0.0446612405540604,0.0103025869299891,0.0096072172577547,74815334203504.03,11.213155489796431,60.47751530880479,838992669990591.8,0.0016234264636899,0.0009077944413051
474,474,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,2.0,0.0,0.2,,10788.55,5.394274999999999,500.0,0.043472733426509,0.0111986361077626,0.0098507825457341,74833715667789.75,11.531035926391636,62.20626881452629,862975327216420.5,0.0016238253251784,0.0009080174783506
475,475,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,2.0,0.0,0.05,,10788.9,5.394449999999999,500.0,0.0449100543020136,0.0102548082116393,0.0098209138100863,74836143408355.8,11.156284713702348,60.17579933907241,834807023709788.1,0.0016238780049976,0.0009080469360736
476,476,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,2.0,0.0,0.0,,10764.8,5.3824000000000005,500.0,0.0436746519396478,0.0106940495580877,0.0099092282098171,74668976129380.05,11.474731799542262,61.756242885389966,856732206051088.6,0.0016202506231588,0.0009060185614331
477,477,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,1.0,0.2,0.2,,10781.2,5.3906,500.0,0.0437055145947027,0.0111933214262365,0.009590412461267,74782733115902.95,11.467964312577632,61.82248446751053,857651162485789.4,0.0016227190489744,0.0009073988661677
478,478,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,1.0,0.2,0.05,,10771.9,5.385949999999999,500.0,0.0434873363706287,0.0104023756669496,0.009495622305833,74718224580862.53,11.518961223472264,62.044971133247,860737676221851.8,0.0016213192709204,0.0009066161323853
479,479,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,1.0,0.2,0.0,,10783.1,5.3915500000000005,500.0,0.0444685056451475,0.0103708364502958,0.0095244614611279,74795912278975.75,11.267774617685244,60.74959708517666,842767206937892.4,0.001623005025136,0.0009075587795212
480,480,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,1.0,0.05,0.2,,10787.4,5.3937,500.0,0.0435460943267798,0.0111870506930435,0.0096225275442242,74825738805929.92,11.515823507498164,62.118882443793936,861763033289873.4,0.0016236522343437,0.0009079206886894
