,Simulation Number,M1.slopeErrorMer,M1.slopeErrorSag,PremirrorM2.slopeErrorMer,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.0,0,1.5,,104806.0,10.4806,1500.0,1.0999705991557676,0.0071772831844992,0.0097087583566345,66586034075049.9,1.3636728119381163,14.29210927279862,90801564322930.52,0.0043526565544911,0.0028277326287312
1,1,0.3,0,0.0,,120269.0,12.0269,1500.0,0.2177143951701055,0.0081274144035488,0.0098166346479011,76410088469860.28,6.889760315701743,82.86245834091329,526447195258902.6,0.0049948442947168,0.0032449342167899
2,2,0.4,0,0.0,,119969.0,11.9969,1500.0,0.2263188034635277,0.0072715864334382,0.0097126740398902,76219490505788.42,6.627818709909942,79.51327828091858,505168965234067.7,0.0049823851133117,0.0032368400257262
3,3,0.5,0,0.0,,119320.0,11.932,1500.0,0.2183203715032959,0.0095561036819157,0.009765979194674,75807163576846.31,6.870636897836877,81.98043946498962,520843495191436.0,0.0049554317508719,0.0032193295923918
4,4,0.6000000000000001,0,0.0,,119415.0,11.9415,1500.0,0.2246398639767903,0.0089029461069402,0.0097781448714015,75867519598802.39,6.677354470598233,79.7376284106488,506594321166262.1,0.0049593771583168,0.0032218927528953
5,5,0.7000000000000002,0,0.0,,119676.0,11.9676,1500.0,0.2083987298099145,0.0114980529103217,0.0096829508895258,76033339827544.9,7.197740606999791,86.1396804883307,547268257562534.4,0.0049702166461393,0.0032289346991207
6,6,0.8000000000000003,0,0.0,,119733.0,11.9733,1500.0,0.2175279532134482,0.0111681505819176,0.00974474340428,76069553440718.56,6.895665489612421,82.5638716067764,524550194471390.8,0.0049725838906063,0.0032304725954228
7,7,0.9000000000000001,0,0.0,,119918.0,11.9918,1500.0,0.2315849358642481,0.0120341828126136,0.0098383128585172,76187088851896.2,6.477105233128286,77.67215053462779,493471791899426.6,0.0049802670524728,0.0032354640132454
8,8,1.0000000000000002,0,0.0,,119535.0,11.9535,1500.0,0.2215781149402573,0.0131039903312006,0.0097223645493265,75943758784431.14,6.769621631650919,80.92067217393927,514110512255964.56,0.0049643608308789,0.0032251304293207
9,9,0.0,0,1.5,,104993.0,10.4993,1500.0,1.0499667825570214,0.0065385005249571,0.0097098021166545,66704840139321.36,1.4286166238011804,14.999474518275733,95295643511034.72,0.004360422777567,0.0028327780078276
10,10,0.0,0,1.5,,104868.0,10.4868,1500.0,1.149987569948962,0.0065704388660989,0.0098293593982431,66625424320958.086,1.3043619245959084,13.678582630852372,86903666694303.92,0.0043552314519815,0.0028294054282177
11,11,0.0,0,1.5,,104466.0,10.4466,1500.0,1.049962719974019,0.00727705387837,0.0097118896641529,66370023049101.8,1.428622151496119,14.924244167819356,94817685123254.8,0.0043385361488986,0.0028185592121924
12,12,0.0,0,1.5,,104461.0,10.4461,1500.0,1.0999738409514066,0.0065985860150917,0.0098219830496063,66366846416367.27,1.3636687929802007,14.245020578350474,90502397346509.92,0.0043383284958752,0.002818424309008
13,13,0.0,0,1.5,,104808.0,10.4808,1500.0,1.149940331858943,0.0071088130169689,0.0097686377280684,66587304728143.71,1.304415506129058,13.671318036637432,86857512798731.39,0.0043527396157005,0.002827786590005
14,14,0.0,0,1.5,,105268.0,10.5268,1500.0,1.0999784448911214,0.0071134226476435,0.0097387411941345,66879554939720.56,1.3636630853693443,14.355008567066015,91201180237227.92,0.004371843693855,0.0028401976829693
15,15,0.0,0,1.5,,104754.0,10.4754,1500.0,1.0999878327827446,0.0068545185534458,0.0097763762206886,66552997094610.78,1.36365144713038,14.284794369269584,90755090798929.95,0.0043504969630475,0.0028263296356135
16,16,0.0,0,1.5,,105018.0,10.5018,1500.0,1.0998560036639446,0.0071320858303203,0.0097335992769371,66720723302994.016,1.3638148948617437,14.322511262859056,90994716236572.28,0.0043614610426841,0.0028334525237496
17,17,0.0,0,1.5,,105159.0,10.5159,1500.0,1.0499174391438828,0.0078257863499185,0.009569580423604,66810304346107.79,1.4286837650997783,15.02389560541276,95450797160659.38,0.0043673168579445,0.0028372567935495
18,18,0.0,0,1.5,,104718.0,10.4718,1500.0,1.1498996844725298,0.0078949341500496,0.0097581958097732,66530125338922.16,1.3044616154391455,13.660061144555645,86785994774979.23,0.0043490018612789,0.0028253583326859
19,19,0.0,0,1.5,,104411.0,10.4411,1500.0,1.0499673054780487,0.0062260109671132,0.009703266564474,66335080089021.96,1.4286159122993378,14.916321601908614,94767350958827.77,0.004336251965641,0.0028170752771641
