,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,502,2,100000.0,1.17662360156545,,100000.0,100.0,502.0,0.5016585397434028,0.1725024456488849,0.0358296689347833,1385683170293471.8,1.0006806627009115,100.06806627009118,1386626353142771.8,0.030189483925207,0.016890756063333
1,1,0.03,522,2,100000.0,1.184814908884,,100000.0,100.0,522.0,0.5214264476841208,0.1719566106818105,0.035670960619802,1369550763701707.0,1.0010999678256187,100.10999678256186,1371057225477330.5,0.0310531215493161,0.0174663402965062
2,2,0.03,542,2,100000.0,1.19557065892945,,100000.0,100.0,542.0,0.5414467909231462,0.1752299451836234,0.0385025754275859,1352582210242587.5,1.001021723807635,100.10217238076352,1353964175688576.0,0.0318657276658051,0.0180413862284308
3,3,0.03,562,2,100000.0,1.20653239223348,,100000.0,100.0,562.0,0.5616052868845145,0.1668583391728372,0.0413077546724573,1334613795168696.2,1.0007028301276777,100.07028301276776,1335551801952755.0,0.0324884796180481,0.0185770380268385
4,4,0.03,582,2,100000.0,1.21559007975785,,100000.0,100.0,582.0,0.5816573352841488,0.1693505473345833,0.0365656543803018,1315645238570573.0,1.0005891178449318,100.05891178449316,1316420308658214.5,0.0331959127488374,0.0189989645742806
5,5,0.03,602,2,100000.0,1.22050059246538,,100000.0,100.0,602.0,0.6014225310760821,0.188396924417752,0.041090459544227,1296529646636055.2,1.0009601717496095,100.09601717496096,1297774537775286.2,0.0338677855888851,0.0193213934368084
6,6,0.03,622,2,100000.0,1.22741865002142,,100000.0,100.0,622.0,0.619874237644126,0.1696432669915102,0.0399290215119052,1276564583749251.2,1.0034293445779472,100.34293445779473,1280942363582931.2,0.0344782810820265,0.0196011334110058
7,7,0.03,642,2,100000.0,1.23521015912391,,100000.0,100.0,642.0,0.6415914019822822,0.1768039328063169,0.0354130000810593,1256460417290606.0,1.0006368508313164,100.06368508313165,1257260595151873.8,0.0350432629208115,0.019878960250804
8,8,0.03,662,2,100000.0,1.24314995045508,,100000.0,100.0,662.0,0.6617195738360806,0.1913040875529378,0.0335799366514131,1234498851951682.2,1.0004237839940169,100.04237839940168,1235022012805771.5,0.0355321595281469,0.0201947210009864
9,9,0.03,682,2,100000.0,1.2512710931248,,100000.0,100.0,682.0,0.6812860490974799,0.197314256791304,0.0340255508000017,1212537286612758.2,1.0010479458715849,100.1047945871585,1213807960056407.0,0.0359676786020901,0.020467693715704
10,10,0.03,702,2,100000.0,1.25928548443795,,100000.0,100.0,702.0,0.7017377213625196,0.1932413634917864,0.0352671575356737,1189446396486324.5,1.0003737559340138,100.03737559340138,1189890959135202.5,0.0363321300320967,0.0206784218199834
11,11,0.03,722,2,100000.0,1.26742532522346,,100000.0,100.0,722.0,0.7212959744044838,0.172749426604881,0.038204505033899,1166362347774006.8,1.0009760564601755,100.09760564601756,1167500783278457.2,0.0366609220594445,0.020820515220388
12,12,0.03,742,2,100000.0,1.27528577565715,,100000.0,100.0,742.0,0.7398666882472753,0.1737551427713934,0.0337052467020368,1141407766021162.0,1.0028833731625064,100.28833731625063,1144698870541183.8,0.0368825761509878,0.0208826828232441
13,13,0.03,762,2,100000.0,1.28337129179016,,100000.0,100.0,762.0,0.761562463574478,0.1752935073854752,0.0344978851028252,1116453184268317.0,1.0005745246732205,100.05745246732202,1117094614169174.4,0.0370636109440828,0.0209070106359315
14,14,0.03,782,2,100000.0,1.29164824012589,,100000.0,100.0,782.0,0.7815750019806273,0.175087083994787,0.0327438991202789,1090499750424278.8,1.0005437712545766,100.05437712545763,1091092732841682.4,0.037163132726863,0.0208892151174791
15,15,0.03,802,2,100000.0,1.30021834112426,,100000.0,100.0,802.0,0.8004969569661853,0.1971366414003573,0.0315411952029873,1063545173205550.6,1.0018776374110292,100.18776374110293,1065542125411080.8,0.0371810846281614,0.0208435767901892
16,16,0.03,822,2,100000.0,1.30869521201282,,100000.0,100.0,822.0,0.8214472491104061,0.1918427267912493,0.0333676809200134,1036482180293501.0,1.0006728988260567,100.06728988260568,1037179627935849.4,0.0371508746173755,0.0207530613603089
17,17,0.03,842,2,100000.0,1.31711516242917,,100000.0,100.0,842.0,0.8408679644169297,0.1719165472257944,0.0369464210902416,1008531243761229.8,1.0013462703194496,100.13462703194494,1009888999440943.0,0.0370367241502179,0.0206037318006599
18,18,0.03,862,2,100000.0,1.3257059739536,,100000.0,100.0,862.0,0.8612999270330874,0.199817588182709,0.0326650965572379,980019305250549.0,1.0008128097367013,100.08128097367012,980815874484012.0,0.0368567108651989,0.0204019629060181
19,19,0.03,882,2,100000.0,1.33418690330805,,100000.0,100.0,882.0,0.8800436919807453,0.1916196861587232,0.0328178044740867,950531143940906.4,1.0022229669243483,100.22229669243484,952644143234450.0,0.0365825019609687,0.0201400272721763
20,20,0.03,902,2,100000.0,1.34305723027778,,100000.0,100.0,902.0,0.9006740663296569,0.1729766493717894,0.0331252835734531,920355220602914.8,1.0014721570431648,100.1472157043165,921710128023138.8,0.0362349809133654,0.0198248252449018
21,21,0.03,922,2,100000.0,1.35202507217289,,100000.0,100.0,922.0,0.915386365216591,0.1711080277994633,0.0307073834932877,889473724668064.4,1.007224965364045,100.72249653640452,895900141521019.4,0.0358008901490284,0.0194572146216715
22,22,0.03,942,2,100000.0,1.36109770020853,,100000.0,100.0,942.0,0.9413676821684476,0.1781529393457532,0.0350483957326194,857793640810622.0,1.0006717012316546,100.06717012316548,858369821855660.1,0.0352837767481085,0.01903621703336
23,23,0.03,962,2,100000.0,1.37010270270469,,100000.0,100.0,962.0,0.9610461975225916,0.1656472349827034,0.0323989568979243,825416490317428.6,1.000992462672312,100.09924626723118,826235685373179.2,0.0346766676482142,0.0185652812855498
