,Simulation Number,CPMU20.photonEnergy,ExitSlit.totalHeight,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,500,0.05,2,500000,1.191432847537555,,500000.0,100.0,,0.4999423161776804,0.1803580045332009,0.03840461799617691
1,1,500,0.01,2,500000,1.191432847537555,,500000.0,100.0,,0.4998843351502842,0.17912775987843682,0.03828696380173808
2,2,1000,0.05,2,500000,1.4245703315395712,,500000.0,100.0,,0.9998977030537616,0.18024096591842556,0.03226597449148208
3,3,1000,0.01,2,500000,1.4245703315395712,,500000.0,100.0,,0.9992801660928308,0.17731629128942494,0.032184897698396615
4,4,1500,0.05,2,500000,1.7093389082243329,,500000.0,100.0,,1.499886773381604,0.1787662482476122,0.029973453418975105
5,5,1500,0.01,2,500000,1.7093389082243329,,500000.0,100.0,,1.4997925002701322,0.17873086394926815,0.03036805226308388
6,6,2000,0.05,2,500000,2.064163904469712,,500000.0,100.0,,1.9994355443477616,0.17736999785156704,0.028720482471064766
7,7,2000,0.01,2,500000,2.064163904469712,,500000.0,100.0,,1.9992899154108272,0.17515955467584562,0.02976334985000946
8,8,2500,0.05,2,500000,2.5118137811320644,,500000.0,100.0,,2.4998059478393766,0.1795905847383902,0.02851762483654838
9,9,2500,0.01,2,500000,2.5118137811320644,,500000.0,100.0,,2.499820826637915,0.17811176214072755,0.02823723842067576
10,10,3000,0.05,2,500000,3.0668427013872974,,500000.0,100.0,,2.999393159848296,0.17893678850915679,0.02810159647326397
11,11,3000,0.01,2,500000,3.0668427013872974,,500000.0,100.0,,2.9984849461447998,0.17827400521503795,0.02818285430001691
12,12,3500,0.05,2,500000,3.797208992452417,,500000.0,100.0,,3.4992954901117628,0.178319444917604,0.02789424630924692
13,13,3500,0.01,2,500000,3.797208992452417,,500000.0,100.0,,3.4992839106280367,0.1798062122222741,0.027119034170936748
14,14,4000,0.05,2,500000,4.645923194002247,,500000.0,100.0,,3.9947347522652312,0.17951785047875957,0.027545745530781714
15,15,4000,0.01,2,500000,4.645923194002247,,500000.0,100.0,,3.999591495680761,0.1770997799061512,0.027398475040254708
16,16,4500,0.05,2,500000,5.546693824604396,,500000.0,100.0,,4.499246541396133,0.175621389817387,0.027283000498188197
17,17,4500,0.01,2,500000,5.546693824604396,,500000.0,100.0,,4.485999287271625,0.17924254441351067,0.0274726564221942
18,18,5000,0.05,2,500000,6.092590039420309,,500000.0,100.0,,4.997506016219632,0.1759741982242979,0.0271758786169678
19,19,5000,0.01,2,500000,6.092590039420309,,500000.0,100.0,,4.998983584353482,0.17517861356459638,0.02704012624372568
