,Simulation Number,CPMU20.photonEnergy,ExitSlit.totalHeight,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,500,0.05,2,500000,1.191432847537555,,35962.0,7.1924,,0.043813266089898655,0.019910027727782983,0.018626520459750495
1,1,500,0.01,2,500000,1.191432847537555,,6503.0,1.3006,,0.03362611288110884,0.020131796147278745,0.003953540810116117
2,2,1000,0.05,2,500000,1.4245703315395712,,39882.0,7.9764,,0.0826458429144168,0.017933281669026874,0.018662420777828537
3,3,1000,0.01,2,500000,1.4245703315395712,,7569.0,1.5138,,0.059295807721582605,0.01685757732836686,0.004168768617090784
4,4,1500,0.05,2,500000,1.7093389082243329,,43316.0,8.663199999999998,,0.13746130600657125,0.019704170127801065,0.019111671932212977
5,5,1500,0.01,2,500000,1.7093389082243329,,8465.0,1.693,,0.07264278111711064,0.01838045357760424,0.0033618965698834465
6,6,2000,0.05,2,500000,2.064163904469712,,46069.0,9.2138,,0.187604191793298,0.019776680697344583,0.018401968361369068
7,7,2000,0.01,2,500000,2.064163904469712,,9037.0,1.8074,,0.09338239140288351,0.019460327623311888,0.0036649915717806712
8,8,2500,0.05,2,500000,2.5118137811320644,,49551.0,9.9102,,0.2491179421203924,0.019272194416294457,0.018630900800861088
9,9,2500,0.01,2,500000,2.5118137811320644,,9830.0,1.966,,0.10184359280265198,0.019315328398425546,0.003461486482086751
10,10,3000,0.05,2,500000,3.0668427013872974,,52219.0,10.4438,,0.331602492228285,0.017664258986540157,0.019030432308815896
11,11,3000,0.01,2,500000,3.0668427013872974,,10326.0,2.0652,,0.11410672598049132,0.019013297635625544,0.00332888538219428
12,12,3500,0.05,2,500000,3.797208992452417,,55779.0,11.1558,,0.4006060499837076,0.01914441170517248,0.01804640561798256
13,13,3500,0.01,2,500000,3.797208992452417,,11140.0,2.228,,0.12948806016083836,0.018450483672229068,0.003638034603994351
14,14,4000,0.05,2,500000,4.645923194002247,,58665.0,11.733,,0.5032716347550377,0.01679084190961088,0.018386603027600215
15,15,4000,0.01,2,500000,4.645923194002247,,11636.0,2.3272,,0.15615387279103743,0.018519607977583567,0.003701205159698801
16,16,4500,0.05,2,500000,5.546693824604396,,61647.0,12.3294,,0.5455438676326594,0.021359701716312872,0.01843260146598801
17,17,4500,0.01,2,500000,5.546693824604396,,12251.0,2.4502,,0.16106449874860118,0.01729206685430273,0.004047458264710112
18,18,5000,0.05,2,500000,6.092590039420309,,64721.0,12.9442,,0.6560332823855788,0.01918023295072429,0.018887906974899525
19,19,5000,0.01,2,500000,6.092590039420309,,13014.0,2.6028,,0.19094465661419235,0.019238611281189248,0.0037762167756263568
