,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.03,500,1.5,1,300000.0,,408.0,0.136,500.0,0.0257941474812923,0.0099348558055951,0.0096591229101258,,19.384242117815017,2.6362569280228425,,,
1,1,0.03,500,2.25,1,300000.0,,517.0,0.1723333333333333,500.0,0.0404507591389347,0.0085557226587441,0.0088378480927002,,12.360707453787674,2.1301619178694087,,,
2,2,0.03,500,3.0,1,300000.0,,397.0,0.1323333333333333,500.0,0.0337157807467747,0.0100358499315871,0.00990708751924,,14.829850856941237,1.962483596735224,,,
3,3,0.03,500,5.0,1,300000.0,,223.0,0.0743333333333333,500.0,0.0321305589800431,0.0067589811680336,0.0072986236635404,,15.56150953709081,1.1567388755904169,,,
4,4,0.03,510,1.5,1,300000.0,,391.0,0.1303333333333333,510.0,0.067302340719209,0.0103327305810196,0.0089097592086164,,7.577745358482588,0.9876328117222308,,,
5,5,0.03,510,2.25,1,300000.0,,484.0,0.1613333333333333,510.0,0.0363321360773056,0.0091297257985598,0.0084841974809463,,14.037159800206844,2.2646617811000374,,,
6,6,0.03,510,3.0,1,300000.0,,447.0,0.149,510.0,0.0377507158886487,0.0118101683909893,0.0086912837301506,,13.50967757815029,2.0129419591443933,,,
7,7,0.03,510,5.0,1,300000.0,,256.0,0.0853333333333333,510.0,0.0342464130844177,0.0084067400094625,0.0090712241184387,,14.89207055766233,1.2707900209205187,,,
8,8,0.03,520,1.5,1,300000.0,,445.0,0.1483333333333333,520.0,0.0466979682267947,0.0118280224614673,0.0087036413866296,,11.135388106706328,1.6517492358281052,,,
9,9,0.03,520,2.25,1,300000.0,,550.0,0.1833333333333333,520.0,0.0456127593125756,0.0091646853150019,0.0082479905037122,,11.40031885456737,2.090058456670684,,,
10,10,0.03,520,3.0,1,300000.0,,455.0,0.1516666666666666,520.0,0.0334061784220693,0.0094615865618229,0.0093556269217895,,15.565982837967132,2.360840730425015,,,
11,11,0.03,520,5.0,1,300000.0,,251.0,0.0836666666666666,520.0,0.0335116258310108,0.0092992810056527,0.0096044955837671,,15.517003043129122,1.2982559212751366,,,
12,12,0.03,530,1.5,1,300000.0,,435.0,0.145,530.0,0.0579554553384014,0.0110881704873503,0.0093046747245089,,9.144954463826306,1.326018397254814,,,
13,13,0.03,530,2.25,1,300000.0,,571.0,0.1903333333333333,530.0,0.0462721247047284,0.0116267161733075,0.0094137199716078,,11.453980196112346,2.1800742306600496,,,
14,14,0.03,530,3.0,1,300000.0,,458.0,0.1526666666666666,530.0,0.0415245987871912,0.0091053468077363,0.0092133466467508,,12.76351886543656,1.9485638801233152,,,
15,15,0.03,530,5.0,1,300000.0,,249.0,0.083,530.0,0.0369413109367542,0.006460070442513,0.0089062613467012,,14.347081534474835,1.1908077673614117,,,
16,16,0.03,540,1.5,1,300000.0,,437.0,0.1456666666666666,540.0,0.0533363885439257,0.0090797884227859,0.0079123976701369,,10.124420020588332,1.4747905163323671,,,
17,17,0.03,540,2.25,1,300000.0,,569.0,0.1896666666666666,540.0,0.0357646472646138,0.0116408630550758,0.0085764902437958,,15.098708957051166,2.863721798854038,,,
18,18,0.03,540,3.0,1,300000.0,,445.0,0.1483333333333333,540.0,0.032209879831953,0.0095121890891045,0.0085882394137358,,16.765042366420335,2.486814617685683,,,
19,19,0.03,540,5.0,1,300000.0,,251.0,0.0836666666666666,540.0,0.0351293962826275,0.010058684177286,0.0080271039234439,,15.371741536789363,1.28610237524471,,,
20,20,0.03,550,1.5,1,300000.0,,443.0,0.1476666666666666,550.0,0.0652365523279741,0.0077698545900182,0.0087671525403818,,8.430856327828264,1.2449564510759736,,,
21,21,0.03,550,2.25,1,300000.0,,579.0,0.193,550.0,0.0378914262264515,0.012460524814029,0.0091326547439641,,14.51515698335079,2.8014252977867025,,,
22,22,0.03,550,3.0,1,300000.0,,458.0,0.1526666666666666,550.0,0.0364128081730541,0.0105153279076557,0.0079730878076,,15.104575219414295,2.305965150163916,,,
23,23,0.03,550,5.0,1,300000.0,,255.0,0.0849999999999999,550.0,0.0354091524925479,0.0128730816478136,0.008832483732819,,15.53270726024156,1.3202801171205325,,,
24,24,0.03,560,1.5,1,300000.0,,407.0,0.1356666666666666,560.0,0.0590382207057018,0.0119160756209205,0.0087496570934944,,9.485380712801796,1.28684998337011,,,
25,25,0.03,560,2.25,1,300000.0,,560.0,0.1866666666666666,560.0,0.0445258723087818,0.0084291162444051,0.0096121486407069,,12.57695741739689,2.3476987179140862,,,
26,26,0.03,560,3.0,1,300000.0,,451.0,0.1503333333333333,560.0,0.0559021856755634,0.0079863786690817,0.0088078678290857,,10.017497406095032,1.505963776716286,,,
27,27,0.03,560,5.0,1,300000.0,,248.0,0.0826666666666666,560.0,0.0343361492491567,0.0086214791636061,0.0072019402708075,,16.30934196890914,1.348238936096489,,,
28,28,0.03,570,1.5,1,300000.0,,336.0,0.1119999999999999,570.0,0.0632714006195556,0.0098846506748886,0.0086129809411641,,9.00880957934456,1.0089866728865908,,,
29,29,0.03,570,2.25,1,300000.0,,460.0,0.1533333333333333,570.0,0.0405199381689271,0.0080005222576185,0.0089295225336748,,14.06714881014073,2.156962817554912,,,
30,30,0.03,570,3.0,1,300000.0,,347.0,0.1156666666666666,570.0,0.0384466638350886,0.0059175266185457,0.0074638815164768,,14.82573370851972,1.7148431989521142,,,
31,31,0.03,570,5.0,1,300000.0,,184.0,0.0613333333333333,570.0,0.0377737367025474,0.0073856428845274,0.0061289068167496,,15.089849449857551,0.92551076625793,,,
32,32,0.03,580,1.5,1,300000.0,,283.0,0.0943333333333333,580.0,0.0732746935284467,0.0091527894136926,0.0086533791942109,,7.9154203459729535,0.7466879859701153,,,
33,33,0.03,580,2.25,1,300000.0,,382.0,0.1273333333333333,580.0,0.0525780105760986,0.0096268298714735,0.00877842542717,,11.031227572989629,1.4046429776273457,,,
34,34,0.03,580,3.0,1,300000.0,,317.0,0.1056666666666666,580.0,0.041185833774989,0.0096068554928761,0.0087750030459996,,14.08251203966682,1.4880521055247935,,,
35,35,0.03,580,5.0,1,300000.0,,160.0,0.0533333333333333,580.0,0.0421994543636401,0.0109472926774267,0.0050809584689738,,13.744253539442422,0.7330268554369291,,,
36,36,0.03,590,1.5,1,300000.0,,325.0,0.1083333333333333,590.0,0.0678686352149497,0.0086649504619418,0.0098075782696745,,8.693264541586618,0.9417703253385504,,,
37,37,0.03,590,2.25,1,300000.0,,443.0,0.1476666666666666,590.0,0.0491851241420135,0.0079322210268664,0.0089472598272983,,11.99549681518494,1.771335029708976,,,
38,38,0.03,590,3.0,1,300000.0,,360.0,0.12,590.0,0.048738445330855,0.0082328483605184,0.0093758947205102,,12.105433318499523,1.4526519982199426,,,
39,39,0.03,590,5.0,1,300000.0,,222.0,0.074,590.0,0.0300273156847197,0.0091690364442576,0.0067972111826839,,19.64877600764822,1.454009424565968,,,
40,40,0.03,600,1.5,1,300000.0,,370.0,0.1233333333333333,600.0,0.0678161924572577,0.0085108071360523,0.0094573820868964,,8.847444515233724,1.0911848235454924,,,
41,41,0.03,600,2.25,1,300000.0,,471.0,0.157,600.0,0.0444556050204028,0.0123553626960818,0.0078696989118929,,13.49661082611813,2.1189678997005466,,,
42,42,0.03,600,3.0,1,300000.0,,392.0,0.1306666666666666,600.0,0.0451596193668137,0.0098695096959002,0.0080320369967776,,13.28620587180854,1.736064233916316,,,
43,43,0.03,600,5.0,1,300000.0,,222.0,0.074,600.0,0.03774507951357,0.0070161806913548,0.0091311896837149,,15.89611169806354,1.176312265656702,,,
44,44,0.03,610,1.5,1,300000.0,,413.0,0.1376666666666666,610.0,0.0421818445443022,0.0061581990765038,0.0080163829178954,,14.461197858698087,1.990824905214104,,,
45,45,0.03,610,2.25,1,300000.0,,493.0,0.1643333333333333,610.0,0.0503281650255758,0.0092517307965552,0.0087642236969933,,12.12044984533034,1.9917939245826195,,,
46,46,0.03,610,3.0,1,300000.0,,455.0,0.1516666666666666,610.0,0.0473920213312339,0.0128626040678229,0.0094697684473011,,12.871364902048942,1.9521570101440893,,,
47,47,0.03,610,5.0,1,300000.0,,243.0,0.0809999999999999,610.0,0.0518241575005049,0.0103902131330671,0.0048279728967301,,11.770572439967912,0.9534163676374008,,,
48,48,0.03,620,1.5,1,300000.0,,403.0,0.1343333333333333,620.0,0.0490342555781353,0.0122289980995154,0.0065012636424385,,12.644221732132538,1.6985404526831376,,,
49,49,0.03,620,2.25,1,300000.0,,513.0,0.1709999999999999,620.0,0.06358841061774,0.0094336664954137,0.0093745865677164,,9.750204384366722,1.667284949726709,,,
50,50,0.03,620,3.0,1,300000.0,,411.0,0.1369999999999999,620.0,0.0558622821995413,0.0105320249192828,0.0088699258416624,,11.098723066582664,1.520525060121825,,,
51,51,0.03,620,5.0,1,300000.0,,243.0,0.0809999999999999,620.0,0.0519902945870853,0.0102985075844691,0.0071971920036373,,11.925302692053044,0.9659495180562964,,,
52,52,0.03,630,1.5,1,300000.0,,403.0,0.1343333333333333,630.0,0.0640695215639652,0.006768965715546,0.0087812341115216,,9.83306858895497,1.3209088804496176,,,
53,53,0.03,630,2.25,1,300000.0,,607.0,0.2023333333333333,630.0,0.0554950425146216,0.0099164123968577,0.009597118001353,,11.35236539072854,2.2969619307240743,,,
54,54,0.03,630,3.0,1,300000.0,,535.0,0.1783333333333333,630.0,0.0496746119642921,0.0113317692801667,0.0095019874917469,,12.68253490239373,2.261718724260215,,,
55,55,0.03,630,5.0,1,300000.0,,283.0,0.0943333333333333,630.0,0.0389172074799262,0.009401861508798,0.0072947345579386,,16.18821186810381,1.5270879862244595,,,
56,56,0.03,640,1.5,1,300000.0,,434.0,0.1446666666666666,640.0,0.0763885366802696,0.009811984801853,0.007102657985585,,8.378220447902688,1.2120492247965888,,,
57,57,0.03,640,2.25,1,300000.0,,581.0,0.1936666666666666,640.0,0.0590001042382937,0.0111456338943044,0.0093137368620318,,10.847438462398705,2.100787248884549,,,
