x y z
-5.333333 -10.8 0.0
-4.666667 -10.8 0.0
-4.0 -10.8 0.0
-3.333333 -10.8 0.0
-2.666667 -10.8 0.0
-2.0 -10.8 0.0
-1.333333 -10.8 0.0
-0.6666667 -10.8 0.0
0.0 -10.8 0.0
0.6666667 -10.8 0.0
1.333333 -10.8 0.0
2.0 -10.8 0.0
2.666667 -10.8 0.0
3.333333 -10.8 0.0
4.0 -10.8 0.0
4.666667 -10.8 0.0
5.333333 -10.8 0.0
6.0 -10.8 0.0
6.666667 -10.8 0.0
7.333333 -10.8 0.0
8.0 -10.8 0.0
8.666667 -10.8 0.0
9.333333 -10.8 0.0
10.0 -10.8 0.0
-10.0 -10.2 0.0
-9.333333 -10.2 0.0
-8.666667 -10.2 0.0
-8.0 -10.2 0.0
-7.333333 -10.2 0.0
-6.666667 -10.2 0.0
-6.0 -10.2 0.0
-5.333333 -10.2 0.0
-4.666667 -10.2 0.0
-4.0 -10.2 0.0
-3.333333 -10.2 0.0
-2.666667 -10.2 0.0
-2.0 -10.2 0.0
-1.333333 -10.2 0.0
-0.6666667 -10.2 0.0
0.0 -10.2 0.0
0.6666667 -10.2 0.0
1.333333 -10.2 0.0
2.0 -10.2 0.0
2.666667 -10.2 0.0
3.333333 -10.2 0.0
4.0 -10.2 0.0
4.666667 -10.2 0.0
5.333333 -10.2 0.0
6.0 -10.2 0.0
6.666667 -10.2 0.0
7.333333 -10.2 0.0
8.0 -10.2 0.0
8.666667 -10.2 0.0
9.333333 -10.2 0.0
10.0 -10.2 0.0
-10.0 -9.6 3.167412e-05
-9.333333 -9.6 8.653409e-05
-8.666667 -9.6 0.0001779646
-8.0 -9.6 0.0004050938
-7.333333 -9.6 0.0007459125
-6.666667 -9.6 0.00108141
-6.0 -9.6 0.00129823
-5.333333 -9.6 0.001457589
-4.666667 -9.6 0.001585616
-4.0 -9.6 0.001718576
-3.333333 -9.6 0.001760296
-2.666667 -9.6 0.001849568
-2.0 -9.6 0.001920703
-1.333333 -9.6 0.001919171
-0.6666667 -9.6 0.001947214
0.0 -9.6 0.001944987
0.6666667 -9.6 0.001942442
1.333333 -9.6 0.001886114
2.0 -9.6 0.001836621
2.666667 -9.6 0.001733138
3.333333 -9.6 0.00167178
4.0 -9.6 0.001531477
4.666667 -9.6 0.001407477
5.333333 -9.6 0.001289539
6.0 -9.6 0.001137674
6.666667 -9.6 0.0009163668
7.333333 -9.6 0.0006251975
8.0 -9.6 0.0002933741
8.666667 -9.6 5.796194e-05
9.333333 -9.6 0.0
10.0 -9.6 0.0
-10.0 -9.0 0.001393463
-9.333333 -9.0 0.003217259
-8.666667 -9.0 0.006091848
-8.0 -9.0 0.01002323
-7.333333 -9.0 0.01480126
