,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.04,500,1.5,1,500000.0,,500000.0,100.0,500.0,0.4997157698475689,0.1809273989693198,0.0380656906792769,,1.0005689582035795,100.05689582035797,,,
1,1,0.04,500,2.25,1,500000.0,,500000.0,100.0,500.0,0.499856868708008,0.1784808956056095,0.0380435238233748,,1.0002863666509845,100.02863666509845,,,
2,2,0.04,500,3.0,1,500000.0,,500000.0,100.0,500.0,0.4998130601778996,0.1800447423771959,0.0383864908997307,,1.00037410981676,100.037410981676,,,
3,3,0.04,500,5.0,1,500000.0,,500000.0,100.0,500.0,0.4996863625210324,0.1894719734616062,0.037993593561919,,1.0006277177434084,100.06277177434085,,,
4,4,0.04,501,1.5,1,500000.0,,500000.0,100.0,501.0,0.5007412515331282,0.1780747441666276,0.0382589688810914,,1.0005167342456769,100.0516734245677,,,
5,5,0.04,501,2.25,1,500000.0,,500000.0,100.0,501.0,0.50086324487404,0.1789648174083933,0.0380622795974438,,1.0002730453965962,100.0273045396596,,,
6,6,0.04,501,3.0,1,500000.0,,500000.0,100.0,501.0,0.5008661973020878,0.1767537748700214,0.0380919059937283,,1.0002671698063814,100.02671698063816,,,
7,7,0.04,501,5.0,1,500000.0,,500000.0,100.0,501.0,0.5002959667428115,0.1801721474348558,0.0379484726878549,,1.00140724635915,100.14072463591502,,,
8,8,0.04,502,1.5,1,500000.0,,500000.0,100.0,502.0,0.5019384594658334,0.1801194356956815,0.0381678147702245,,1.000122606203612,100.0122606203612,,,
9,9,0.04,502,2.25,1,500000.0,,500000.0,100.0,502.0,0.5019239327195919,0.1765929402388623,0.0385451985662598,,1.0001515538905603,100.01515538905603,,,
10,10,0.04,502,3.0,1,500000.0,,500000.0,100.0,502.0,0.4213121319008522,0.1801085979104049,0.0381992242787636,,1.2367052078947527,123.67052078947526,,,
