# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs	AXUVCurrentAmp	GaAsPCurrentAmp
nan	2.380397500000000036e+03	4.760795000000000998e-01	nan	2.500000000000000000e+01	2.807276554450766157e-03	9.681792297482552526e-04	7.225432946635015766e-04	4.463046304347456084e-01	4.249610984542654180e+00	nan	nan	nan
nan	1.964317499999999882e+03	3.928634999999999766e-01	nan	2.500000000000000000e+01	2.108936998567543381e-03	9.507494994866101407e-04	7.226037618978239582e-04	5.938357523543411620e-01	4.666412140481312143e+00	nan	nan	nan
nan	1.805442499999999882e+03	3.610884999999999789e-01	nan	2.500000000000000000e+01	1.958148730820425711e-03	9.382638634370801334e-04	7.178893633617369503e-04	6.390141934272609570e-01	4.614873069279623152e+00	nan	nan	nan
nan	1.434187500000000000e+03	2.868374999999999675e-01	nan	2.500000000000000000e+01	1.846118681729223094e-03	9.601699944529303509e-04	7.294141585298475131e-04	6.781007420332381130e-01	3.889971304952553055e+00	nan	nan	nan
nan	2.626159999999999854e+03	5.252320000000000322e-01	nan	3.000000000000000000e+01	3.606561132015144357e-03	9.367319987964247991e-04	7.213890297455463185e-04	4.172792745314100604e-01	4.383601504750892275e+00	nan	nan	nan
nan	2.179659999999999854e+03	4.359319999999999307e-01	nan	3.000000000000000000e+01	2.751824173059845037e-03	9.606999125897263065e-04	7.256958558954829022e-04	5.463705341435555196e-01	4.763907214951435876e+00	nan	nan	nan
nan	2.022367499999999836e+03	4.044734999999999303e-01	nan	3.000000000000000000e+01	2.560011863363342681e-03	9.529090791186711892e-04	7.123180118846952468e-04	5.867705058127719031e-01	4.746639019805134474e+00	nan	nan	nan
nan	1.649884999999999764e+03	3.299770000000000203e-01	nan	3.000000000000000000e+01	2.446709235948390203e-03	9.503664611591664240e-04	7.321061102165641200e-04	6.135379709792656566e-01	4.049094431445188214e+00	nan	nan	nan
nan	2.853255000000000109e+03	5.706509999999999083e-01	nan	3.500000000000000000e+01	4.510405386659215379e-03	9.577275261557490838e-04	7.313423402866998111e-04	3.895417905388477986e-01	4.445784615046811439e+00	nan	nan	nan
nan	2.366474999999999909e+03	4.732949999999999657e-01	nan	3.500000000000000000e+01	3.444954023796924138e-03	9.605851396252312099e-04	7.225239013795735007e-04	5.086613733007989691e-01	4.814664014059159669e+00	nan	nan	nan
