,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,PremirrorM2.slopeErrorMer,PG.slopeErrorMer,M3.slopeErrorSag,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
16,16,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.1,0.0,0.1,,10873.0,5.4365,500.0,0.044148823388241,0.0105168545702418,0.0096458412387333,75419494784366.58,11.325330136276625,61.57015728586786,854150677144144.4,0.0016365362129911,0.0009151252060849
17,17,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.1,0.0,0.0,,10699.0,5.3495,500.0,0.0465074693066753,0.010549462487213,0.0097706354923066,74212560902964.95,10.750961242439253,57.51226716642877,797856365969938.6,0.0016103468171426,0.00090048050951
18,18,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.0,0.2,0.3,,10586.0,5.293,500.0,0.0431486752103182,0.0114971678774948,0.0093143970918795,73428747520215.64,11.587841285111653,61.33444392209598,850880672028794.8,0.001593338761218,0.0008909698732286
19,19,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.0,0.2,0.1,,10767.0,5.3835,500.0,0.0420330435990194,0.0113749820019357,0.0090297248345161,74684236212938.0,11.89540316827458,64.03890295640619,888399100067549.8,0.0016205817534512,0.0009062037242634
20,20,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.0,0.2,0.0,,10668.0,5.334,500.0,0.0438114201259622,0.011334360736032,0.009694800020866,73997532452830.19,11.412549480533825,60.87453892916741,844500500555331.9,0.001605680890296,0.0008978713969018
21,21,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.0,0.05,0.3,,10900.0,5.45,500.0,0.042756060203942,0.010276114908431,0.0091151833525655,75606777628032.34,11.694248665921291,63.73365522927104,884164458411225.0,0.0016406000847607,0.0009173976590017
22,22,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.0,0.05,0.1,,10704.0,5.351999999999999,500.0,0.0446204112222972,0.0092074826911977,0.009650118592369,74247242911051.2,11.205634065293994,59.97255351745345,831987434418233.4,0.0016110993859888,0.0009009013341242
23,23,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.0,0.05,0.0,,10795.0,5.3975,500.0,0.0481819887600067,0.0096329915311141,0.0093942367250691,74878455458221.03,10.3773217517128,56.01159415486983,777037824561255.0,0.00162479613899,0.000908560342103
24,24,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.0,0.0,0.3,,10703.0,5.3515,500.0,0.0463536724020627,0.0100266167235346,0.0096041965198629,74240306509433.97,10.786631869490224,57.72466044957695,800802856195383.1,0.0016109488722196,0.0009008171692014
25,25,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.0,0.0,0.1,,11039.0,5.5195,500.0,0.0417165723903281,0.0102267228804953,0.0094402313688427,76570937452830.19,11.985644345888874,66.15476396713363,917752023540924.8,0.0016615214986856,0.000929096583277
