,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,M1.slopeErrorSag,PremirrorM2.slopeErrorMer,PremirrorM2.slopeErrorSag,PG.slopeErrorMer,PG.slopeErrorSag,M3.slopeErrorSag,M3.slopeErrorMer,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
32,32,0.03,500.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.5,12183.38,3.0458450000000004,500.0,0.0377496037264597,0.0073693950243665,0.009854362820188,-0.0007417854606671,4.194147905802508e-06,42254408367789.766,13.303921115477806,40.52134259495057,562144612617567.6,0.0009168832229665,0.0005127066188407
33,33,0.03,500.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.5,11935.7,2.9839250000000006,500.0,0.0369185074182723,0.0079641685524791,0.0098512287693042,-0.0007611996857675,3.5593680277500984e-06,41395404391509.42,13.60574051549689,40.59979560639191,563232975808447.1,0.0008982435977833,0.0005022836347956
34,34,0.03,500.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,,0.5,12204.54,3.051135,500.0,0.0378698771630297,0.0075024769003499,0.0096482323387454,-0.0007481327825504,1.8774084408325897e-07,42327795496900.27,13.253621450095173,40.44314467704815,561059788289159.6,0.0009184756586451,0.0005135970837244
35,35,0.03,500.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,,0.5,12232.7,3.0581750000000003,500.0,0.0371185348466769,0.0073755835821715,0.009605878374365,-0.0007395431875514,-1.4293536300538327e-06,42425460031671.16,13.521242645019033,41.34912655745392,573628296650052.1,0.0009205948925161,0.000514782125838
36,36,0.03,500.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,,0.5,12242.64,3.06066,500.0,0.0371494479132956,0.007441104108094,0.0095800850479951,-0.0007442798665239,1.528688238638862e-07,42459933947708.9,13.536520167887218,41.42913775337938,574738276227683.4,0.0009213429459492,0.0005152004255045
37,37,0.03,500.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,,0.5,12228.94,3.0572350000000013,500.0,0.0367028303255164,0.0074341606710454,0.0094811173449524,-0.0007530582472012,3.6489280266911193e-06,42412419596630.734,13.683373197776572,41.83596291412644,580382081633571.6,0.0009203119266299,0.000514623895783
38,38,0.03,500.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,,0.5,12242.22,3.0605549999999995,500.0,0.0368598767097739,0.0073641997581329,0.0098538530972849,-0.0007422573879665,9.841358967892056e-06,42458477303369.29,13.636881009539788,41.73575404480913,578991903707180.6,0.0009213113380577,0.0005151827508707
39,39,0.03,500.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,0.5,12234.7,3.058675,500.0,0.0373020693771331,0.0074041877958838,0.0098498423045336,-0.0007524602395689,3.0701028404293014e-07,42432396433288.41,13.467366134274435,41.19551723780325,571497304783552.8,0.0009207454062853,0.0005148662907608
40,40,0.03,500.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,,0.5,12234.2,3.0585500000000008,500.0,0.0375546768961475,0.0073224649216402,0.0098551573979453,-0.0007459171649041,-1.2389622765042388e-06,42430662332884.1,13.379365955294077,40.92060206205755,567683460644254.6,0.000920707777843,0.0005148452495301
41,41,0.03,500.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,0.5,12254.6,3.063650000000001,500.0,0.0369352608711073,0.0073761360913078,0.0098490490746083,-0.000741639976684,3.704105097085642e-06,42501413629380.05,13.594260181087602,41.65250804477838,577837048328694.9,0.0009222430182893,0.0005157037317431
