,Simulation Number,CPMU20.photonEnergy,CPMU20.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,600,100000.0,,0.0,4310.0,4.3100000000000005,600.0,0.0,2.314970533083748,0.016278531179909,0.0136838260200768,0.008857164651808,-0.0127668022426193,-4.793158011737764e-05,55966475152241.19,,,,0.0014569309005333,0.000831516646271
1,1,1000,100000.0,,0.0,6500.6,6.5006,1000.0,0.0,2.2436490446986608,0.0141988740357382,0.0129592358219681,0.007090310943379,-0.0071833559667204,3.530183243455995e-05,49521553278167.11,,,,0.0021630325776892,0.0011397444235096
2,2,1500,100000.0,,0.0,4599.4,4.5994,1500.0,0.0,2.207231354290692,0.014852174397187,0.01277659649008,0.0063297860854359,-0.004885409092171,-2.7474026232224887e-05,29221209198403.195,,,,0.001910158631827,0.0012409474126086
