,Simulation Number,CPMU20.photonEnergy,CPMU20.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,600,100000.0,,0.0,3854.6,3.8546,600.0,0.0,2.211678862637471,0.0173667195241116,0.012908139360012,0.0092356549750778,-0.0091084777100079,-2.0918564202146007e-05,50052987267245.69,,,,0.0013029897561938,0.0007436575556186
1,1,1000,100000.0,,0.0,6060.2,6.0602,1000.0,0.0,2.2672439419273305,0.0161843745316074,0.0125630882484579,0.0071331474435101,-0.0029688846732398,-8.48557039393029e-06,46166587265229.11,,,,0.002016492327987,0.0010625294827174
2,2,1500,100000.0,,0.0,4380.8,4.380800000000001,1500.0,0.0,2.089936817029081,0.0149711327913573,0.0124097054313074,0.006422353987148,-0.0034312314469251,-9.491405918457295e-06,27832385366866.27,,,,0.0018193727299882,0.0011819677403913
