,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,500,2,100000.0,1.17577026432641,,3554.0,0.0005768532190379,500.0,0.0503391553189658,0.0099626193860921,0.0097493479765624,8002571202.902774,9.932625941612088,0.0057296672479192,79486546329.54994,1.7364870459600468e-07,9.710161334551697e-08
1,1,0.03,520,2,100000.0,1.18413280440169,,3484.0,5.348967836977906e-05,520.0,0.048640621383015,0.0121286960583889,0.0096199226583125,733508796.9422171,10.690652899051576,0.0005718395851332,7841687946.510147,1.6566595054640125e-08,9.3131438427617e-09
2,2,0.03,540,2,100000.0,1.19462031821519,,3499.0,2.6821912589091223e-05,540.0,0.0455342958603068,0.0099681154294358,0.0091439545499525,363259084.5346549,11.859192940122488,0.0003180862364171,4307959570.748738,8.526506481355186e-09,4.824369255686571e-09
3,3,0.03,560,2,100000.0,1.20514112000624,,3268.0,0.0123556191107047,560.0,0.0504756845796237,0.0091805271058064,0.0094153817413169,165121798671.18417,11.094450816543532,0.1370788085316594,1831935674096.656,4.0048080508523925e-06,2.2891837339848886e-06
4,4,0.03,580,2,100000.0,1.21534946177801,,2124.0,0.0191366558855519,580.0,0.0488344611627553,0.0119277035409044,0.0093194984161137,252123750572.3243,11.876858804010912,0.2272833599336445,2994438186685.161,6.337999785535684e-06,3.629298688225313e-06
5,5,0.03,600,2,100000.0,1.21985929056978,,2660.0,0.0089591213455386,600.0,0.0484426471959977,0.0099309728764226,0.0097295367829746,116336529506.03278,12.385780603037947,0.1109657113818355,1440918730580.5728,3.028496689082e-06,1.7284590567929217e-06
6,6,0.03,620,2,100000.0,1.22668718395639,,2831.0,0.0099944647698767,620.0,0.0471743364490748,0.0100499925451846,0.0095106686453709,127785333325.96788,13.142739181277,0.1313546437269518,1679449307095.7395,3.439449775840395e-06,1.9564559482929244e-06
7,7,0.03,640,2,100000.0,1.23422873606346,,2984.0,0.0117403489202626,640.0,0.0520992751391986,0.0104493937931698,0.0097692572544478,147763670557.39383,12.284240006987629,0.1442212639022838,1815164393440.4773,4.109116162897903e-06,2.329907577962199e-06
8,8,0.03,660,2,100000.0,1.24231942993718,,3054.0,0.0136289862736987,660.0,0.0576751743523118,0.0104368968439323,0.0096783784513356,168548998463.7234,11.44339843635938,0.1559619202136082,1928773345469.712,4.835740741473347e-06,2.7484594098599977e-06
9,9,0.03,680,2,100000.0,1.25043238280315,,3206.0,0.0162327305692589,680.0,0.0627522734321246,0.0096911071540033,0.0093805004089749,197184412900.2061,10.836260788790629,0.1759021017626641,2136741721671.204,5.831528859224656e-06,3.3185358394894247e-06
10,10,0.03,700,2,100000.0,1.25848494585637,,3134.0,0.0184285015857081,700.0,0.065341217809987,0.0117200251847046,0.0097982113715768,219638637394.845,10.71299286211052,0.197424405947084,2352987154654.656,6.690331468794003e-06,3.807941479580039e-06
11,11,0.03,720,2,100000.0,1.266694990595,,3267.0,0.0224417221323355,720.0,0.0573892271804652,0.0100309741269307,0.0086999050755725,262301187222.33133,12.545908620373988,0.2815517951561064,3290806725906.977,8.221167182681966e-06,4.670613502202307e-06
12,12,0.03,740,2,100000.0,1.27448555561608,,3240.0,0.0269131246994419,740.0,0.0639347070506346,0.0112161191705372,0.0095742309997594,307866237781.14014,11.574308136173034,0.31150079817859,3563338700803.2324,9.920609309233471e-06,5.619299322674053e-06
13,13,0.03,760,2,100000.0,1.28257035434233,,3242.0,0.0315763675871523,760.0,0.0695292779978444,0.0100573645155838,0.0093108229847835,353329434488.21936,10.93064708687988,0.3451501303807547,3862119353797.57,1.1698486528399573e-05,6.601746514206107e-06
14,14,0.03,780,2,100000.0,1.29084637328192,,3452.0,0.0387170610732748,780.0,0.0677510090487203,0.0099822757870729,0.0097398452669562,423214347241.67896,11.512743661708347,0.4457395994713204,4872358293750.676,1.438477400105364e-05,8.088139910171159e-06
15,15,0.03,800,2,100000.0,1.29941365924252,,3488.0,0.0451400960244134,800.0,0.066993062924098,0.010261889407728,0.0096971861817936,481296518589.00696,11.941534915434248,0.5390420327615874,5747419181407.575,1.678457755000106e-05,9.411995709307576e-06
16,16,0.03,820,2,100000.0,1.30778091275259,,3450.0,0.0508948488861256,820.0,0.0686910708534469,0.0102465013374709,0.0094283541833842,528938611779.716,11.937504974256084,0.6075575117421366,6314207309196.466,1.891204754036504e-05,1.05690487107804e-05
17,17,0.03,840,2,100000.0,1.31630553599908,,3586.0,0.0604763243136243,840.0,0.074431287130551,0.0115005794066795,0.0093662151008027,611612920331.861,11.285576702800482,0.6825101967448451,6902404524829.018,2.240881866601656e-05,1.2470901579257898e-05
18,18,0.03,860,2,100000.0,1.32489377407417,,3582.0,0.0691321002660738,860.0,0.0770814916634208,0.0120529659809595,0.0099278341654719,679516266923.3312,11.157023319621548,0.771308454803001,7581378836125.785,2.5494182462588936e-05,1.4120698784824637e-05
19,19,0.03,880,2,100000.0,1.33329262758449,,3623.0,0.0786522321672723,880.0,0.0781626128982679,0.0105889241985871,0.0096292381265399,749961408269.9882,11.258579612037254,0.8855124175196735,8443500220963.235,2.879996418602296e-05,1.5863637788494845e-05
20,20,0.03,900,2,100000.0,1.3422067252821,,3625.0,0.0874034900311157,900.0,0.0834759291648197,0.0098322812910641,0.0095066702392258,807083268514.3221,10.781551148990362,0.9423451983707428,8701609540981.486,3.1702607844754553e-05,1.7357599962886572e-05
21,21,0.03,920,2,100000.0,1.35104631264484,,3726.0,0.0994004869854229,920.0,0.0793243546618214,0.0102394105687179,0.0097781005341073,887246107529.6753,11.597951271361472,1.1528420044065355,10290237120834.316,3.563507272799206e-05,1.938001392548683e-05
22,22,0.03,940,2,100000.0,1.36010248136541,,3718.0,0.1088604196481448,940.0,0.0774461724805632,0.0102767726472079,0.0096996074827513,937284692430.2634,12.13746231598356,1.3212892411815147,11376257633720.562,3.846881841116217e-05,2.077172650882283e-05
23,23,0.03,960,2,100000.0,1.36926953155921,,3911.0,0.1259873093582512,960.0,0.0812299827859988,0.0099634008134453,0.0092219517602501,1044040961621.2416,11.818296238337629,1.4889553442668992,12338785369398.72,4.377334947486084e-05,2.345258252719161e-05
24,24,0.03,980,2,100000.0,1.37836355581004,,3758.0,0.1323747046477248,980.0,0.0854555453389593,0.0093618736275456,0.0094211913726655,1053162908548.4578,11.467950922468876,1.5180666162764207,12077620548598.29,4.508067739007056e-05,2.395735451055297e-05
25,25,0.03,1000,2,100000.0,1.38719560853008,,3806.0,0.1467566194851981,1000.0,0.0836040169414218,0.0095555353929016,0.0096937930870157,1117991531667.8362,11.961147760407997,1.755377610480426,13372461905163.846,4.883231531520716e-05,2.573070773026825e-05
26,26,0.03,1020,2,100000.0,1.39664356222928,,3864.0,0.1617369361940276,1020.0,0.0865507122866802,0.009612942782948,0.0091937799654969,1176321453300.9934,11.78499833278638,1.9060695233965923,13862946365973.06,5.242306584686937e-05,2.7377004789689728e-05
27,27,0.03,1040,2,100000.0,1.40604835471862,,3863.0,0.1740424602195092,1040.0,0.0902312370208164,0.0096301472974016,0.0094286810181345,1204390152055.591,11.525941950236929,2.006003293366483,13881730978029.77,5.472638505379066e-05,2.833425833826805e-05
28,28,0.03,1060,2,100000.0,1.4155721082738,,3887.0,0.1894828111061422,1060.0,0.0817473829652044,0.0105274355024911,0.009787754169307,1511912093715.4,12.966775957233835,2.456981159360206,19604625386239.93,7.002875534844167e-05,3.593177541608897e-05
29,29,0.03,1080,2,100000.0,1.42522230999383,,3884.0,0.2040173934341848,1080.0,0.0919504919233986,0.0111156291985382,0.0100992271217782,1653192846591.1252,11.745451029231225,2.3962763036926185,19417495621511.43,7.802880672502148e-05,3.966108117436666e-05
