,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.04,500,1.5,1,500000.0,,178.32,0.035664,,100.0,0.011007084901980307,0.0038686334230485665,0.002771776009600861,1.8242130340952163,0.32501199071790526,,,
1,1,0.04,500,2.25,1,500000.0,,231.6,0.04631999999999999,,100.0,0.007782640354907925,0.004001276218603212,0.0027665708528438688,2.5871306526708606,0.5989579952711872,,,
2,2,0.04,500,3.0,1,500000.0,,192.32,0.038464,,100.0,0.007384136754369592,0.003744020542681384,0.002718879064053569,2.720171676341306,0.5237866493286902,,,
3,3,0.04,500,5.0,1,500000.0,,111.88,0.022376,,100.0,0.006328200681912222,0.0033656426831267247,0.0026950405453364207,3.2394227084040486,0.36271383637019944,,,
4,4,0.04,501,1.5,1,500000.0,,175.28,0.035056000000000004,,100.2,0.01022364021455587,0.0034045770611228487,0.0027290305477713104,1.9740878717230113,0.3458114400832272,,,
5,5,0.04,501,2.25,1,500000.0,,227.72,0.045544,,100.2,0.008193539039027654,0.003638768496798324,0.002810105072333328,2.456916779561719,0.560040360333295,,,
6,6,0.04,501,3.0,1,500000.0,,191.76,0.038352,,100.2,0.007252174519746859,0.003464912645514324,0.002651078734605951,2.775111532972516,0.5310553770758267,,,
7,7,0.04,501,5.0,1,500000.0,,109.84,0.021968,,100.2,0.006979886060746595,0.003735692553373496,0.0026173109252819746,2.885345240592321,0.317155704985597,,,
8,8,0.04,502,1.5,1,500000.0,,180.44,0.036088,,100.4,0.010635384175616307,0.003575359251124419,0.002725467535558355,1.9029089890968736,0.3431943139237915,,,
9,9,0.04,502,2.25,1,500000.0,,230.52,0.046104,,100.4,0.008172601136877802,0.003784990955240232,0.002558950718174875,2.467795458228699,0.5707514188467312,,,
10,10,0.04,502,3.0,1,500000.0,,190.96,0.038192,,100.4,0.008018308367893497,0.0038047684941558257,0.002626472020109845,2.518269632008845,0.48043880340933615,,,
11,11,0.04,502,5.0,1,500000.0,,113.0,0.0226,,100.4,0.006593540722581111,0.003282212855400536,0.0026838476215443265,3.141602374157427,0.35508901977784846,,,
