# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs	AXUVCurrentAmp	GaAsPCurrentAmp
nan	8.916000000000000227e+02	1.783200000000000063e-01	nan	5.000000000000000000e+02	5.503542450990153018e-02	1.934316711524283056e-02	1.385888004800430763e-02	9.121065170476082784e+00	1.625059953589526263e+00	nan	nan	nan
nan	1.158000000000000000e+03	2.315999999999999726e-01	nan	5.000000000000000000e+02	3.891320177453962831e-02	2.000638109301605683e-02	1.383285426421934639e-02	1.293565326335430221e+01	2.994789976355936023e+00	nan	nan	nan
nan	9.616000000000000227e+02	1.923199999999999910e-01	nan	5.000000000000000000e+02	3.692068377184796329e-02	1.872010271340692270e-02	1.359439532026784393e-02	1.360085838170653361e+01	2.618933246643451174e+00	nan	nan	nan
nan	5.593999999999999773e+02	1.118800000000000072e-01	nan	5.000000000000000000e+02	3.164100340956110813e-02	1.682821341563362633e-02	1.347520272668210548e-02	1.619711354202024367e+01	1.813569181850997580e+00	nan	nan	nan
nan	8.763999999999999773e+02	1.752800000000000191e-01	nan	5.010000000000000000e+02	5.111820107277935399e-02	1.702288530561424373e-02	1.364515273885655300e-02	9.870439358615055170e+00	1.729057200416136197e+00	nan	nan	nan
nan	1.138599999999999909e+03	2.277200000000000057e-01	nan	5.010000000000000000e+02	4.096769519513827895e-02	1.819384248399161935e-02	1.405052536166664055e-02	1.228458389780859328e+01	2.800201801666474921e+00	nan	nan	nan
nan	9.587999999999999545e+02	1.917600000000000138e-01	nan	5.010000000000000000e+02	3.626087259873429780e-02	1.732456322757161896e-02	1.325539367302975592e-02	1.387555766486257802e+01	2.655276885379133756e+00	nan	nan	nan
nan	5.492000000000000455e+02	1.098400000000000071e-01	nan	5.010000000000000000e+02	3.489943030373297145e-02	1.867846276686748255e-02	1.308655462640987213e-02	1.442672620296160346e+01	1.585778524927984989e+00	nan	nan	nan
nan	9.022000000000000455e+02	1.804399999999999893e-01	nan	5.020000000000000000e+02	5.317692087808154749e-02	1.787679625562209676e-02	1.362733767779177561e-02	9.514544945484368910e+00	1.715971569618957471e+00	nan	nan	nan
nan	1.152599999999999909e+03	2.305200000000000027e-01	nan	5.020000000000000000e+02	4.086300568438901160e-02	1.892495477620115968e-02	1.279475359087437446e-02	1.233897729114349495e+01	2.853757094233655867e+00	nan	nan	nan
nan	9.547999999999999545e+02	1.909600000000000186e-01	nan	5.020000000000000000e+02	4.009154183946748301e-02	1.902384247077913010e-02	1.313236010054922784e-02	1.259134816004422497e+01	2.402194017046680674e+00	nan	nan	nan
nan	5.650000000000000000e+02	1.129999999999999893e-01	nan	5.020000000000000000e+02	3.296770361290555368e-02	1.641106427700268072e-02	1.341923810772163196e-02	1.570801187078713568e+01	1.775445098889242512e+00	nan	nan	nan
nan	9.063999999999999773e+02	1.812799999999999967e-01	nan	5.030000000000000000e+02	5.346002370407632043e-02	1.742610438641657364e-02	1.346573424845414792e-02	9.545478808638851120e+00	1.728939494382589759e+00	nan	nan	nan
nan	1.152599999999999909e+03	2.305200000000000027e-01	nan	5.030000000000000000e+02	3.788193933755792248e-02	1.775452675486431306e-02	1.353653188482786818e-02	1.340107874618195538e+01	3.086840249636528366e+00	nan	nan	nan
nan	9.527999999999999545e+02	1.905600000000000072e-01	nan	5.030000000000000000e+02	3.707086482586419152e-02	1.789029711925458135e-02	1.374382428966472100e-02	1.369195265590178145e+01	2.613011001644868436e+00	nan	nan	nan
nan	5.546000000000000227e+02	1.109199999999999908e-01	nan	5.030000000000000000e+02	3.514669294565919699e-02	1.717418557717797362e-02	1.324111991658138456e-02	1.439050928832501697e+01	1.596671740189832933e+00	nan	nan	nan
nan	9.126000000000000227e+02	1.825200000000000156e-01	nan	5.040000000000000000e+02	5.726735714769119745e-02	1.685011399100119767e-02	1.351399030393207745e-02	8.913828092631939981e+00	1.623985110595816739e+00	nan	nan	nan
nan	1.143000000000000000e+03	2.285999999999999976e-01	nan	5.040000000000000000e+02	3.966430617114156260e-02	1.765545965218919336e-02	1.333027330931376223e-02	1.274308789699948896e+01	2.910718371819157824e+00	nan	nan	nan
nan	9.792000000000000455e+02	1.958399999999999586e-01	nan	5.040000000000000000e+02	3.542575181007805163e-02	1.880374479652274777e-02	1.344894760921378461e-02	1.429657684838639931e+01	2.800447543420727659e+00	nan	nan	nan
nan	5.582000000000000455e+02	1.116400000000000031e-01	nan	5.040000000000000000e+02	3.739083982160309322e-02	1.949323848952909041e-02	1.320780926355242038e-02	1.357619050821308448e+01	1.515847874674585816e+00	nan	nan	nan
nan	9.067999999999999545e+02	1.813599999999999657e-01	nan	5.050000000000000000e+02	5.325219704801611303e-02	2.085552205723225153e-02	1.423518376494930029e-02	9.595145274682076675e+00	1.740402145900166175e+00	nan	nan	nan
nan	1.118599999999999909e+03	2.237199999999999744e-01	nan	5.050000000000000000e+02	3.644293448654707668e-02	1.935555644452501695e-02	1.382863559293687206e-02	1.398001907701525326e+01	3.124645264801116262e+00	nan	nan	nan
nan	9.732000000000000455e+02	1.946400000000000075e-01	nan	5.050000000000000000e+02	3.925358073468032671e-02	2.009408248545686143e-02	1.375815559558965853e-02	1.291838110623878855e+01	2.513330424320227685e+00	nan	nan	nan
nan	5.566000000000000227e+02	1.113200000000000162e-01	nan	5.050000000000000000e+02	3.371910903987327540e-02	1.570455388665419061e-02	1.454438279563883586e-02	1.506556688877905081e+01	1.681725428230048891e+00	nan	nan	nan
nan	9.032000000000000455e+02	1.806399999999999950e-01	nan	5.060000000000000000e+02	5.594588404900378148e-02	2.105129599915379554e-02	1.321721922743492907e-02	9.109791973018603883e+00	1.645273478893016783e+00	nan	nan	nan
nan	1.136000000000000000e+03	2.271999999999999853e-01	nan	5.060000000000000000e+02	4.116240375877851243e-02	1.831120109778411331e-02	1.399577251399993470e-02	1.230484997988906493e+01	2.796741565208042957e+00	nan	nan	nan
nan	9.860000000000000000e+02	1.971999999999999864e-01	nan	5.060000000000000000e+02	3.907138774961822769e-02	1.672262988754149443e-02	1.365409398460139777e-02	1.300421619759320535e+01	2.563865362557968375e+00	nan	nan	nan
nan	5.420000000000000000e+02	1.084000000000000102e-01	nan	5.060000000000000000e+02	3.468108003535234907e-02	1.851284671784390531e-02	1.311843660719270652e-02	1.464593145058971047e+01	1.585012215968483407e+00	nan	nan	nan
nan	9.117999999999999545e+02	1.823599999999999943e-01	nan	5.070000000000000000e+02	5.156375692347410500e-02	1.923829127006752154e-02	1.371399888686865298e-02	9.913484586560713296e+00	1.807692973140693216e+00	nan	nan	nan
nan	1.122000000000000000e+03	2.244000000000000161e-01	nan	5.070000000000000000e+02	4.047700109369998384e-02	1.796356133865358029e-02	1.373057860811498568e-02	1.259289060670515070e+01	2.829163765262147301e+00	nan	nan	nan
nan	9.700000000000000000e+02	1.940000000000000058e-01	nan	5.070000000000000000e+02	3.648508311860041570e-02	1.677103830747205329e-02	1.257682890744793794e-02	1.428050254814064601e+01	2.778413839953839393e+00	nan	nan	nan
nan	5.657999999999999545e+02	1.131599999999999967e-01	nan	5.070000000000000000e+02	3.136454029516926034e-02	1.722939534557472660e-02	1.253225498863448292e-02	1.622560667856065919e+01	1.836745153332542513e+00	nan	nan	nan
nan	9.212000000000000455e+02	1.842400000000000149e-01	nan	5.080000000000000000e+02	5.036459057063211869e-02	1.664141816518740005e-02	1.361694224126927012e-02	1.013828366292929317e+01	1.868640401296774556e+00	nan	nan	nan
nan	1.147799999999999955e+03	2.295599999999999863e-01	nan	5.080000000000000000e+02	3.819521294548167134e-02	1.818696012667377418e-02	1.388494153637040776e-02	1.347321446111390664e+01	3.091821881035040409e+00	nan	nan	nan
nan	9.746000000000000227e+02	1.949200000000000099e-01	nan	5.080000000000000000e+02	3.821340828974371245e-02	1.806139587710142019e-02	1.288011649261692169e-02	1.342037599423754557e+01	2.616715356578621421e+00	nan	nan	nan
nan	5.493999999999999773e+02	1.098800000000000054e-01	nan	5.080000000000000000e+02	3.494539888530425603e-02	1.724131813900295004e-02	1.181430922813845284e-02	1.473773117831800583e+01	1.627255855863879663e+00	nan	nan	nan
nan	9.152000000000000455e+02	1.830400000000000083e-01	nan	5.090000000000000000e+02	5.188876159827486567e-02	1.713195323866021150e-02	1.344407075370511809e-02	9.980655612315654679e+00	1.822610430691894434e+00	nan	nan	nan
nan	1.148000000000000000e+03	2.295999999999999708e-01	nan	5.090000000000000000e+02	4.163447402137308156e-02	1.887609835782937118e-02	1.348150580329610972e-02	1.231267389990621020e+01	2.826847444311182844e+00	nan	nan	nan
nan	9.672000000000000455e+02	1.934399999999999731e-01	nan	5.090000000000000000e+02	3.705951267430691864e-02	1.852730865514757783e-02	1.264517023777084540e-02	1.380722873609335366e+01	2.674935653762335441e+00	nan	nan	nan
nan	5.756000000000000227e+02	1.151200000000000001e-01	nan	5.090000000000000000e+02	3.715262056491610426e-02	1.848242481654728542e-02	1.305538518945691638e-02	1.377283819553420230e+01	1.583824736445253123e+00	nan	nan	nan
nan	9.267999999999999545e+02	1.853600000000000247e-01	nan	5.100000000000000000e+02	5.622408862780048366e-02	1.861028131946800349e-02	1.307730455091491925e-02	9.156954535203572831e+00	1.695743150546915157e+00	nan	nan	nan
nan	1.155000000000000000e+03	2.309999999999999554e-01	nan	5.100000000000000000e+02	3.789354897044176773e-02	1.765062518425539878e-02	1.340066767751991669e-02	1.356549211366292340e+01	3.133621089786987390e+00	nan	nan	nan
nan	9.707999999999999545e+02	1.941599999999999715e-01	nan	5.100000000000000000e+02	3.703131913613333381e-02	1.812191147054682122e-02	1.303336293094493024e-02	1.384348191793734451e+01	2.691404886872838631e+00	nan	nan	nan
nan	5.672000000000000455e+02	1.134400000000000130e-01	nan	5.100000000000000000e+02	3.533674857213782439e-02	1.688306325054815191e-02	1.313459738991889537e-02	1.468361279165654310e+01	1.661054915876461369e+00	nan	nan	nan
