# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs	AXUVCurrentAmp	GaAsPCurrentAmp
nan	1.783199999999999932e+02	3.566400000000000126e-02	nan	1.000000000000000000e+02	1.100708490198030673e-02	3.868633423048566024e-03	2.771776009600861439e-03	1.824213034095216512e+00	3.250119907179052636e-01	nan	nan	nan
nan	2.315999999999999943e+02	4.631999999999999312e-02	nan	1.000000000000000000e+02	7.782640354907925488e-03	4.001276218603211712e-03	2.766570852843869190e-03	2.587130652670860620e+00	5.989579952711872046e-01	nan	nan	nan
nan	1.923199999999999932e+02	3.846399999999999819e-02	nan	1.000000000000000000e+02	7.384136754369592312e-03	3.744020542681384452e-03	2.718879064053568873e-03	2.720171676341306632e+00	5.237866493286902347e-01	nan	nan	nan
nan	1.118799999999999955e+02	2.237600000000000006e-02	nan	1.000000000000000000e+02	6.328200681912221973e-03	3.365642683126725179e-03	2.695040545336421095e-03	3.239422708404048556e+00	3.627138363701994939e-01	nan	nan	nan
nan	1.752800000000000011e+02	3.505600000000000382e-02	nan	1.002000000000000028e+02	1.022364021455587045e-02	3.404577061122848747e-03	2.729030547771310426e-03	1.974087871723011034e+00	3.458114400832272284e-01	nan	nan	nan
nan	2.277199999999999704e+02	4.554400000000000115e-02	nan	1.002000000000000028e+02	8.193539039027655790e-03	3.638768496798323957e-03	2.810105072333327937e-03	2.456916779561718833e+00	5.600403603332949620e-01	nan	nan	nan
nan	1.917599999999999909e+02	3.835200000000000414e-02	nan	1.002000000000000028e+02	7.252174519746859387e-03	3.464912645514323965e-03	2.651078734605951011e-03	2.775111532972515782e+00	5.310553770758267289e-01	nan	nan	nan
nan	1.098400000000000034e+02	2.196800000000000141e-02	nan	1.002000000000000028e+02	6.979886060746594637e-03	3.735692553373496424e-03	2.617310925281974600e-03	2.885345240592320781e+00	3.171557049855969757e-01	nan	nan	nan
nan	1.804399999999999977e+02	3.608799999999999508e-02	nan	1.004000000000000057e+02	1.063538417561630915e-02	3.575359251124419178e-03	2.725467535558355123e-03	1.902908989096873782e+00	3.431943139237915164e-01	nan	nan	nan
nan	2.305199999999999818e+02	4.610399999999999915e-02	nan	1.004000000000000057e+02	8.172601136877802319e-03	3.784990955240231762e-03	2.558950718174874978e-03	2.467795458228699168e+00	5.707514188467311955e-01	nan	nan	nan
