,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,500,2,100000.0,1.17577026432641,,0.0,85287.8,85.2878,500.0,0.0,2.4003343457714648,0.0279234076186034,0.0139599959536229,0.0052810413873606,0.0018854774479826,-1.5457777742942004e-05,1183180867703504.0,,,,0.0256739764970743,0.0143564822131023
1,1,0.03,2548,2,100000.0,2.38210252419051,,0.0,83155.6,83.15559999999999,2548.0,0.0,2.276428280815815,0.0128701976961274,0.0133559280755474,0.0057865271194979,0.0022960954883611,3.986576700733826e-06,310161083876923.1,,,,0.0340324834237941,0.0178105484681651
2,2,0.03,6000,2,100000.0,7.77006215966874,,0.0,6947.2,6.9472,6000.0,0.0,2.208791188208141,0.0085716589730899,0.0125453191378716,0.0144928903544441,-0.0086237388291345,0.0001130480890792,5082571520000.0,,,,0.0010275566191358,0.0001649446520714
