,Simulation Number,CPMU20.photonEnergy,CPMU20.energySpread,CPMU20.numberRays,M3.radius,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,1000,0,500000.0,225.0,,0.0,499689.6,99.93792,1000.0,0.0,2.410639178213684,0.0360816385379474,0.0019635857817529,-1.7742166496359723e-05,761326805185552.6,,,,0.0332536960752094,0.0175220267386322
1,1,1000,0,500000.0,225.1,,0.0,499696.6,99.93932,1000.0,0.0,2.422749515184394,0.0360069640278224,0.0002289673282548,-8.981650205587787e-06,761337470381779.0,,,,0.0332541619161485,0.0175222721993886
2,2,1000,0,500000.0,225.2,,0.0,499673.4,99.93468,1000.0,0.0,2.412387223141057,0.034434479067906,0.0005253044462436,-2.678484706210037e-05,761302122874285.6,,,,0.0332526179861789,0.0175214586723103
3,3,1000,0,500000.0,225.3,,0.0,499681.8,99.93636,1000.0,0.0,2.4347382076658417,0.0343557902805899,0.0002333286511643,9.298559460738946e-06,761314921109757.4,,,,0.0332531769953059,0.0175217532252179
4,4,1000,0,500000.0,225.4,,0.0,499670.8,99.93416,1000.0,0.0,2.3797738708270986,0.0339816454135518,-0.0004475980189504,-1.3796997621710218e-06,761298161515687.2,,,,0.0332524449595444,0.0175213675011723
5,5,1000,0,500000.0,225.5,,0.0,499683.6,99.93672,1000.0,0.0,2.4209400154965204,0.0326352502381738,0.0013573973783454,-8.701388054252045e-07,761317663588787.0,,,,0.0332532967829759,0.0175218163436982
6,6,1000,0,500000.0,225.6,,0.0,499670.4,99.93408,1000.0,0.0,2.372520395005236,0.0327440292312345,0.0016929924472682,-2.3304409506686352e-05,761297552075902.9,,,,0.0332524183400622,0.0175213534748433
7,7,1000,0,500000.0,225.7,,0.0,499683.0,99.9366,1000.0,0.0,2.3675452088838056,0.0307277574296656,0.000577511759168,1.2712746011297394e-05,761316749429110.5,,,,0.0332532568537525,0.0175217953042048
8,8,1000,0,500000.0,225.79999999999995,,0.0,499683.6,99.93672,1000.0,0.0,2.378345659782995,0.0315190156524093,0.0005061744700722,-8.193717708428374e-07,761317663588787.0,,,,0.0332532967829759,0.0175218163436982
9,9,1000,0,500000.0,225.89999999999995,,0.0,499668.4,99.93368,1000.0,0.0,2.4149588081440148,0.0296771190007083,3.5523185416628373e-06,6.993399340948359e-06,761294504876981.1,,,,0.033252285242651,0.0175212833431986
10,10,1000,0,500000.0,225.99999999999997,,0.0,499684.8,99.93695999999998,1000.0,0.0,2.4322820912256318,0.0289260383307975,0.0008223969119784,-1.5821637758072928e-05,761319491908140.1,,,,0.0332533766414226,0.017521858422685
11,11,1000,0,500000.0,226.09999999999997,,0.0,499671.0,99.9342,1000.0,0.0,2.444920472005154,0.0296134999696153,0.0004037450029969,1.721560122760473e-05,761298466235579.5,,,,0.0332524582692855,0.0175213745143367
12,12,1000,0,500000.0,226.19999999999996,,0.0,499677.4,99.93548,1000.0,0.0,2.4349433152244973,0.030242072937006,0.0015326432726762,7.155141187780533e-06,761308217272129.4,,,,0.0332528841810013,0.0175215989355997
13,13,1000,0,500000.0,226.29999999999995,,0.0,499654.8,99.93096,1000.0,0.0,2.426208578263153,0.0284006620971674,0.0008437316494131,7.763785677961875e-06,761273783924312.6,,,,0.033251380180255,0.0175208064480148
14,14,1000,0,500000.0,226.39999999999992,,0.0,499678.0,99.9356,1000.0,0.0,2.4255461643384506,0.0263548179264264,0.0009787931319246,2.674802206163796e-06,761309131431806.0,,,,0.0332529241102246,0.0175216199750931
15,15,1000,0,500000.0,226.49999999999991,,0.0,499679.4,99.93588,1000.0,0.0,2.423077462997004,0.0246521021530005,0.0009804590655258,2.329069997280889e-06,761311264471051.2,,,,0.0332530172784124,0.0175216690672443
16,16,1000,0,500000.0,226.5999999999999,,0.0,499673.6,99.93472,1000.0,0.0,2.4168295964631623,0.026518917697207,0.0014559486210955,1.370719078638922e-05,761302427594177.8,,,,0.03325263129592,0.0175214656854748
17,17,1000,0,500000.0,226.6999999999999,,0.0,499664.4,99.93288,1000.0,0.0,2.436160429409964,0.0275585432487274,0.0015616544363042,2.246981368846092e-05,761288410479137.4,,,,0.0332520190478286,0.0175211430799093
18,18,1000,0,500000.0,226.7999999999999,,0.0,499677.4,99.93548,1000.0,0.0,2.420865032900875,0.0238611986570574,0.0017332144669278,-1.0564791985708364e-05,761308217272129.4,,,,0.0332528841810013,0.0175215989355997
19,19,1000,0,500000.0,226.8999999999999,,0.0,499680.4,99.93608,1000.0,0.0,2.367451606069253,0.024237014243958,0.0012533312972357,9.927307744223024e-06,761312788070512.1,,,,0.033253083827118,0.0175217041330667
20,20,1000,0,500000.0,226.9999999999999,,0.0,499684.6,99.93692,1000.0,0.0,2.3838262114094437,0.025571748965795,-0.0007651542674665,-6.943204551424773e-06,761319187188247.8,,,,0.0332533633316815,0.0175218514095205
21,21,1000,0,500000.0,227.09999999999988,,0.0,499672.4,99.93448,1000.0,0.0,2.4165679007234173,0.0257543446704362,0.000597640182302,-9.206234003107172e-06,761300599274824.8,,,,0.0332525514374733,0.017521423606488
22,22,1000,0,500000.0,227.19999999999987,,0.0,499676.8,99.93536,1000.0,0.0,2.4276597999822203,0.0239399445352107,0.0004721047812913,-9.578759908562317e-06,761307303112452.8,,,,0.0332528442517779,0.0175215778961063
23,23,1000,0,500000.0,227.29999999999987,,0.0,499671.8,99.93436,1000.0,0.0,2.420498480659161,0.0224879962568513,-0.0002521557244804,6.72077831147641e-06,761299685115148.2,,,,0.03325251150825,0.0175214025669946
24,24,1000,0,500000.0,227.39999999999984,,0.0,499677.0,99.9354,1000.0,0.0,2.424881940049215,0.025312463820058,0.0002200135950937,-2.939173682282228e-06,761307607832345.0,,,,0.033252857561519,0.0175215849092707
25,25,1000,0,500000.0,227.49999999999983,,0.0,499686.8,99.93736,1000.0,0.0,2.436981905345405,0.0206751405900586,8.341108755888003e-05,-6.051029753448971e-06,761322539107062.0,,,,0.0332535097388338,0.0175219285543297
