,Simulation Number,CPMU20.photonEnergy,CPMU20.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,500,100000.0,,0.5,348.4,0.3483999999999999,500.0,0.0445305430400707,1.906092689265769,0.0270752977442525,0.0122982065906753,0.0111686726852585,-0.0050915784366019,-9.500961771913466e-05,4833284646900.269,11.68312219076686,4.055854506058745,56266071510318.63,0.0001048779944092,5.86461182378355e-05
1,1,750,100000.0,,0.75,569.8,0.5698000000000001,750.0,0.0781462504699447,2.179912852405,0.0287892860379528,0.0129735890492862,0.0083222838811833,-0.027851988327368,4.652236441551046e-05,6444588725693.752,9.672773460003675,5.494473122165689,62143944430916.71,0.0002105449458756,0.0001190327665884
2,2,1000,100000.0,,1.0,839.4,0.8394,1000.0,0.1127517475125386,2.1588479992357987,0.0273210676727105,0.0121136435553047,0.0073733609706428,3.1667142615179886e-05,-5.901419792597352e-05,6394546937466.307,9.130564438626635,7.685543856811972,58548452385441.98,0.0002793049173479,0.0001471712563599
3,3,1250,100000.0,,1.25,887.6,0.8876000000000002,1250.0,0.157354386413408,2.150790737946377,0.0270462008955671,0.0125134356668523,0.0067368083176656,0.0085739819166703,8.316681547119821e-05,6590282066666.667,8.053271733025475,7.145645318781503,53055225551066.19,0.0003602402969923,0.0002287712512684
4,4,1500,100000.0,,1.5,718.6,0.7186,1500.0,0.2084918214804474,2.1104075626643426,0.0293598461705903,0.0131594167506162,0.0062743434395207,0.0094305187347955,-1.2215349676157568e-05,4565456566067.864,7.277757368940605,5.246910102867187,33335012775818.0,0.0002984389252578,0.0001938828566117
