,Simulation Number,CPMU20.photonEnergy,CPMU20.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,600,100000.0,,0.0,85638.4,85.6384,600.0,0.0,0.0926243231709511,0.7065105805558284,0.0137086789870059,0.0001620015074481,0.0032831726310114,0.0001073444428962,1112036980435659.4,,,,0.0289487775480829,0.0165219849559203
1,1,1000,100000.0,,0.0,85974.0,85.974,1000.0,0.0,0.095907015918468,0.5388400658611541,0.0133736818041098,0.0001480311285713,0.0032842703795091,0.0005242610773441,654949700264151.0,,,,0.028607292070618,0.0150737450491982
2,2,1500,100000.0,,0.0,85794.2,85.7942,1500.0,0.0,0.0987570261332023,0.4594408874597533,0.0132897381107129,0.00013526092138,0.0032930462895223,0.0001424703522236,545073328305788.4,,,,0.0356308500436351,0.0231478215651677
