,Simulation Number,CPMU20.photonEnergy,CPMU20.energySpread,CPMU20.numberRays,M3.radius,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,500,0.1,50000.0,230.0,1.6,,0.5,4287.55,8.575099999999999,500.0,0.0554612328869807,1.9299341107656631,0.0294864617406895,0.0062316649302215,3.074497009514673e-05,118960675016172.5,9.0453823418905,77.565839403299,1076055627760898.2,0.0025813412452901,0.0014434452597624
1,1,500,0.1,50000.0,230.0,2.25,,0.5,3716.65,7.4333,500.0,0.0462639862742946,1.9505575469536829,0.0289945603081325,0.0071398982693506,2.85511864963268e-05,103120708283018.86,10.862455500290926,80.73526338812039,1120024423069034.8,0.0022376280018443,0.0012512462419554
2,2,500,0.1,50000.0,230.0,5.0,,0.5,3375.5,6.751,500.0,0.0446290536440642,1.94890880678874,0.0289871392487107,0.008565658241789,-1.0772686772710656e-05,93655294636118.6,11.309065874508358,76.3592111612626,1059316311581935.0,0.0020322369123338,0.0011363947882422
3,3,500,0.1,50000.0,230.0,10.0,,0.5,2979.6,5.959200000000001,500.0,0.0523751282398847,1.922114320335784,0.0292597699266603,0.0126802064495927,-6.691893068267665e-06,82670809035040.42,9.64603863964346,57.49066168672855,797556637401270.8,0.0017938833073588,0.0010031112164262
4,4,500,0.1,50000.0,230.5,1.6,,0.5,4274.35,8.548699999999998,500.0,0.0552064698032608,1.947260557933872,0.0296093788780488,0.0020344641458421,-1.0216956250100786e-05,118594433010781.66,9.110211656171137,77.92122996741242,1080985891128242.6,0.002573394118274,0.0014390013518362
5,5,500,0.1,50000.0,230.5,2.25,,0.5,3725.1,7.4502,500.0,0.0444919743274965,1.9480347131275717,0.0290136075125861,0.0077018878967193,-7.252784118887324e-05,103355158657681.95,11.272645104635997,83.97788717670991,1165008704851650.5,0.0022427153672447,0.0012540910163476
6,6,500,0.1,50000.0,230.5,5.0,,0.5,3380.85,6.7617,500.0,0.0412035796206936,1.9053358518163168,0.0291887057010277,0.0125584507886474,-6.944297966556259e-06,93803733630727.77,12.204388999637096,82.54646797867602,1145150907971238.5,0.0020354579069956,0.0011381959175911
7,7,500,0.1,50000.0,230.5,10.0,,0.5,2980.85,5.961700000000001,500.0,0.0445308100777622,1.9226337277456689,0.029241373546037,0.0113546215253252,-7.145229553441363e-05,82705491043126.7,11.39697528438194,67.90130929649,941981503235223.0,0.001794635876205,0.0010035320410404
8,8,500,0.1,50000.0,231.0,1.6,,0.5,4269.05,8.5381,500.0,0.0539036046269188,1.9555336465325124,0.0291254730958843,0.0042498041148289,3.217441744697651e-05,118447381296495.95,9.33254732555871,79.66113240209005,1105123215251754.8,0.002570203226366,0.001437217055472
9,9,500,0.1,50000.0,231.0,2.25,,0.5,3704.95,7.409900000000002,500.0,0.0428694216291034,1.9389045871479929,0.0294258954505797,0.0032629435580319,7.002479669080055e-06,102796084687331.52,11.740415905632975,86.94312859719524,1206144915620836.8,0.0022305839574436,0.0012473073235663
