,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,500.0,2.25,1,500000.0,,833.3,0.1666599999999999,500.0,0.0402072104761657,0.0088809157368055,0.009249524269364,-0.0002716041782283,-2.6825359077053024e-06,2312041387061.995,13.104855334721682,2.1845602072317543,30305973908847.617,5.016924956444437e-05,2.8053852082427274e-05
1,1,0.03,501.0,2.25,1,500000.0,,847.6,0.1695199999999999,501.0,0.0392493571917782,0.0088010912666978,0.0091409021160151,-0.0002455964154929,3.926474131506822e-05,2350363833579.557,12.87691354642923,2.181026818274275,30239538424604.457,5.1093381235863496e-05,2.8584130183106607e-05
2,2,0.03,502.0,2.25,1,500000.0,,849.5,0.1699,502.0,0.0401517061988726,0.0085777489183833,0.0091211853535176,-0.0002739375515794,5.28993310842909e-06,2354275706328.609,12.689717667262157,2.152361910338679,29824916755370.133,5.129193318892685e-05,2.86973945516028e-05
3,3,0.03,503.0,2.25,1,500000.0,,842.9,0.1685799999999999,503.0,0.0387052736218151,0.0085800568413982,0.0093458763434476,-0.0002497272417936,-1.8013625014219018e-05,2334638471670.9927,13.243875993876506,2.231368066141525,30901872889263.9,5.096542527259405e-05,2.852346839062644e-05
4,4,0.03,504.0,2.25,1,500000.0,,847.5,0.1695,504.0,0.0416038347008963,0.0089266641415667,0.0095019375092952,-0.0002781466177864,-1.7250231971391117e-05,2346025846476.343,12.398721631017704,2.103077316096819,29108399650154.773,5.131961891607328e-05,2.872865759143772e-05
5,5,0.03,505.0,2.25,1,500000.0,,858.1,0.1716199999999999,505.0,0.0393760998944457,0.0084221372745772,0.0094111826531762,-0.0002663175843097,9.22473696779566e-07,2373997977520.4634,12.962643379123955,2.220187306408941,30711573098306.914,5.204415563241473e-05,2.9138355479899092e-05
6,6,0.03,506.0,2.25,1,500000.0,,860.5,0.1720999999999999,506.0,0.0422172067367625,0.0085496645535634,0.0091687050826925,-0.0003413972946337,5.203730927554812e-05,2379263431223.798,12.037433802501498,2.071711788020754,28641185922562.74,5.225322988812661e-05,2.9270604534359776e-05
7,7,0.03,507.0,2.25,1,500000.0,,851.0,0.1701999999999999,507.0,0.0443897083931005,0.0083419013421632,0.0093581591484561,-0.0002277032108644,-2.422905276185705e-06,2351636988221.202,11.502656064325382,1.9569599196634653,27039126507326.65,5.174856791155633e-05,2.8997879674024392e-05
8,8,0.03,508.0,2.25,1,500000.0,,852.2,0.1704399999999999,508.0,0.0410023418826596,0.0093174424555446,0.0093203098758429,-0.0003145034176284,2.0909106756907712e-05,2353591975004.991,12.591970114806276,2.146370228694619,29639050373417.52,5.189757230122569e-05,2.9089501133685983e-05
9,9,0.03,509.0,2.25,1,500000.0,,839.4,0.16788,509.0,0.0425326570070239,0.0082858535220084,0.0093394122640592,-0.0002023005864825,-3.4584354497413364e-05,2316900518187.263,12.073098086754063,2.023088278382909,27920504411031.33,5.120041678668733e-05,2.8702780760893743e-05
