,Simulation Number,CPMU20.photonEnergy,ExitSlit.totalHeight,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,500,0.05,2,50000,1.191432847537555,,2504.0,5.008,,0.04900462686458695,0.015277681525030024,0.017534700428550945
1,1,500,0.01,2,50000,1.191432847537555,,467.0,0.934,,0.025139496914675877,0.01671886119059406,0.003262273570930411
2,2,1000,0.05,2,50000,1.4245703315395712,,2518.0,5.036,,0.07695241887665814,0.01720710615576498,0.01815680586598272
3,3,1000,0.01,2,50000,1.4245703315395712,,513.0,1.026,,0.05566002601460696,0.02235077148310396,0.0038394488969876097
4,4,1500,0.05,2,50000,1.7093389082243329,,2930.0,5.86,,0.13724923547397339,0.019765335483016584,0.01850289353891416
5,5,1500,0.01,2,50000,1.7093389082243329,,554.0,1.1079999999999999,,0.08628523080415107,0.019682835079507303,0.002730466960014464
6,6,2000,0.05,2,50000,2.064163904469712,,3098.0,6.196,,0.1934827742870766,0.01783813925618346,0.018341579557824075
7,7,2000,0.01,2,50000,2.064163904469712,,604.0,1.208,,0.09142856172252321,0.021254326563613875,0.003731937289689397
8,8,2500,0.05,2,50000,2.5118137811320644,,3193.0,6.386,,0.23119327666518075,0.017126609100189892,0.01737747823951854
9,9,2500,0.01,2,50000,2.5118137811320644,,625.0,1.25,,0.09986386594027863,0.017604414541406432,0.0027118122881500304
10,10,3000,0.05,2,50000,3.0668427013872974,,2874.0,5.748,,0.2940377510140024,0.015751167840745872,0.018356053993805348
11,11,3000,0.01,2,50000,3.0668427013872974,,587.0,1.174,,0.09501560529588461,0.013588006647623892,0.003951705460500859
12,12,3500,0.05,2,50000,3.797208992452417,,2530.0,5.06,,0.41040931749193993,0.0179815117922811,0.01900665785443968
13,13,3500,0.01,2,50000,3.797208992452417,,514.0,1.028,,0.12771984896335195,0.015433604529714852,0.00244599996109051
14,14,4000,0.05,2,50000,4.645923194002247,,1761.0,3.522,,0.46570880019726246,0.01666960627011354,0.018526054669761177
15,15,4000,0.01,2,50000,4.645923194002247,,352.0,0.7040000000000001,,0.1476163388670102,0.013992121776336987,0.00269901559758648
16,16,4500,0.05,2,50000,5.546693824604396,,850.0,1.7,,0.5340137936655083,0.019147961092936365,0.018147163710791808
17,17,4500,0.01,2,50000,5.546693824604396,,169.0,0.338,,0.1194361171219498,0.020825584137345435,0.002170148304076955
18,18,5000,0.05,2,50000,6.092590039420309,,366.0,0.732,,0.665976946704177,0.01937807548495779,0.01741660947051236
19,19,5000,0.01,2,50000,6.092590039420309,,67.0,0.134,,0.2710163990620504,0.0230340720047701,0.0036024000718253525
