,Simulation Number,CPMU20.photonEnergy,ExitSlit.totalHeight,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,500,0.05,2,50000,1.191432847537555,,50000.0,100.0,,0.4989642048977316,0.18790652011074133,0.04036000436914625
1,1,500,0.01,2,50000,1.191432847537555,,50000.0,100.0,,0.49754389338625055,0.1681863583872915,0.03617352975104104
2,2,1000,0.05,2,50000,1.4245703315395712,,50000.0,100.0,,0.9989537379623245,0.17504147178606527,0.031072442662569946
3,3,1000,0.01,2,50000,1.4245703315395712,,50000.0,100.0,,0.9971504659561105,0.18661909575901675,0.03595172151479449
4,4,1500,0.05,2,50000,1.7093389082243329,,50000.0,100.0,,1.495804261803414,0.18439997645873732,0.02993728141178457
5,5,1500,0.01,2,50000,1.7093389082243329,,50000.0,100.0,,1.497972499695834,0.16745907172754806,0.03117855867784173
6,6,2000,0.05,2,50000,2.064163904469712,,50000.0,100.0,,1.9966505855732064,0.1647458851439317,0.03136080982370192
7,7,2000,0.01,2,50000,2.064163904469712,,50000.0,100.0,,1.9876462948934657,0.16782766658270226,0.030876371159038612
8,8,2500,0.05,2,50000,2.5118137811320644,,50000.0,100.0,,2.494620323293475,0.1926172946010219,0.026040028807139085
9,9,2500,0.01,2,50000,2.5118137811320644,,50000.0,100.0,,2.4973985446067672,0.18841099512287307,0.03053127185581997
10,10,3000,0.05,2,50000,3.0668427013872974,,50000.0,100.0,,2.958305047090107,0.19055079099460984,0.031543125676447833
11,11,3000,0.01,2,50000,3.0668427013872974,,50000.0,100.0,,2.995866671767999,0.16758787936040037,0.026782525431658447
12,12,3500,0.05,2,50000,3.797208992452417,,50000.0,100.0,,3.497367431589282,0.18524200566817864,0.02811834123783709
13,13,3500,0.01,2,50000,3.797208992452417,,50000.0,100.0,,3.497410914232205,0.19133936797209647,0.026346519357548063
14,14,4000,0.05,2,50000,4.645923194002247,,50000.0,100.0,,3.995731726311988,0.18359103911831812,0.02930878742832832
15,15,4000,0.01,2,50000,4.645923194002247,,50000.0,100.0,,3.9938390504557906,0.16579113940962908,0.025989123252376806
16,16,4500,0.05,2,50000,5.546693824604396,,50000.0,100.0,,4.493914330209009,0.18189709181354688,0.02627443503268497
17,17,4500,0.01,2,50000,5.546693824604396,,50000.0,100.0,,4.487116397236605,0.1756868186227273,0.029023364478192745
18,18,5000,0.05,2,50000,6.092590039420309,,50000.0,100.0,,4.990506152037597,0.18670428674344772,0.02786843011618688
19,19,5000,0.01,2,50000,6.092590039420309,,50000.0,100.0,,4.904272123089868,0.1717374228964548,0.03035502178469475
