,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,M1.slopeErrorSag,PremirrorM2.slopeErrorMer,PremirrorM2.slopeErrorSag,PG.slopeErrorMer,PG.slopeErrorSag,M3.slopeErrorSag,M3.slopeErrorMer,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
14,14,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12057.95,6.028975000000001,500.0,0.0424852578593941,0.0072903694987305,0.0096411174564895,83638783880727.75,11.790601473352178,71.07630520910106,986027596801222.4,0.0018148875038568,0.0010148564314091
15,15,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12088.1,6.044050000000001,500.0,0.0427138060173887,0.0071397004185491,0.009646212823617,83847916389487.89,11.742603576552115,70.95723528452515,984375763166434.0,0.0018194254939995,0.0010173940038328
16,16,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12082.85,6.041424999999999,500.0,0.0416032459548602,0.0071337135792686,0.0096384589428942,83811500280997.31,12.050516704129802,72.79886795161075,1009924370787142.2,0.001818635296711,0.0010169521379879
17,17,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12115.55,6.057775,500.0,0.0425893082682022,0.0072698716736238,0.0096371081014275,84038320613881.39,11.76531109217576,71.28861299591411,988972900952832.0,0.0018235570969653,0.0010197043309649
18,18,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12098.75,6.049375,500.0,0.0427825737077881,0.0072319993382841,0.0096378726343647,83921789066711.6,11.723464802799306,70.9208535706131,983871046807998.2,0.001821028465642,0.0010182903602611
19,19,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12073.15,6.036575,500.0,0.0428531377717035,0.0071707293301426,0.0096384318640054,83744217185309.97,11.692066579284807,70.58193929093889,979169355692714.8,0.0018171753131493,0.0010161357382363
20,20,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12060.9,6.03045,500.0,0.0440538318591165,0.0071697889576846,0.0096440614790734,83659246265498.66,11.380944813310515,68.63501442749639,952160050149818.8,0.0018153315194761,0.0010151047179315
21,21,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10902.35,5.451175000000001,500.0,0.3307106022694654,0.0072873763992756,0.0096425104650614,75623078171832.88,1.515920524075021,8.264067785512491,114645786304996.08,0.0016409537921183,0.0009175954465703
22,22,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,12071.75,6.035875,500.0,0.0434725919170005,0.0071969111889587,0.0096479290437469,83734506223045.83,11.522034821623029,69.55091820652368,964866203058000.2,0.0018169645938724,0.0010160179073443
23,23,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,12065.9,6.03295,500.0,0.0429106972811836,0.0071617217476487,0.0096473107115967,83693928273584.89,11.665693364013368,70.37958708168104,976362163309614.0,0.0018160840883223,0.0010155255425457
24,24,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,,12068.1,6.034050000000001,500.0,0.0426174851056998,0.0071914970545609,0.0096558062961018,83709188357142.84,11.75083682487656,70.91002250980969,983720789632651.0,0.0018164152186146,0.0010157107053759
25,25,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,12078.15,6.039074999999999,500.0,0.0419916166239516,0.007315878792663,0.0096419099219116,83778899193396.22,11.94190757990836,72.11200279619442,1000395625637416.2,0.0018179278819956,0.0010165565628505
26,26,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,12090.75,6.045374999999999,500.0,0.0431703743352414,0.0070539199570581,0.0096426686321741,83866297853773.6,11.60030826953682,70.12521300344946,972833281774349.6,0.001819824355488,0.0010176170408784
27,27,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,12072.55,6.036274999999999,500.0,0.0428448860701365,0.007302105766746,0.0096841667773619,83740055344339.64,11.688857052607274,70.55593177402483,978808558527948.0,0.0018170850048878,0.0010160852392826
