Energy	Efficiency(PM)	theta(PM)
500	0.0180072097272539	74.5440434835295
502	0.016557003756174	74.6083278970406
504	0.0151218642195611	74.6721377900206
506	0.0143036719647794	74.7368508450703
508	0.0128956855267168	74.7960534429331
510	0.0113386901236517	74.8588404091997
512	0.0097918395462022	74.9216899434742
514	0.00893442551011624	74.9807156711452
516	0.00771800743409508	75.0418734651068
518	0.00648803082449351	75.0991002869062
520	0.00511480405132292	75.1564853530502
522	0.00416205977009105	75.2093817269039
524	0.00331590998888862	75.2671765133099
526	0.00237736313154441	75.31601586634
528	0.00174873750536812	75.3675883276325
530	0.00115648249551422	75.4122946046971
532	8.12761824902103E-4	75.4639247222807
534	7.02812158078278E-4	75.5368780566495
536	9.17994395944852E-4	75.6394901857429
538	0.00168599174447674	75.7241488926259
540	0.00275002317581325	75.7908340153958
542	0.00420113848025357	75.8478990384912
544	0.00680856450366944	75.9097286389406
546	0.010244373190411	75.9640228861892
548	0.014689466724568	76.021896895096
550	0.0203276230804554	76.0797618244608
552	0.0261684534081054	76.1365728515711
554	0.0375547979084768	76.1969572351617
556	0.0500199383800233	76.2564327671602
558	0.0642356933650152	76.3156960603997
560	0.0797756720941696	76.3709505373488
562	0.108702627944642	76.4362016739862
564	0.150040320973817	76.5064439229633
566	0.192984950979894	76.5800240471848
568	0.235549486268688	76.6496427061559
570	0.282032799613297	76.7219745707254
572	0.497308366562273	76.9396224572887
574	0.301538097003266	77.0489709290719
576	0.192934514984428	76.9813299563344
578	0.13645774868091	76.9172333979704
580	0.107717115435328	76.894155348059
582	0.102963703693239	76.9230280694864
584	0.0985024107803201	76.9528359016513
586	0.094645258210525	76.9823851170348
588	0.0914368091683916	77.0116668247534
590	0.0898453262531641	77.0481870963856
592	0.088758015081423	77.0833725499774
594	0.0879391851899368	77.1219586245569
596	0.0872399627024964	77.1561511602268
598	0.0868424182472596	77.1904579426529
600	0.0866700915254915	77.2313758668591
602	0.0866151579809303	77.2689938131768
604	0.0864779684831232	77.3062244958122
606	0.0865975956105148	77.3427318225692
608	0.0867538893626081	77.3793981183744
