,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
36,36,0.05,574,2,500000.0,1.22372713714585,,574.0,0.1148,,574.0,0.05079495688846691,0.009907746761458532,0.009867302582100968,11.30033442611953,1.297278392118522,
37,37,0.05,576,2,500000.0,1.22027554950736,,370.0,0.07399999999999998,,576.0,0.041336583310794595,0.009653830293330931,0.009602039603885185,13.934388231104336,1.0311447291017208,
38,38,0.05,578,2,500000.0,1.21702969464689,,261.0,0.0522,,578.0,0.05845243911176112,0.00844595060360568,0.009798580835703624,9.88838119988224,0.516173498633853,
39,39,0.05,580,2,500000.0,1.21534946177801,,232.0,0.0464,,580.0,0.06256960692803659,0.012092666396466228,0.0112513466693112,9.269676260985264,0.43011297850971614,
40,40,0.05,582,2,500000.0,1.21559007975785,,269.0,0.053799999999999994,,582.0,0.05230327155288705,0.013515632394027165,0.011604837369448435,11.127411015035724,0.598654712608922,
41,41,0.05,584,2,500000.0,1.21587072513883,,332.0,0.0664,,584.0,0.05497839473559906,0.00630935262896858,0.01107920046957006,10.622354523237,0.7053243403429369,
42,42,0.05,586,2,500000.0,1.21614745395122,,378.0,0.0756,,586.0,0.047359786652577895,0.0107432026229104,0.010420491142290308,12.373366550377032,0.9354265112085037,
43,43,0.05,588,2,500000.0,1.21641984515278,,403.0,0.08059999999999998,,588.0,0.03116297925521394,0.00840688880912217,0.011551075362249927,18.868542548017793,1.520804529370234,
44,44,0.05,590,2,500000.0,1.21696884226858,,535.0,0.107,,590.0,0.04427645013799975,0.00843476814925032,0.011933869912073632,13.32536818469192,1.4258143957620355,
45,45,0.05,592,2,500000.0,1.21747564218327,,607.0,0.1214,,592.0,0.04548794761831232,0.010669862096006042,0.010533020312795831,13.014436372628856,1.5799525756371435,
46,46,0.05,594,2,500000.0,1.21811891168984,,708.0,0.1416,,594.0,0.04709915272951548,0.008951403530695078,0.010855013773474703,12.611691836820665,1.785815564093806,
47,47,0.05,596,2,500000.0,1.21860384648691,,901.0,0.1802,,596.0,0.04620070874807425,0.008223136704665235,0.012251337253384544,12.900234999638238,2.3246223469348104,
48,48,0.05,598,2,500000.0,1.21910049382016,,1002.0,0.2004,,598.0,0.05768020292566689,0.009198648968732133,0.011793665242831656,10.367508602052755,2.077648723851373,
49,49,0.05,600,2,500000.0,1.21985929056978,,1307.0,0.2614,,600.0,0.04846959516839888,0.008883812023286504,0.01150469407880343,12.378894395866272,3.235842995079444,
50,50,0.05,602,2,500000.0,1.22050059246538,,1509.0,0.30179999999999996,,602.0,0.04847798247760693,0.00866777142284416,0.011519821486263033,12.418008531565382,3.747754974826432,
51,51,0.05,604,2,500000.0,1.22113579614298,,1713.0,0.3426,,604.0,0.04484554733994628,0.009419508412627389,0.011713960433231196,13.468449730838396,4.614290877785235,
52,52,0.05,606,2,500000.0,1.22175151083902,,2098.0,0.4196,,606.0,0.05260881641163451,0.01016139435346644,0.011651229292196906,11.518981823472126,4.833364773128904,
53,53,0.05,608,2,500000.0,1.22238215795596,,2412.0,0.4824,,608.0,0.05731221927680962,0.009699399911466558,0.011633687398740563,10.608557959751115,5.117568359783937,
54,54,0.05,610,2,500000.0,1.22318836533182,,2713.0,0.5426,,610.0,0.05160914976556796,0.01073097048867186,0.011365687727931943,11.81960956091885,6.413320147754568,
55,55,0.05,612,2,500000.0,1.22388822314828,,3093.0,0.6185999999999999,,612.0,0.055698165960393446,0.01016328388516614,0.012134693941322224,10.987794471279155,6.7970496599332835,
56,56,0.05,614,2,500000.0,1.2245971197151,,3539.0,0.7078,,614.0,0.046362225247094095,0.011186007075333116,0.011903451564886482,13.243540333269152,9.373777847887906,
57,57,0.05,616,2,500000.0,1.2252878876884,,3940.0,0.788,,616.0,0.057082819522292993,0.010472101075096009,0.011461261600635727,10.791338009493886,8.503574351481182,
58,58,0.05,618,2,500000.0,1.225923815419,,4411.0,0.8822,,618.0,0.05257964824045303,0.00995588940604653,0.01234848575257668,11.753597079497604,10.369023343532787,
59,59,0.05,620,2,500000.0,1.22668718395639,,5150.0,1.03,,620.0,0.05321680160659525,0.011382778012845735,0.011390654931768359,11.650455895176576,11.999969572031874,
60,60,0.05,622,2,500000.0,1.22741865002142,,5694.0,1.1388,,622.0,0.05049588645329095,0.010602840283035972,0.011505063320320644,12.317835049303556,14.027550554146892,
61,61,0.05,624,2,500000.0,1.22816432589286,,6178.0,1.2356,,624.0,0.054196821587424886,0.01082145478869087,0.011573048913198367,11.513590312550445,14.226192190187332,
62,62,0.05,626,2,500000.0,1.22887045718098,,6981.0,1.3962,,626.0,0.050384421241233206,0.0104200504460496,0.011526005394005686,12.424475355245303,17.347052490993494,
63,63,0.05,628,2,500000.0,1.22959507691401,,7676.0,1.5352,,628.0,0.05426199733085468,0.010770182184629653,0.011816556172309516,11.573477403916055,17.767602510491926,
64,64,0.05,630,2,500000.0,1.23040421769492,,8356.0,1.6712,,630.0,0.052487030629549736,0.011324071677148651,0.011864796021329952,12.002965160031659,20.05935537544491,
65,65,0.05,632,2,500000.0,1.23117903184959,,9084.0,1.8168,,632.0,0.05251207950959724,0.009688639848151086,0.011830996662688012,12.035326079297509,21.86578042086771,
66,66,0.05,634,2,500000.0,1.2319261619573,,10084.0,2.0168,,634.0,0.05415382554065218,0.010767092156902854,0.011633598752426384,11.707390819953599,23.611465805682418,
67,67,0.05,636,2,500000.0,1.23270341452702,,10647.0,2.1294,,636.0,0.05268927721920136,0.010757508938679652,0.01181334053821456,12.070767214248763,25.703491706021317,
68,68,0.05,638,2,500000.0,1.23347773841695,,11543.0,2.3086,,638.0,0.04847689050075133,0.010583805783942664,0.011270653630665374,13.16091014521882,30.383277161252167,
69,69,0.05,640,2,500000.0,1.23422873606346,,12390.0,2.478,,640.0,0.05117220732347505,0.010186628180642771,0.011628861528198892,12.506789006664608,30.991823158514908,
