Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor
46,0.05,594,2,500000.0,1.21811891168984
47,0.05,596,2,500000.0,1.21860384648691
48,0.05,598,2,500000.0,1.21910049382016
49,0.05,600,2,500000.0,1.21985929056978
50,0.05,602,2,500000.0,1.22050059246538
51,0.05,604,2,500000.0,1.22113579614298
52,0.05,606,2,500000.0,1.22175151083902
53,0.05,608,2,500000.0,1.22238215795596
54,0.05,610,2,500000.0,1.22318836533182
55,0.05,612,2,500000.0,1.22388822314828
56,0.05,614,2,500000.0,1.2245971197151
57,0.05,616,2,500000.0,1.2252878876884
58,0.05,618,2,500000.0,1.225923815419
59,0.05,620,2,500000.0,1.22668718395639
60,0.05,622,2,500000.0,1.22741865002142
61,0.05,624,2,500000.0,1.22816432589286
62,0.05,626,2,500000.0,1.22887045718098
63,0.05,628,2,500000.0,1.22959507691401
64,0.05,630,2,500000.0,1.23040421769492
65,0.05,632,2,500000.0,1.23117903184959
66,0.05,634,2,500000.0,1.2319261619573
67,0.05,636,2,500000.0,1.23270341452702
68,0.05,638,2,500000.0,1.23347773841695
69,0.05,640,2,500000.0,1.23422873606346
70,0.05,642,2,500000.0,1.23521015912391
71,0.05,644,2,500000.0,1.23598529338285
72,0.05,646,2,500000.0,1.23678336528058
73,0.05,648,2,500000.0,1.2375610899281
74,0.05,650,2,500000.0,1.23833604842222
75,0.05,652,2,500000.0,1.23915559600907
76,0.05,654,2,500000.0,1.23991243430684
77,0.05,656,2,500000.0,1.24074079328274
78,0.05,658,2,500000.0,1.24155651007879
79,0.05,660,2,500000.0,1.24231942993718
80,0.05,662,2,500000.0,1.24314995045508
81,0.05,664,2,500000.0,1.24399008048548
82,0.05,666,2,500000.0,1.24478593786844
83,0.05,668,2,500000.0,1.24561914540455
84,0.05,670,2,500000.0,1.24636834168605
85,0.05,672,2,500000.0,1.24722718437682
86,0.05,674,2,500000.0,1.24809630082086
87,0.05,676,2,500000.0,1.24884567323607
88,0.05,678,2,500000.0,1.24968323318255
89,0.05,680,2,500000.0,1.25043238280315
90,0.05,682,2,500000.0,1.2512710931248
91,0.05,684,2,500000.0,1.25210187482514
92,0.05,686,2,500000.0,1.2528606408531
93,0.05,688,2,500000.0,1.2537017293449
94,0.05,690,2,500000.0,1.25445082841514
95,0.05,692,2,500000.0,1.25529326238378
96,0.05,694,2,500000.0,1.25608149875268
97,0.05,696,2,500000.0,1.25688263441476
98,0.05,698,2,500000.0,1.25768349177669
99,0.05,700,2,500000.0,1.25848494585637
100,0.05,702,2,500000.0,1.25928548443795
101,0.05,704,2,500000.0,1.2600864681475
102,0.05,706,2,500000.0,1.26088685337121
103,0.05,708,2,500000.0,1.26168753417693
104,0.05,710,2,500000.0,1.26248794694978
105,0.05,712,2,500000.0,1.2634870605769
106,0.05,714,2,500000.0,1.2642888534796
107,0.05,716,2,500000.0,1.26509115522965
108,0.05,718,2,500000.0,1.26589288992069
109,0.05,720,2,500000.0,1.266694990595
110,0.05,722,2,500000.0,1.26742532522346
111,0.05,724,2,500000.0,1.26822702873633
112,0.05,726,2,500000.0,1.26902888811467
113,0.05,728,2,500000.0,1.26983031425198
114,0.05,730,2,500000.0,1.27055805381929
115,0.05,732,2,500000.0,1.27135901229813
116,0.05,734,2,500000.0,1.272159837589
117,0.05,736,2,500000.0,1.27296098866863
118,0.05,738,2,500000.0,1.27368491854199
119,0.05,740,2,500000.0,1.27448555561608
120,0.05,742,2,500000.0,1.27528577565715
121,0.05,744,2,500000.0,1.276086046278
122,0.05,746,2,500000.0,1.27688630008345
123,0.05,748,2,500000.0,1.27768646892401
124,0.05,750,2,500000.0,1.27848648389625
125,0.05,752,2,500000.0,1.2792868307211
126,0.05,754,2,500000.0,1.28016843760962
127,0.05,756,2,500000.0,1.28096914587123
128,0.05,758,2,500000.0,1.2817699952141
129,0.05,760,2,500000.0,1.28257035434233
130,0.05,762,2,500000.0,1.28337129179016
131,0.05,764,2,500000.0,1.28418710389317
132,0.05,766,2,500000.0,1.28505838495462
133,0.05,768,2,500000.0,1.28585885107582
134,0.05,770,2,500000.0,1.28689382385114
135,0.05,772,2,500000.0,1.28769614424958
136,0.05,774,2,500000.0,1.28835108195056
137,0.05,776,2,500000.0,1.2891523913895
