,Simulation Number,CPMU20.photonEnergy,CPMU20.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,600,100000.0,,0.0,4351.2,4.3512,600.0,0.0,2.369536003297754,0.0162967749831037,0.0136798021887028,0.0089628056364659,0.0045058808131589,3.99938688890157e-05,56501467907756.8,,,,0.0014708579430163,0.000839465250871
1,1,1000,100000.0,,0.0,6516.2,6.5162,1000.0,0.0,2.3333213305461733,0.0152578924508387,0.0134550611120064,0.0074173649139314,0.0014473132207105,-1.6712249210925637e-05,49640394036118.6,,,,0.002168223376725,0.001142479557652
2,2,1500,100000.0,,0.0,4612.4,4.6124,1500.0,0.0,2.445538859513616,0.0139705959722822,0.0143683227449337,0.0061892993490866,-0.0088661489188639,3.225581965724405e-05,29303801649501.0,,,,0.0019155576104358,0.0012444548954029
