,Simulation Number,CPMU20.photonEnergy,CPMU20.numberRays,Simulation Number,CPMU20.photonEnergy,CPMU20.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,500,500000.0,0,500,500000.0,,0.5,1772.0,0.3544,500.0,0.047895569661648,2.384550181796903,0.0295909992145724,0.0136216435913368,0.0091498891985648,0.0291416044573886,-9.378942648233626e-05,4916521466307.277,10.439378914003608,3.699715887122878,51325430525614.29,0.0001066841596402,5.965609731196584e-05
1,1,750,500000.0,1,750,500000.0,,0.75,2989.0,0.5978,750.0,0.0764626390649709,2.224291519464936,0.0284167328212918,0.0128617018181399,0.0086699997275075,0.0017362574987631,-0.0001561473225208,6761276132361.749,9.80871193005408,5.86364799178633,66319409861886.61,0.0002208911348622,0.0001248820425878
2,2,1000,500000.0,2,1000,500000.0,,1.0,4183.0,0.8366,1000.0,0.1254319703409692,2.008509655186133,0.0296814156688877,0.0130071090406812,0.0078122613455269,0.0349539982000482,-5.5781094610805735e-05,6373216545013.477,7.972449107525302,6.669750923355667,50810144556358.18,0.0002783732354697,0.0001466803348472
3,3,1250,500000.0,3,1250,500000.0,,1.25,4481.0,0.8962,1250.0,0.1396403035528237,2.4698795010230565,0.0294978175558862,0.0143618417313427,0.0056977373769326,0.0070793901003111,0.00011016069387,6654135633333.333,8.951570343207859,8.022397341582883,59564963195029.305,0.0003637306829254,0.0002309878271595
4,4,1500,500000.0,4,1500,500000.0,,1.5,3772.0,0.7544000000000001,1500.0,0.2300309614827256,1.9597291551602456,0.0290582852928309,0.0113424238354784,0.0070777983291275,-0.015069049684855,-0.0001799265927983,4792903469860.279,6.520861323759863,4.91933778264444,31253858865126.34,0.0003133068817346,0.0002035419246145
5,5,1750,500000.0,5,1750,500000.0,,1.75,2715.0,0.543,1750.0,0.2385895843301568,2.18362743495856,0.0269785615922526,0.0125236648160847,0.0062153349823852,0.0223247109681779,5.870993044161032e-05,2845970299401.1978,7.334771150690195,3.982780734824776,20874540847769.04,0.0002120171807959,0.0001373332319682
6,6,2000,500000.0,6,2000,500000.0,,2.0,1255.0,0.251,2000.0,0.3442887368678384,2.50280826331499,0.0287731316082882,0.013053803518494,0.0072177099452722,-0.0280049167411827,-0.0001534785019726,1214176177644.7104,5.809077631162058,1.4580784854216764,7053243673845.736,0.0001034836584373,6.402768387594515e-05
