,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,M1.slopeErrorSag,PremirrorM2.slopeErrorMer,PremirrorM2.slopeErrorSag,PG.slopeErrorMer,PG.slopeErrorSag,M3.slopeErrorSag,M3.slopeErrorMer,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,500.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,20936.9,5.234225,500.0,0.0375893062063084,0.0073353103439443,0.0098662467537239,-0.0006176877492963,-4.83404620208747e-06,72613373510107.81,13.338302575409935,69.80846226163962,968439061058839.4,0.0015756458676433,0.0008810762865482
1,1,0.03,500.0,5,1,400000.0,0.5,1.5,0.05,0.5,0.05,0.5,1.0,0.3,0.05,0.1,0.05,0.1,,0.5,20834.6,5.20865,500.0,0.0386860544288878,0.0089568397894712,0.0096811215141015,-0.0005940065670283,-2.464482038732206e-06,72258576567385.45,12.952391844740538,67.46102909417614,935873582620476.2,0.0015679470883465,0.0008767712507447
2,2,0.03,500.0,5,1,400000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,20922.3,5.230575,500.0,0.0382344983438997,0.0077298918060088,0.0098656909113082,-0.0006303512646258,6.359377572361013e-08,72562737778301.89,13.11319327005375,68.59589515703503,951617356208031.0,0.0015745471171279,0.0008804618826115
3,3,0.03,500.0,5,1,400000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,20877.4,5.21935,500.0,0.0382146699514862,0.0091857922013634,0.0098585567360785,-0.0006307048118762,5.7734459622189565e-06,72407015561994.61,13.150470992625676,68.64239438382603,952262430831858.8,0.0015711680830083,0.0008785723800936
4,4,0.03,500.0,5,1,400000.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,20857.4,5.2143500000000005,500.0,0.0388045422999766,0.0104039091513293,0.0098635191982588,-0.0006105759730004,6.300949599704939e-06,72337651545822.11,12.940175986087905,67.47678668067081,936092184517367.2,0.0015696629453159,0.0008777307308652
5,5,0.03,500.0,5,1,400000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,20570.0,5.1425,500.0,0.0392683178559422,0.0229111893343269,0.0098587379079291,-0.0004353031017657,8.586042200365912e-07,71340890633423.17,12.7550865743781,65.60201879181287,910083898484879.6,0.0015480341166755,0.0008656362314525
6,6,0.03,500.0,5,1,400000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,20931.5,5.232875,500.0,0.0375679654647853,0.0072189945264311,0.0098573482623623,-0.0006340751912802,-4.342389347726319e-06,72594645225741.25,13.351068571376766,69.87326077895513,969337998139444.8,0.0015752394804664,0.0008808490412565
7,7,0.03,500.0,5,1,400000.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,21002.8,5.2507,500.0,0.0382062073398003,0.0073946376320945,0.009851462819152,-0.0006294747711959,2.0813745381567037e-07,72841927943396.22,13.150601180431783,69.05967053435691,958051220762624.0,0.0015806052963399,0.0008838495207559
8,8,0.03,500.0,5,1,400000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,20834.9,5.208725,500.0,0.038489461091683,0.007155492927592,0.0098674070842161,-0.0006257444609651,1.944012587693845e-06,72259617027628.03,13.014998876825164,67.79184589597567,940462939018507.8,0.0015679696654119,0.0008767838754832
9,9,0.03,500.0,5,1,400000.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,20921.3,5.230325,500.0,0.0392048001107013,0.0074455584434912,0.0098638299726086,-0.0006153656007364,7.055681872964989e-06,72559269577493.28,12.77486338364141,66.81982835805051,926978330974388.0,0.0015744718602432,0.00088041980015
10,10,0.03,500.0,5,1,400000.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,20845.0,5.211250000000001,500.0,0.0387578146496366,0.0075215468486376,0.0098481419944517,-0.0006429416051255,7.600478947121247e-07,72294645855795.16,12.917415820173886,67.31775383023948,933885953075511.8,0.0015687297599466,0.0008772089083435
11,11,0.03,500.0,5,1,400000.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,20873.9,5.218475000000001,500.0,0.0385801670106843,0.0074874959868928,0.0098619190048895,-0.0006229723047956,-8.443568909068614e-06,72394876859164.42,13.018421121133704,67.94241395341773,942551740052803.0,0.0015709046839121,0.0008784250914786
12,12,0.03,500.0,5,1,400000.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,20871.6,5.2179,500.0,0.0397507142418361,0.0074983959527468,0.0098595595495214,-0.0006176859053602,5.774596656219883e-06,72386899997304.6,12.601678024444483,65.75599503888313,912219980663272.6,0.0015707315930775,0.0008783283018174
13,13,0.03,500.0,5,1,400000.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,20886.8,5.2217,500.0,0.0915406509716887,0.007534909743439,0.0098501727823454,-0.000626192956087,-3.129255414090029e-06,72439616649595.67,5.469272591157901,28.55808839383447,396180741041162.1,0.0015718754977238,0.000878967955231
