,Simulation Number,CPMU20.photonEnergy,PG.lineDensity,PG.cFactor,ExitSlit.totalHeight,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,500,1200,2.25,0.05,2,50000,,50000.0,100.0,,0.4993247375207375,0.18861434437893249,0.04163610509897967
1,1,500,1200,2.25,0.01,2,50000,,50000.0,100.0,,0.4996407156129408,0.17171255290549522,0.0411041240873996
2,2,1000,1200,2.25,0.05,2,50000,,50000.0,100.0,,0.9989685320564377,0.1850558907935453,0.032249482088301584
3,3,1000,1200,2.25,0.01,2,50000,,50000.0,100.0,,0.9992767869300678,0.1893357335659213,0.029710179494656024
4,4,1500,1200,2.25,0.05,2,50000,,50000.0,100.0,,1.4974855110185672,0.17863871837278295,0.027937894901778355
5,5,1500,1200,2.25,0.01,2,50000,,50000.0,100.0,,1.4984958041102343,0.1685832347729397,0.03131314426254923
6,6,2000,1200,2.25,0.05,2,50000,,50000.0,100.0,,1.9935834458067347,0.16846776823471463,0.02726972992463384
7,7,2000,1200,2.25,0.01,2,50000,,50000.0,100.0,,1.9972640891123772,0.16314213858650675,0.031044436263971808
8,8,2500,1200,2.25,0.05,2,50000,,50000.0,100.0,,2.4982221914074216,0.16515583449096105,0.03245548748933013
9,9,2500,1200,2.25,0.01,2,50000,,50000.0,100.0,,2.4966205828832244,0.18024936721677248,0.03052666940819992
10,10,3000,1200,2.25,0.05,2,50000,,50000.0,100.0,,2.998946704071386,0.16376458214145,0.02715448941376731
11,11,3000,1200,2.25,0.01,2,50000,,50000.0,100.0,,2.998435417287965,0.193838602770064,0.02923335696860992
12,12,3500,1200,2.25,0.05,2,50000,,50000.0,100.0,,3.4576786375482698,0.17640153239460804,0.025878979903442092
13,13,3500,1200,2.25,0.01,2,50000,,50000.0,100.0,,3.4766963623133047,0.1744374613030877,0.02895377956368411
14,14,4000,1200,2.25,0.05,2,50000,,50000.0,100.0,,3.99517336768804,0.18737228270859943,0.025480318689992502
15,15,4000,1200,2.25,0.01,2,50000,,50000.0,100.0,,3.998505870134068,0.185659201981848,0.02780688216348112
16,16,4500,1200,2.25,0.05,2,50000,,50000.0,100.0,,4.442291898743861,0.17360893922631887,0.029285468772041228
17,17,4500,1200,2.25,0.01,2,50000,,50000.0,100.0,,4.493691624287749,0.1863971963888051,0.02875226727287485
18,18,5000,1200,2.25,0.05,2,50000,,50000.0,100.0,,4.9966266527299,0.19328008188163143,0.025444799554434235
19,19,5000,1200,2.25,0.01,2,50000,,50000.0,100.0,,4.986400707226494,0.1675020023094882,0.02507803470650779
