,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,M1.slopeErrorSag,PremirrorM2.slopeErrorMer,PremirrorM2.slopeErrorSag,PG.slopeErrorMer,PG.slopeErrorSag,M3.slopeErrorSag,M3.slopeErrorMer,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
10,10,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12090.79,6.045394999999997,500.0,0.0424839057695498,0.0071986122342536,0.0096471643730582,-0.0002776146700217,2.0559211200878365e-06,83866575309838.22,11.78832176522013,71.26246145133581,988610105720619.0,0.0018198303760388,0.0010176204074753
11,11,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12070.03,6.035015000000002,500.0,0.0429770772283018,0.0071409026596681,0.0096442019841549,-0.0002776550440259,1.1595716555966829e-07,83722575612264.12,11.655217384806022,70.34279851802845,975851802804782.0,0.0018167057101893,0.001015873143677
12,12,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12105.12,6.05256,500.0,0.0426212244382247,0.0072666674329259,0.0096481860553955,-0.000281329796923,5.854663002013e-07,83965973945013.45,11.758355045213362,71.16568836485789,987267591733515.2,0.0018219872383521,0.0010188264908196
13,13,0.03,500.0,2.25,1,200000.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12009.43,6.004715000000001,500.0,0.2055167701350046,0.0072393901016803,0.0096460655131493,-0.0002774935094559,4.467345486573336e-06,83302229674258.8,2.441000472646004,14.657852189144268,203345499260403.25,0.0018075845757731,0.0010107727493527
14,14,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12093.89,6.046944999999998,500.0,0.0424381841122226,0.0071387884896226,0.0096451199299125,-0.0002796087773215,8.506074454140117e-07,83888078154851.73,11.803184590394102,71.37269010770544,990139286181237.8,0.0018202969687235,0.0010178813187361
15,15,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12077.23,6.038615000000002,500.0,0.0420253917389328,0.0072029638727617,0.0096514990634697,-0.0002783620545495,-1.1914352608729534e-06,83772517703908.33,11.920866428608818,71.98270531806213,998601907164569.6,0.0018177894093279,0.0010164791311215
16,16,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12078.81,6.039405000000001,500.0,0.0422109446605475,0.0071785338348634,0.0096426511972048,-0.0002800163187953,5.0095560959333295e-06,83783477218463.6,11.8646758574133,71.65925374961384,994114727199595.6,0.0018180272210833,0.0010166121116996
17,17,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12103.19,6.051595,500.0,0.0421849556135487,0.0072651042382177,0.009640459093968,-0.0002769674158876,2.0888182607342475e-06,83952586689892.19,11.875544200143128,71.86696182511055,996996220461178.4,0.0018216967467774,0.0010186640525185
18,18,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12095.63,6.047815000000001,500.0,0.042372133197964,0.0072106891755501,0.0096479597908235,-0.0002760639441388,-1.0335238749363711e-06,83900147493665.8,11.830893491484986,71.5508138936022,992610362414369.2,0.001820558862682,0.0010180277657018
19,19,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12072.01,6.036004999999998,500.0,0.0427514980622458,0.0071753639916566,0.0096457696464627,-0.0002725619577133,1.7092785535229487e-06,83736309687466.34,11.718119945765071,70.73238787276689,981256499265325.0,0.0018170037274524,0.0010160397902243
