Energy	Efficiency(PM)	theta(PM)
500	0.01801424793	74.54655129
502	0.01656146393	74.61082334
504	0.01512380918	74.67462958
506	0.01430536118	74.73933131
508	0.01290231999	74.79822969
510	0.01134231332	74.86100831
512	0.009792708191	74.92385132
514	0.008938193162	74.9825574
516	0.007719044612	75.04371053
518	0.006489866244	75.1006124
520	0.005115687143	75.15767779
522	0.004165151627	75.21393791
524	0.003316695066	75.27140868
526	0.002378983153	75.31929016
528	0.001749094269	75.37021599
530	0.001156886337	75.4136307
532	8.129343617E-4	75.46460156
534	7.02989329E-4	75.53879946
536	9.182012295E-4	75.64123181
538	0.001686306698	75.72815176
540	0.00275060691	75.7914867
542	0.004205287153	75.85255496
544	0.006809895499	75.91071597
546	0.01025471328	75.96868308
548	0.01470091801	76.02655992
550	0.02033823887	76.08442912
552	0.02617724566	76.14123963
554	0.03756274122	76.19762771
556	0.05002918099	76.25710807
558	0.06424639153	76.31637373
560	0.07986228424	76.37529036
562	0.1088107338	76.4405448
564	0.1501817144	76.51079071
566	0.193011707	76.58072043
568	0.2356095887	76.65433845
570	0.2821401322	76.72667923
572	0.4975172447	76.94906532
574	0.3089318955	76.9619893
576	0.1986860573	76.90425464
578	0.1390695373	76.87073431
580	0.1088272935	76.86544558
582	0.1038138563	76.89467144
584	0.09910728999	76.92884022
586	0.0950469653	76.96274025
588	0.09167582374	76.99637484
590	0.09004977851	77.0372588
592	0.08885942462	77.07644701
594	0.08803955212	77.11138847
596	0.08728663787	77.14958384
598	0.08685232861	77.18789154
600	0.08668872475	77.22917258
602	0.08661970003	77.2667989
604	0.08648652154	77.30802853
606	0.08661997703	77.34454443
608	0.08681025042	77.38521631
610	0.08699609154	77.42244262
612	0.08728106255	77.46437892
614	0.08762524537	77.50229397
616	0.08806542367	77.53953407
618	0.08834105617	77.579184
620	0.08878195032	77.61774043
622	0.08928296865	77.65526235
624	0.08969626239	77.69289939
626	0.09013459857	77.73334596
628	0.09063978363	77.77000613
630	0.09107572259	77.80843474
632	0.09162271024	77.84579613
634	0.091758144	77.88228403
636	0.0924467951	77.91923852
638	0.09319005646	77.95988103
640	0.09341409781	77.99577319
642	0.09391428238	78.03302823
644	0.09486198618	78.06897591
646	0.09541149936	78.10520741
648	0.09574712147	78.14075845
650	0.09666190446	78.17603135
652	0.09742460053	78.21205273
654	0.0976894658	78.25048859
656	0.09855769054	78.28625474
658	0.0991127927	78.32152038
660	0.09966618908	78.35543097
662	0.1003165641	78.3905731
664	0.1006034645	78.42569638
666	0.1012684719	78.45966974
668	0.1019973981	78.49420903
670	0.1024739222	78.52679449
672	0.1032294365	78.56143862
674	0.1039194063	78.59606615
676	0.1044591193	78.62805688
678	0.105568424	78.66162559
680	0.1060305682	78.69322534
682	0.1069893554	78.73041628
684	0.1079164205	78.76324412
686	0.1084368366	78.79445234
688	0.1094750063	78.82709222
690	0.1101154317	78.85774759
692	0.1111180655	78.89002695
694	0.1118219889	78.92106754
