X-Position (mm)	Y-Position (mm)	Z-Position (mm)	Verschiebungskomponente (mm)
-22,5	100,	-520,	-1,6554e-003
-22,5	100,	0,	-1,5061e-003
-22,5	99,998	-5,	-1,45e-003
-22,5	99,997	-10,	-1,3954e-003
-22,5	99,995	-15,	-1,3428e-003
-22,5	99,994	-20,	-1,2917e-003
-22,5	99,992	-25,	-1,2418e-003
-22,5	99,991	-30,	-1,193e-003
-22,5	99,989	-35,	-1,145e-003
-22,5	99,988	-40,	-1,0976e-003
-22,5	99,986	-45,	-1,051e-003
-22,5	99,985	-50,	-1,005e-003
-22,5	99,984	-55,	-9,5966e-004
-22,5	99,982	-60,	-9,15e-004
-22,5	99,981	-65,	-8,7102e-004
-22,5	99,98	-70,	-8,2775e-004
22,5	100,	0,	-1,3407e-003
-2,2142e-002	99,135	-260,22	2,7614e-004
-21,933	99,957	-260,22	5,2485e-005
-4,4082	99,169	-260,22	2,5087e-004
-8,7933	99,267	-260,22	2,1005e-004
-13,176	99,432	-260,22	1,6035e-004
-17,557	99,662	-260,22	1,0695e-004
-2,2142e-002	99,135	-520,	-1,5283e-003
-2,2142e-002	99,135	-515,	-1,461e-003
-2,2142e-002	99,135	-510,01	-1,3987e-003
-2,2142e-002	99,135	-505,01	-1,3393e-003
-2,2142e-002	99,135	-500,02	-1,2819e-003
-2,2142e-002	99,135	-495,02	-1,2261e-003
-2,2142e-002	99,135	-490,03	-1,1715e-003
-2,2142e-002	99,135	-485,03	-1,118e-003
-2,2142e-002	99,135	-480,03	-1,0653e-003
-2,2142e-002	99,135	-475,04	-1,0134e-003
-2,2142e-002	99,135	-470,04	-9,6216e-004
-2,2142e-002	99,135	-465,05	-9,116e-004
-2,2142e-002	99,135	-460,05	-8,6166e-004
-2,2142e-002	99,135	-455,05	-8,1244e-004
-2,2142e-002	99,135	-450,06	-7,6386e-004
-2,2142e-002	99,135	-445,06	-7,1602e-004
-2,2142e-002	99,135	-440,07	-6,6901e-004
-2,2142e-002	99,135	-435,07	-6,2282e-004
-2,2142e-002	99,135	-430,08	-5,7753e-004
-2,2142e-002	99,135	-425,08	-5,3312e-004
-2,2142e-002	99,135	-420,08	-4,8963e-004
-2,2142e-002	99,135	-415,09	-4,4703e-004
-2,2142e-002	99,135	-410,09	-4,0537e-004
-2,2142e-002	99,135	-405,1	-3,646e-004
-2,2142e-002	99,135	-400,1	-3,2485e-004
-2,2142e-002	99,135	-395,1	-2,8606e-004
-2,2142e-002	99,135	-390,11	-2,4839e-004
-2,2142e-002	99,135	-385,11	-2,1166e-004
-2,2142e-002	99,135	-380,12	-1,762e-004
-2,2142e-002	99,135	-375,12	-1,4189e-004
-2,2142e-002	99,135	-370,13	-1,088e-004
-2,2142e-002	99,135	-365,13	-7,6969e-005
-2,2142e-002	99,135	-360,13	-4,6396e-005
-2,2142e-002	99,135	-355,14	-1,7062e-005
-2,2142e-002	99,135	-350,14	1,0997e-005
-2,2142e-002	99,135	-345,15	3,7862e-005
-2,2142e-002	99,135	-340,15	6,338e-005
-2,2142e-002	99,135	-335,15	8,7556e-005
-2,2142e-002	99,135	-330,16	1,1044e-004
-2,2142e-002	99,135	-325,16	1,3193e-004
-2,2142e-002	99,135	-320,17	1,5196e-004
-2,2142e-002	99,135	-315,17	1,7032e-004
-2,2142e-002	99,135	-310,18	1,8739e-004
-2,2142e-002	99,135	-305,18	2,0283e-004
-2,2142e-002	99,135	-300,18	2,1683e-004
-2,2142e-002	99,135	-295,19	2,2936e-004
-2,2142e-002	99,135	-290,19	2,4042e-004
-2,2142e-002	99,135	-285,2	2,5004e-004
-2,2142e-002	99,135	-280,2	2,5811e-004
-2,2142e-002	99,135	-275,2	2,6481e-004
-2,2142e-002	99,135	-270,21	2,7018e-004
-2,2142e-002	99,135	-265,21	2,7401e-004
-18,011	99,689	-520,	-1,625e-003
-13,517	99,447	-520,	-1,5965e-003
-9,0207	99,274	-520,	-1,5704e-003
-4,522	99,17	-520,	-1,5473e-003
-21,933	99,957	-265,21	5,0305e-005
-21,934	99,957	-270,21	4,6792e-005
-21,935	99,957	-275,2	4,1809e-005
-21,936	99,957	-280,2	3,5344e-005
-21,938	99,957	-285,2	2,7501e-005
-21,941	99,957	-290,19	1,828e-005
-21,944	99,958	-295,19	7,6261e-006
-21,947	99,958	-300,18	-4,3614e-006
-21,951	99,958	-305,18	-1,7738e-005
-21,955	99,959	-310,18	-3,2526e-005
-21,959	99,959	-315,17	-4,8707e-005
-21,964	99,959	-320,17	-6,619e-005
-21,97	99,96	-325,16	-8,5006e-005
-21,975	99,96	-330,16	-1,0519e-004
-21,982	99,961	-335,15	-1,2671e-004
-21,988	99,961	-340,15	-1,4954e-004
-21,995	99,962	-345,15	-1,7362e-004
-22,003	99,962	-350,14	-1,9896e-004
-22,011	99,963	-355,14	-2,2554e-004
-22,019	99,963	-360,13	-2,5335e-004
-22,028	99,964	-365,13	-2,8236e-004
-22,037	99,965	-370,13	-3,1256e-004
-22,047	99,965	-375,12	-3,4389e-004
-22,057	99,966	-380,12	-3,7634e-004
-22,067	99,967	-385,11	-4,0989e-004
-22,078	99,968	-390,11	-4,4456e-004
-22,089	99,969	-395,1	-4,8028e-004
-22,1	99,97	-400,1	-5,1703e-004
-22,112	99,97	-405,1	-5,548e-004
-22,125	99,971	-410,09	-5,9352e-004
-22,138	99,972	-415,09	-6,3318e-004
-22,151	99,973	-420,08	-6,7377e-004
-22,165	99,974	-425,08	-7,1526e-004
-22,179	99,975	-430,08	-7,5758e-004
-22,193	99,977	-435,07	-8,0073e-004
-22,208	99,978	-440,07	-8,4466e-004
-22,223	99,979	-445,06	-8,8943e-004
-22,239	99,98	-450,06	-9,35e-004
-22,255	99,981	-455,05	-9,813e-004
-22,271	99,982	-460,05	-1,0283e-003
-22,288	99,984	-465,05	-1,076e-003
-22,305	99,985	-470,04	-1,1243e-003
-22,323	99,986	-475,04	-1,1733e-003
-22,341	99,988	-480,03	-1,223e-003
-22,36	99,989	-485,03	-1,2733e-003
-22,378	99,991	-490,03	-1,3243e-003
-22,398	99,992	-495,02	-1,3762e-003
-22,417	99,994	-500,02	-1,429e-003
-22,437	99,995	-505,01	-1,4831e-003
-22,458	99,997	-510,01	-1,5387e-003
-22,479	99,998	-515,	-1,5963e-003
21,933	99,957	-260,22	2,1355e-004
17,548	99,661	-260,22	2,3581e-004
13,159	99,431	-260,22	2,5697e-004
8,7667	99,267	-260,22	2,7454e-004
4,3728	99,168	-260,22	2,8307e-004
22,5	100,	-520,	-1,49e-003
22,223	99,979	-445,06	-7,2614e-004
22,208	99,978	-440,07	-6,8152e-004
22,193	99,977	-435,07	-6,3768e-004
