X-Position (mm)	Y-Position (mm)	Z-Position (mm)	Verschiebungskomponente (mm)
-22,5	100,	-520,	-1,3843e-003
-22,5	100,	0,	-1,2649e-003
-22,5	99,998	-5,	-1,22e-003
-22,5	99,997	-10,	-1,1763e-003
-22,5	99,995	-15,	-1,1342e-003
-22,5	99,994	-20,	-1,0934e-003
-22,5	99,992	-25,	-1,0535e-003
-22,5	99,991	-30,	-1,0144e-003
-22,5	99,989	-35,	-9,7599e-004
-22,5	99,988	-40,	-9,3812e-004
-22,5	99,986	-45,	-9,008e-004
-22,5	99,985	-50,	-8,6401e-004
-22,5	99,984	-55,	-8,2773e-004
-22,5	99,982	-60,	-7,9201e-004
-22,5	99,981	-65,	-7,5682e-004
-22,5	99,98	-70,	-7,222e-004
22,5	100,	0,	-1,1462e-003
-2,2142e-002	99,135	-260,22	1,5501e-004
-21,933	99,957	-260,22	-1,8161e-005
-4,4082	99,169	-260,22	1,3608e-004
-8,7933	99,267	-260,22	1,0464e-004
-13,176	99,432	-260,22	6,6035e-005
-17,557	99,662	-260,22	2,4398e-005
-2,2142e-002	99,135	-520,	-1,2886e-003
-2,2142e-002	99,135	-515,	-1,2347e-003
-2,2142e-002	99,135	-510,01	-1,1849e-003
-2,2142e-002	99,135	-505,01	-1,1374e-003
-2,2142e-002	99,135	-500,02	-1,0915e-003
-2,2142e-002	99,135	-495,02	-1,0468e-003
-2,2142e-002	99,135	-490,03	-1,0031e-003
-2,2142e-002	99,135	-485,03	-9,6031e-004
-2,2142e-002	99,135	-480,03	-9,1815e-004
-2,2142e-002	99,135	-475,04	-8,7661e-004
-2,2142e-002	99,135	-470,04	-8,3563e-004
-2,2142e-002	99,135	-465,05	-7,9518e-004
-2,2142e-002	99,135	-460,05	-7,5523e-004
-2,2142e-002	99,135	-455,05	-7,1585e-004
-2,2142e-002	99,135	-450,06	-6,7699e-004
-2,2142e-002	99,135	-445,06	-6,3872e-004
-2,2142e-002	99,135	-440,07	-6,011e-004
-2,2142e-002	99,135	-435,07	-5,6415e-004
-2,2142e-002	99,135	-430,08	-5,2792e-004
-2,2142e-002	99,135	-425,08	-4,924e-004
-2,2142e-002	99,135	-420,08	-4,576e-004
-2,2142e-002	99,135	-415,09	-4,2352e-004
-2,2142e-002	99,135	-410,09	-3,902e-004
-2,2142e-002	99,135	-405,1	-3,5758e-004
-2,2142e-002	99,135	-400,1	-3,2578e-004
-2,2142e-002	99,135	-395,1	-2,9475e-004
-2,2142e-002	99,135	-390,11	-2,6461e-004
-2,2142e-002	99,135	-385,11	-2,3523e-004
-2,2142e-002	99,135	-380,12	-2,0686e-004
-2,2142e-002	99,135	-375,12	-1,7941e-004
-2,2142e-002	99,135	-370,13	-1,5294e-004
-2,2142e-002	99,135	-365,13	-1,2747e-004
-2,2142e-002	99,135	-360,13	-1,0302e-004
-2,2142e-002	99,135	-355,14	-7,9548e-005
-2,2142e-002	99,135	-350,14	-5,7101e-005
-2,2142e-002	99,135	-345,15	-3,5609e-005
-2,2142e-002	99,135	-340,15	-1,5195e-005
-2,2142e-002	99,135	-335,15	4,1458e-006
-2,2142e-002	99,135	-330,16	2,2457e-005
-2,2142e-002	99,135	-325,16	3,9646e-005
-2,2142e-002	99,135	-320,17	5,5671e-005
-2,2142e-002	99,135	-315,17	7,0357e-005
-2,2142e-002	99,135	-310,18	8,4014e-005
-2,2142e-002	99,135	-305,18	9,6367e-005
-2,2142e-002	99,135	-300,18	1,0757e-004
-2,2142e-002	99,135	-295,19	1,1759e-004
-2,2142e-002	99,135	-290,19	1,2643e-004
-2,2142e-002	99,135	-285,2	1,3413e-004
-2,2142e-002	99,135	-280,2	1,4059e-004
-2,2142e-002	99,135	-275,2	1,4595e-004
-2,2142e-002	99,135	-270,21	1,5025e-004
-2,2142e-002	99,135	-265,21	1,5331e-004
-18,011	99,689	-520,	-1,3611e-003
-13,517	99,447	-520,	-1,3394e-003
-9,0207	99,274	-520,	-1,3196e-003
-4,522	99,17	-520,	-1,3024e-003
-21,933	99,957	-265,21	-1,9905e-005
-21,934	99,957	-270,21	-2,2715e-005
-21,935	99,957	-275,2	-2,6702e-005
-21,936	99,957	-280,2	-3,1873e-005
-21,938	99,957	-285,2	-3,8147e-005
-21,941	99,957	-290,19	-4,5523e-005
-21,944	99,958	-295,19	-5,4046e-005
-21,947	99,958	-300,18	-6,3635e-005
-21,951	99,958	-305,18	-7,4335e-005
-21,955	99,959	-310,18	-8,6165e-005
-21,959	99,959	-315,17	-9,9109e-005
-21,964	99,959	-320,17	-1,1309e-004
-21,97	99,96	-325,16	-1,2815e-004
-21,975	99,96	-330,16	-1,4429e-004
-21,982	99,961	-335,15	-1,615e-004
-21,988	99,961	-340,15	-1,7977e-004
-21,995	99,962	-345,15	-1,9903e-004
-22,003	99,962	-350,14	-2,193e-004
-22,011	99,963	-355,14	-2,4056e-004
-22,019	99,963	-360,13	-2,6281e-004
-22,028	99,964	-365,13	-2,8602e-004
-22,037	99,965	-370,13	-3,1018e-004
-22,047	99,965	-375,12	-3,3524e-004
-22,057	99,966	-380,12	-3,6119e-004
-22,067	99,967	-385,11	-3,8803e-004
