,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.04,500,1.5,1,100000.0,,100000.0,100.0,500.0,0.3397852022259569,0.1627024845541305,0.0407137820443046,,1.47151787872004,147.151787872004,,,
1,1,0.04,500,2.25,1,100000.0,,100000.0,100.0,500.0,0.4963765778579727,0.1660387695262001,0.0423377661462375,,1.0072997443949985,100.72997443949986,,,
2,2,0.04,500,3.0,1,100000.0,,100000.0,100.0,500.0,0.4983751259113091,0.1741079282406998,0.0421154932311099,,1.0032603434726397,100.32603434726396,,,
3,3,0.04,500,5.0,1,100000.0,,100000.0,100.0,500.0,0.4997819406938788,0.1911402560797773,0.0368622388319735,,1.000436308894672,100.0436308894672,,,
4,4,0.04,510,1.5,1,100000.0,,100000.0,100.0,510.0,0.501906589837688,0.1921234709823829,0.0393140954661142,,1.016125331538144,101.6125331538144,,,
5,5,0.04,510,2.25,1,100000.0,,100000.0,100.0,510.0,0.5096540755132537,0.1804545823404447,0.0424228621043735,,1.0006787436878593,100.06787436878592,,,
6,6,0.04,510,3.0,1,100000.0,,100000.0,100.0,510.0,0.5095733372397149,0.1746989459145868,0.0372616728965332,,1.000837294122562,100.0837294122562,,,
7,7,0.04,510,5.0,1,100000.0,,100000.0,100.0,510.0,0.5095621042184462,0.1750592321190377,0.0366618669481041,,1.000859357039954,100.0859357039954,,,
8,8,0.04,520,1.5,1,100000.0,,100000.0,100.0,520.0,0.5184491638833606,0.1717967808733332,0.0372484967778247,,1.0029912983271554,100.29912983271554,,,
9,9,0.04,520,2.25,1,100000.0,,100000.0,100.0,520.0,0.5191788554669756,0.1792658374997447,0.0377126964014989,,1.001581621678883,100.15816216788834,,,
10,10,0.04,520,3.0,1,100000.0,,100000.0,100.0,520.0,0.5195118153465046,0.1934106130039722,0.0407095326671354,,1.000939698846252,100.0939698846252,,,
11,11,0.04,520,5.0,1,100000.0,,100000.0,100.0,520.0,0.5198133619020382,0.1929130335422869,0.0394096136568529,,1.0003590482885605,100.03590482885603,,,
12,12,0.04,530,1.5,1,100000.0,,100000.0,100.0,530.0,0.5290222251112482,0.1788844105485509,0.0402970905180076,,1.0018482680733238,100.1848268073324,,,
13,13,0.04,530,2.25,1,100000.0,,100000.0,100.0,530.0,0.5283645391149321,0.1787549975848676,0.0369399632998009,,1.0030953267374974,100.30953267374974,,,
14,14,0.04,530,3.0,1,100000.0,,100000.0,100.0,530.0,0.529633711447218,0.1777987803519781,0.0374423218030039,,1.0006915884409644,100.06915884409644,,,
15,15,0.04,530,5.0,1,100000.0,,100000.0,100.0,530.0,0.5297803531739191,0.1915589944027605,0.0349700251063648,,1.0004145997954907,100.04145997954907,,,
16,16,0.04,540,1.5,1,100000.0,,100000.0,100.0,540.0,0.5378342920665773,0.1775119353984389,0.0419727303118546,,1.0040267196892585,100.40267196892582,,,
17,17,0.04,540,2.25,1,100000.0,,100000.0,100.0,540.0,0.5390013924026107,0.1792481343506382,0.0369666844863791,,1.0018526994762258,100.1852699476226,,,
18,18,0.04,540,3.0,1,100000.0,,100000.0,100.0,540.0,0.538215464709765,0.1808372431293729,0.0369293559334744,,1.0033156522011075,100.33156522011076,,,
19,19,0.04,540,5.0,1,100000.0,,100000.0,100.0,540.0,0.5389363151002726,0.1939825351145741,0.0362183028754411,,1.001973674569563,100.1973674569563,,,
20,20,0.04,550,1.5,1,100000.0,,100000.0,100.0,550.0,0.5480199400468564,0.2015468008083195,0.0346948547516321,,1.003613116619396,100.3613116619396,,,
21,21,0.04,550,2.25,1,100000.0,,100000.0,100.0,550.0,0.5494983890002914,0.1719666424920168,0.0360030088738002,,1.0009128525392428,100.09128525392428,,,
22,22,0.04,550,3.0,1,100000.0,,100000.0,100.0,550.0,0.5495914993987299,0.1932271477240195,0.0370573928588441,,1.0007432804213987,100.07432804213988,,,
23,23,0.04,550,5.0,1,100000.0,,100000.0,100.0,550.0,0.5491114555370586,0.1948208244892311,0.0370734141452429,,1.0016181495650502,100.16181495650504,,,
24,24,0.04,560,1.5,1,100000.0,,100000.0,100.0,560.0,0.5582517580988906,0.1764299601370045,0.0362445710609528,,1.0031316370718886,100.31316370718886,,,
25,25,0.04,560,2.25,1,100000.0,,100000.0,100.0,560.0,0.5594347852470491,0.1748377310736205,0.0392020894727671,,1.001010331798909,100.1010331798909,,,
26,26,0.04,560,3.0,1,100000.0,,100000.0,100.0,560.0,0.559355794786029,0.1956163744334856,0.0419167918555046,,1.0011516913205796,100.11516913205796,,,
27,27,0.04,560,5.0,1,100000.0,,100000.0,100.0,560.0,0.5597707858014473,0.1793644029077728,0.0358757305121656,,1.0004094786729971,100.04094786729974,,,
28,28,0.04,570,1.5,1,100000.0,,100000.0,100.0,570.0,0.5697110662338218,0.1716297113226927,0.0403631395455096,,1.0005071584234586,100.05071584234588,,,
29,29,0.04,570,2.25,1,100000.0,,100000.0,100.0,570.0,0.5685138493117847,0.1667026440973698,0.0355636577313683,,1.002614097598527,100.2614097598527,,,
30,30,0.04,570,3.0,1,100000.0,,100000.0,100.0,570.0,0.5695410238389513,0.1858138953772114,0.0390395004154702,,1.000805870239083,100.0805870239083,,,
