,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,502,2,500000.0,1.17662360156545,,23237.0,0.0006574519355401,502.0,0.0458638036050729,0.010205512986039,0.0099940862227104,9110200823.548878,10.945450672226292,0.0071961077298146,99715253728.22958,1.9848134639586379e-07,1.110486026657523e-07
1,1,0.03,522,2,500000.0,1.184814908884,,23106.0,3.9724286047316734e-05,522.0,0.0451529036027977,0.0107475371937728,0.0097804802294647,544044262.936077,11.560718322612052,0.0004592412815598,6289542478.837074,1.2335630830871302e-08,6.938378981381877e-09
2,2,0.03,542,2,500000.0,1.19557065892945,,22682.0,7.038309881961111e-05,542.0,0.0497754719161775,0.0110213542681508,0.0095749109013481,951989273.6515204,10.888897264755894,0.0007663943322219,10366113397.940992,2.2428086592611787e-08,1.2698086697584194e-08
3,3,0.03,562,2,500000.0,1.20653239223348,,19945.0,0.0348609601322914,562.0,0.0517486292889088,0.0106317925491056,0.0096125815410095,465259183053.82153,10.860191037377906,0.3785966867831004,5052803609858.879,1.1325795927235414e-05,6.476133820296805e-06
4,4,0.03,582,2,500000.0,1.21559007975785,,13589.0,0.0156591731281448,582.0,0.0467583650799952,0.0103417371495767,0.0098275490319252,206019165659.9597,12.446970697206844,0.1949092690685071,2564314518032.521,5.198205448808355e-06,2.9750807552414995e-06
5,5,0.03,602,2,500000.0,1.22050059246538,,17113.0,0.0114995451676607,602.0,0.0594854991697957,0.0095239251463865,0.0097877507487468,149095012327.02597,10.120113446163542,0.1163767016760089,1508858439006.6543,3.894641301080362e-06,2.221872365287232e-06
6,6,0.03,622,2,500000.0,1.22741865002142,,18318.0,0.0130583401230952,622.0,0.0612355057824061,0.011236266868103,0.0096576204249403,166698145236.9528,10.15750571588665,0.1326401644403323,1693237363072.0508,4.502291212287838e-06,2.559582668790813e-06
7,7,0.03,642,2,500000.0,1.23521015912391,,19208.0,0.0152811865811359,642.0,0.0587806721342758,0.009551115307215,0.0095612961332484,192002060684.29672,10.921957451140486,0.1669004696421057,2097038337325.182,5.355026391047243e-06,3.037741006315217e-06
8,8,0.03,662,2,500000.0,1.24314995045508,,19551.0,0.0176321373448139,662.0,0.059668356447446,0.0118402476609012,0.009901566118924,217668533096.27216,11.094657862464638,0.1956225312246965,2414957902127.7,6.265079169581265e-06,3.5607609432959217e-06
9,9,0.03,682,2,500000.0,1.2512710931248,,19963.0,0.0205300705574894,682.0,0.0665866667130785,0.0121333620431628,0.0095011948653593,248934760477.46707,10.242290741759652,0.2102749515986463,2549662192540.5176,7.38418979490013e-06,4.20203196132488e-06
