,Simulation Number,CPMU20.photonEnergy,CPMU20.energySpread,CPMU20.numberRays,M3.radius,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,500,0.1,50000.0,230.0,1.6,,0.5,5251.15,10.502299999999998,500.0,0.0553599901955038,2.3686920691142204,0.0294765809868465,-0.003801964142208,-7.39991285158383e-06,145696341409703.44,9.056281353440578,95.1172336063989,1319542666031671.2,0.0031614815174646,0.0017678505383731
1,1,500,0.1,50000.0,230.0,2.25,,0.5,4582.8,9.165599999999998,500.0,0.0462057156538576,2.4060847038056097,0.0291392735822683,-0.0013531621981238,3.5797278198655786e-05,127152565326145.56,10.900973208871896,99.92374635323276,1386222471612620.0,0.0027590980067674,0.0015428440336414
2,2,500,0.1,50000.0,230.0,5.0,,0.5,4173.0,8.346,500.0,0.0420467839117804,2.417269587580094,0.0280361405024214,-0.0037873416729267,1.895887944842508e-05,115782415795148.28,12.08211272715723,100.8140902436363,1398574037215228.5,0.0025123758362225,0.0014048808921152
3,3,500,0.1,50000.0,230.0,10.0,,0.5,3690.35,7.3807,500.0,0.0470396576130922,2.406531861876916,0.0293640082494917,-0.0043182610544495,-6.873185315663303e-05,102390998832884.12,10.8571171756989,80.14028934398144,1111770465225059.2,0.0022217939533198,0.0012423920920722
4,4,500,0.1,50000.0,230.5,1.6,,0.5,5259.15,10.5183,500.0,0.0547022075118007,2.415413618867316,0.0293614398027231,-0.0009009633437524,-5.76825308324671e-05,145918306261455.53,9.181739614688285,96.53749389744578,1339245657591140.0,0.0031662979580804,0.0017705438159041
5,5,500,0.1,50000.0,230.5,2.25,,0.5,4538.55,9.077100000000002,500.0,0.0452871965354318,2.443936741392179,0.0293525963286085,-0.0074482111013178,-5.001145717846836e-05,125924822239892.16,11.096381264610294,100.74697827659551,1397643006101791.2,0.0027324570696112,0.001527946842298
6,6,500,0.1,50000.0,230.5,5.0,,0.5,4171.3,8.3426,500.0,0.038424564013411,2.4072531668989368,0.029536147363384,0.0057558013958354,-6.081162437646256e-05,115735248264150.92,13.230227365768528,110.33379976096094,1530639094198683.2,0.0025113523425916,0.0014043085706399
7,7,500,0.1,50000.0,230.5,10.0,,0.5,3655.25,7.3105,500.0,0.0467842812370377,2.392675742995523,0.0288936232393219,-0.0040459009332562,-3.772420381502858e-05,101417128045822.1,10.826985133524447,79.11587641228118,1097558986192703.2,0.0022006618201179,0.0012305753369049
8,8,500,0.1,50000.0,231.0,1.6,,0.5,5239.25,10.478500000000002,500.0,0.0553265123834506,2.341544601683504,0.0293329349385591,0.0014575435415079,-2.573949321645312e-05,145366168692722.38,9.063858365522814,94.9863043880047,1317726310747240.5,0.0031543170620486,0.0017638442880457
9,9,500,0.1,50000.0,231.0,2.25,,0.5,4557.9,9.115799999999998,500.0,0.0443013102326744,2.3710866593811226,0.0294017267602136,0.0022332766407054,8.817940570561341e-06,126461699725067.38,11.317704529521905,103.17242715301288,1431290781119672.2,0.0027441068353507,0.0015344612073261
10,10,500,0.1,50000.0,231.0,5.0,,0.5,4197.5,8.395,500.0,0.0385846798939808,2.4578142428838285,0.0294017300464863,0.0022518608113183,-2.0372657121514145e-05,116462183153638.8,13.169284592710232,110.58551094039046,1534131033862832.8,0.0025271261856084,0.0014131290545539
11,11,500,0.1,50000.0,231.0,10.0,,0.5,3712.8,7.4256,500.0,0.0427118356475744,2.3738003677906683,0.0294559774486465,-0.0023934445071377,-1.980354994364724e-05,103013887698113.22,11.98409601857696,89.04149277568374,1235255108983333.5,0.0022353100897979,0.0012499501021436
12,12,500,0.1,50000.0,231.5,1.6,,0.5,5244.55,10.4891,500.0,0.0537594748194379,2.37584991247791,0.0294598795997296,-0.0009618801169666,3.892499057668957e-05,145513220407008.06,9.33093660312542,97.87187299534344,1357757236256505.2,0.0031575079539565,0.00176562858441
13,13,500,0.1,50000.0,231.5,2.25,,0.5,4554.6,9.1092,500.0,0.0444857930607696,2.4903958313122074,0.0295074090360971,0.0004317542962281,2.011471819037036e-05,126370139223719.69,11.287966263404687,102.81310587430684,1426305987722213.2,0.0027421200535967,0.0015333502303446
14,14,500,0.1,50000.0,231.5,5.0,,0.5,4142.95,8.2859,500.0,0.0387479895249498,2.4557379438542197,0.0295051519172456,-0.0035245177457627,6.008386290583285e-05,114948660320754.72,13.073871900291072,108.28090643678864,1502159709051019.0,0.0024942840811593,0.0013947642683893
15,15,500,0.1,50000.0,231.5,10.0,,0.5,3670.75,7.341500000000001,500.0,0.0417727212724571,2.343418603996308,0.029330229475875,0.0030169235900383,4.699346707012757e-05,101847184946091.66,12.184955553799991,89.52475541816133,1241959316533010.8,0.0022099936738111,0.0012357935621212
16,16,500,0.1,50000.0,232.0,1.6,,0.5,5236.45,10.4729,500.0,0.0540187912733102,2.441318680270736,0.0296199743814477,-0.0101497306001933,4.443744643881684e-05,145288480994609.2,9.276967804619204,97.16662095419336,1347973413458900.0,0.003152631307833,0.0017629016409099
