,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.02,502,2,500000.0,1.17662360156545,,500000.0,100.0,502.0,0.5019327226375481,0.1794781820897167,0.0383454993561638,,1.0001340366137088,100.01340366137087,,,
1,1,0.02,504,2,500000.0,1.17747901516844,,500000.0,100.0,504.0,0.5038976093202336,0.1762162832553867,0.0384458225471849,,1.0002031973914394,100.02031973914391,,,
2,2,0.02,506,2,500000.0,1.17837189466193,,500000.0,100.0,506.0,0.505546241042282,0.1807274888882101,0.0372950477914598,,1.000897561728048,100.0897561728048,,,
3,3,0.02,508,2,500000.0,1.1791362468331,,500000.0,100.0,508.0,0.5077431134250219,0.1790796959496803,0.0379597627638281,,1.0005059380781067,100.05059380781066,,,
4,4,0.02,510,2,500000.0,1.18000708146274,,500000.0,100.0,510.0,0.5087750713989863,0.1781457689881944,0.0380523265076673,,1.0024076034182363,100.24076034182366,,,
5,5,0.02,512,2,500000.0,1.18089388467086,,500000.0,100.0,512.0,0.5117368767736821,0.1782009663580263,0.0379707463484382,,1.00051417679331,100.051417679331,,,
6,6,0.02,514,2,500000.0,1.18169303123046,,500000.0,100.0,514.0,0.5139470167932814,0.1804282375640198,0.0376556296032831,,1.00010309079533,100.010309079533,,,
7,7,0.02,516,2,500000.0,1.18256256858225,,500000.0,100.0,516.0,0.5158265566451519,0.1758586811076676,0.0381888067182339,,1.0003362435543766,100.03362435543764,,,
8,8,0.02,518,2,500000.0,1.18333929872482,,500000.0,100.0,518.0,0.5179457542164982,0.1770512491868059,0.0377970869328391,,1.0001047325575316,100.01047325575315,,,
9,9,0.02,520,2,500000.0,1.18413280440169,,500000.0,100.0,520.0,0.5198518744381317,0.1796920976891868,0.0382481031397665,,1.0002849380162924,100.02849380162924,,,
10,10,0.02,522,2,500000.0,1.184814908884,,500000.0,100.0,522.0,0.5218940132634771,0.1807948692217325,0.0373648975534275,,1.0002030809586415,100.02030809586418,,,
11,11,0.02,524,2,500000.0,1.18564428721044,,500000.0,100.0,524.0,0.523628910512798,0.1798614637719797,0.0380722849413482,,1.0007086879271785,100.07086879271785,,,
12,12,0.02,526,2,500000.0,1.18623535979449,,500000.0,100.0,526.0,0.5257541608973497,0.1738882060862762,0.0369842119194933,,1.0004675932611369,100.04675932611369,,,
13,13,0.02,528,2,500000.0,1.18691311580508,,500000.0,100.0,528.0,0.5271566951256546,0.1769590744161459,0.0372258396358537,,1.0015997233500835,100.15997233500838,,,
14,14,0.02,530,2,500000.0,1.18740617352132,,500000.0,100.0,530.0,0.5299612161755931,0.1790341577977887,0.037715071436752,,1.000073182382452,100.0073182382452,,,
15,15,0.02,532,2,500000.0,1.18810554884438,,500000.0,100.0,532.0,0.5319275971785373,0.1779204627015676,0.038048219193277,,1.0001361140535794,100.01361140535796,,,
16,16,0.02,534,2,500000.0,1.18943277689967,,500000.0,100.0,534.0,0.533854277621117,0.1794927400781907,0.037505063451509,,1.0002729628383469,100.02729628383469,,,
17,17,0.02,536,2,500000.0,1.19165789569026,,500000.0,100.0,536.0,0.5352303821807709,0.1786330805076127,0.0374368905431517,,1.0014379187819895,100.14379187819894,,,
18,18,0.02,538,2,500000.0,1.1933953170949,,500000.0,100.0,538.0,0.5376580764439041,0.1764240267343626,0.037217708085717,,1.0006359498184376,100.06359498184376,,,
19,19,0.02,540,2,500000.0,1.19462031821519,,500000.0,100.0,540.0,0.5378842281786547,0.1817535060661341,0.0380053668394113,,1.0039335078265998,100.39335078266,,,
20,20,0.02,542,2,500000.0,1.19557065892945,,500000.0,100.0,542.0,0.5419071772828374,0.1806136671768947,0.0377392868950768,,1.0001712889606444,100.01712889606443,,,
