,Simulation Number,CPMU20.photonEnergy,CPMU20.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,600,100000.0,,0.0,3861.8,3.8618,600.0,0.0,2.1480609762679186,0.0183713737508551,0.0122383809428647,0.0092641462900101,0.0044462437355532,6.086609268963124e-05,50146481146850.35,,,,0.0013054236082783,0.0007450466321506
1,1,1000,100000.0,,0.0,6115.8,6.1158,1000.0,0.0,2.218679829031517,0.015969647452299,0.0128148094261914,0.0074162230153833,0.0146999191822185,5.210408434862194e-05,46590147915363.88,,,,0.0020349928681401,0.0010722777813278
2,2,1500,100000.0,,0.0,4407.0,4.407,1500.0,0.0,2.14648886853926,0.0149680741652139,0.0126963066908863,0.0061323412802573,0.0133236008509498,4.281250821327711e-05,27998840922155.688,,,,0.0018302537484153,0.0011890366672536
