,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.02,502,2,500000.0,1.17662360156545,,9860.0,1.972,502.0,0.0388134786593923,0.0194184300666195,0.0072294926063169,,12.9336513329635,25.505160428604025,,,
1,1,0.02,504,2,500000.0,1.17747901516844,,9635.0,1.927,504.0,0.0432357703439834,0.0195507302401784,0.0077120905375565,,11.657014457940276,22.463066860450912,,,
2,2,0.02,506,2,500000.0,1.17837189466193,,9971.0,1.9942,506.0,0.0394125345528664,0.0189022797245366,0.0069139288919618,,12.838555189118113,25.60264675813934,,,
3,3,0.02,508,2,500000.0,1.1791362468331,,9777.0,1.9554,508.0,0.0410529662594854,0.0183801903517269,0.0068569757432397,,12.374258093533625,24.196624276095648,,,
4,4,0.02,510,2,500000.0,1.18000708146274,,9913.0,1.9826,510.0,0.0378720666960248,0.0187477396100807,0.0072171124185427,,13.466389465709597,26.69846375471585,,,
5,5,0.02,512,2,500000.0,1.18089388467086,,9847.0,1.9694,512.0,0.0407602167254594,0.0206191121774866,0.0067167685037779,,12.56126785214556,24.738160908015463,,,
6,6,0.02,514,2,500000.0,1.18169303123046,,9669.0,1.9338,514.0,0.036921465701198,0.018246722420727,0.0067102223561279,,13.921440826855411,26.921282270972995,,,
7,7,0.02,516,2,500000.0,1.18256256858225,,9931.0,1.9862,516.0,0.0365947887730726,0.0193908742377913,0.0072340135470547,,14.100368311995435,28.006151541285345,,,
8,8,0.02,518,2,500000.0,1.18333929872482,,9834.0,1.9668,518.0,0.0425794581487934,0.0195183575919285,0.007195211013591,,12.165490650206356,23.927087010825858,,,
9,9,0.02,520,2,500000.0,1.18413280440169,,9747.0,1.9494,520.0,0.0389639169937936,0.0165965941295833,0.0069890610784144,,13.345680827798397,26.0160702057102,,,
10,10,0.02,522,2,500000.0,1.184814908884,,9820.0,1.964,522.0,0.0420369246351128,0.0194438597821218,0.0070863075121158,,12.417654348671844,24.388273140791505,,,
11,11,0.02,524,2,500000.0,1.18564428721044,,9747.0,1.9494,524.0,0.0376744113590348,0.0187351114100152,0.0071492941867881,,13.90864465024582,27.113511881189204,,,
12,12,0.02,526,2,500000.0,1.18623535979449,,9936.0,1.9872,526.0,0.0392485686395502,0.0179948623908774,0.0071890340760311,,13.401762617910007,26.63198267431077,,,
13,13,0.02,528,2,500000.0,1.18691311580508,,9677.0,1.9354,528.0,0.0390018705265902,0.0174479617324961,0.0073251281193421,,13.537812234929264,26.2010817994821,,,
14,14,0.02,530,2,500000.0,1.18740617352132,,9905.0,1.981,530.0,0.0425106997063267,0.019924713268752,0.0070082499588534,,12.467449457697874,24.69801737569949,,,
15,15,0.02,532,2,500000.0,1.18810554884438,,9570.0,1.914,532.0,0.0404178811511428,0.0182610943940523,0.0069078356369858,,13.162491076921707,25.193007921228148,,,
16,16,0.02,534,2,500000.0,1.18943277689967,,9615.0,1.923,534.0,0.0415593261780031,0.0173301297975233,0.0070055476988306,,12.849101491992895,24.708822169102337,,,
17,17,0.02,536,2,500000.0,1.19165789569026,,9700.0,1.94,536.0,0.0434612701875494,0.0178234194697368,0.0072381314200298,,12.332819489328934,23.92566980929813,,,
18,18,0.02,538,2,500000.0,1.1933953170949,,9805.0,1.961,538.0,0.0373956878272565,0.0194772167258548,0.007148862053546,,14.386685504628389,28.212290274576265,,,
19,19,0.02,540,2,500000.0,1.19462031821519,,9455.0,1.891,540.0,0.0350262831323107,0.0195029566325589,0.0072451375141761,,15.416994088700951,29.15353582173349,,,
20,20,0.02,542,2,500000.0,1.19557065892945,,9469.0,1.8938,542.0,0.0383985730372842,0.0190776315493779,0.0072304250135503,,14.115107857620886,26.73119126076244,,,
21,21,0.02,544,2,500000.0,1.19668353378915,,9420.0,1.884,544.0,0.039361214150972,0.0183166794208107,0.0071916131024754,,13.820711879299733,26.038221180600694,,,
22,22,0.02,546,2,500000.0,1.19757869607337,,9521.0,1.9042,546.0,0.0426312440940819,0.020421859071342,0.0075280904186026,,12.807508005045433,24.38805674320752,,,
23,23,0.02,548,2,500000.0,1.19860065465315,,9300.0,1.86,548.0,0.0359629318503493,0.0190453731219549,0.0077076084377585,,15.237912255885115,28.34251679594632,,,
24,24,0.02,550,2,500000.0,1.19963845879841,,9354.0,1.8708,550.0,0.037909549285132,0.0176241278632075,0.0070817102711185,,14.50821785991816,27.14197397233489,,,
