Simulation Number,CPMU20.photonEnergy,CPMU20.energySpread,CPMU20.numberRays,M3.radius
80,500,0,50000.0,232.99999999999955
81,500,0,50000.0,233.09999999999954
82,500,0,50000.0,233.19999999999953
83,500,0,50000.0,233.29999999999953
84,500,0,50000.0,233.39999999999952
85,500,0,50000.0,233.49999999999952
86,500,0,50000.0,233.5999999999995
87,500,0,50000.0,233.6999999999995
88,500,0,50000.0,233.7999999999995
89,500,0,50000.0,233.8999999999995
90,500,0,50000.0,233.9999999999995
91,500,0,50000.0,234.09999999999948
92,500,0,50000.0,234.19999999999948
93,500,0,50000.0,234.29999999999947
94,500,0,50000.0,234.39999999999947
95,500,0,50000.0,234.49999999999946
96,500,0,50000.0,234.59999999999945
97,500,0,50000.0,234.69999999999945
98,500,0,50000.0,234.79999999999944
99,500,0,50000.0,234.89999999999944
100,500,0,50000.0,234.99999999999943
101,500,0,50000.0,235.09999999999943
102,500,0,50000.0,235.19999999999942
103,500,0,50000.0,235.29999999999941
104,500,0,50000.0,235.3999999999994
105,500,0,50000.0,235.4999999999994
106,500,0,50000.0,235.5999999999994
107,500,0,50000.0,235.6999999999994
108,500,0,50000.0,235.7999999999994
109,500,0,50000.0,235.89999999999938
110,500,0,50000.0,235.99999999999937
111,500,0,50000.0,236.09999999999937
112,500,0,50000.0,236.19999999999936
113,500,0,50000.0,236.29999999999936
114,500,0,50000.0,236.39999999999935
115,500,0,50000.0,236.49999999999935
116,500,0,50000.0,236.59999999999934
117,500,0,50000.0,236.69999999999933
118,500,0,50000.0,236.79999999999933
119,500,0,50000.0,236.89999999999932
120,500,0,50000.0,236.99999999999932
121,500,0,50000.0,237.0999999999993
122,500,0,50000.0,237.1999999999993
123,500,0,50000.0,237.2999999999993
124,500,0,50000.0,237.3999999999993
125,500,0,50000.0,237.4999999999993
126,500,0,50000.0,237.59999999999928
127,500,0,50000.0,237.69999999999928
128,500,0,50000.0,237.79999999999927
129,500,0,50000.0,237.89999999999927
130,500,0,50000.0,237.99999999999926
131,500,0,50000.0,238.09999999999926
132,500,0,50000.0,238.19999999999925
133,500,0,50000.0,238.29999999999924
134,500,0,50000.0,238.39999999999924
135,500,0,50000.0,238.49999999999923
136,500,0,50000.0,238.59999999999923
137,500,0,50000.0,238.69999999999922
138,500,0,50000.0,238.79999999999922
139,500,0,50000.0,238.8999999999992
140,500,0,50000.0,238.9999999999992
141,500,0,50000.0,239.0999999999992
142,500,0,50000.0,239.1999999999992
143,500,0,50000.0,239.2999999999992
144,500,0,50000.0,239.39999999999918
145,500,0,50000.0,239.49999999999918
146,500,0,50000.0,239.59999999999917
147,500,0,50000.0,239.69999999999916
148,500,0,50000.0,239.79999999999916
149,500,0,50000.0,239.89999999999915
150,2000,0,50000.0,225.0
151,2000,0,50000.0,225.1
152,2000,0,50000.0,225.2
153,2000,0,50000.0,225.29999999999998
154,2000,0,50000.0,225.39999999999998
155,2000,0,50000.0,225.49999999999997
156,2000,0,50000.0,225.59999999999997
157,2000,0,50000.0,225.69999999999996
158,2000,0,50000.0,225.79999999999995
159,2000,0,50000.0,225.89999999999995
160,2000,0,50000.0,225.99999999999994
161,2000,0,50000.0,226.09999999999994
162,2000,0,50000.0,226.19999999999993
163,2000,0,50000.0,226.29999999999993
164,2000,0,50000.0,226.39999999999992
165,2000,0,50000.0,226.49999999999991
166,2000,0,50000.0,226.5999999999999
167,2000,0,50000.0,226.6999999999999
168,2000,0,50000.0,226.7999999999999
169,2000,0,50000.0,226.8999999999999
170,2000,0,50000.0,226.9999999999999
171,2000,0,50000.0,227.09999999999988
172,2000,0,50000.0,227.19999999999987
173,2000,0,50000.0,227.29999999999987
174,2000,0,50000.0,227.39999999999986
175,2000,0,50000.0,227.49999999999986
176,2000,0,50000.0,227.59999999999985
177,2000,0,50000.0,227.69999999999985
178,2000,0,50000.0,227.79999999999984
179,2000,0,50000.0,227.89999999999984
180,2000,0,50000.0,227.99999999999983
181,2000,0,50000.0,228.09999999999982
182,2000,0,50000.0,228.19999999999982
183,2000,0,50000.0,228.2999999999998
184,2000,0,50000.0,228.3999999999998
185,2000,0,50000.0,228.4999999999998
186,2000,0,50000.0,228.5999999999998
187,2000,0,50000.0,228.6999999999998
188,2000,0,50000.0,228.79999999999978
189,2000,0,50000.0,228.89999999999978
190,2000,0,50000.0,228.99999999999977
191,2000,0,50000.0,229.09999999999977
192,2000,0,50000.0,229.19999999999976
193,2000,0,50000.0,229.29999999999976
194,2000,0,50000.0,229.39999999999975
195,2000,0,50000.0,229.49999999999974
196,2000,0,50000.0,229.59999999999974
197,2000,0,50000.0,229.69999999999973
198,2000,0,50000.0,229.79999999999973
199,2000,0,50000.0,229.89999999999972
200,2000,0,50000.0,229.99999999999972
201,2000,0,50000.0,230.0999999999997
202,2000,0,50000.0,230.1999999999997
203,2000,0,50000.0,230.2999999999997
204,2000,0,50000.0,230.3999999999997
205,2000,0,50000.0,230.4999999999997
206,2000,0,50000.0,230.59999999999968
207,2000,0,50000.0,230.69999999999968
208,2000,0,50000.0,230.79999999999967
209,2000,0,50000.0,230.89999999999966
210,2000,0,50000.0,230.99999999999966
211,2000,0,50000.0,231.09999999999965
212,2000,0,50000.0,231.19999999999965
213,2000,0,50000.0,231.29999999999964
214,2000,0,50000.0,231.39999999999964
215,2000,0,50000.0,231.49999999999963
216,2000,0,50000.0,231.59999999999962
217,2000,0,50000.0,231.69999999999962
218,2000,0,50000.0,231.7999999999996
219,2000,0,50000.0,231.8999999999996
220,2000,0,50000.0,231.9999999999996
221,2000,0,50000.0,232.0999999999996
222,2000,0,50000.0,232.1999999999996
223,2000,0,50000.0,232.29999999999959
224,2000,0,50000.0,232.39999999999958
225,2000,0,50000.0,232.49999999999957
226,2000,0,50000.0,232.59999999999957
227,2000,0,50000.0,232.69999999999956
228,2000,0,50000.0,232.79999999999956
229,2000,0,50000.0,232.89999999999955
230,2000,0,50000.0,232.99999999999955
231,2000,0,50000.0,233.09999999999954
232,2000,0,50000.0,233.19999999999953
233,2000,0,50000.0,233.29999999999953
234,2000,0,50000.0,233.39999999999952
235,2000,0,50000.0,233.49999999999952
236,2000,0,50000.0,233.5999999999995
237,2000,0,50000.0,233.6999999999995
238,2000,0,50000.0,233.7999999999995
239,2000,0,50000.0,233.8999999999995
240,2000,0,50000.0,233.9999999999995
241,2000,0,50000.0,234.09999999999948
242,2000,0,50000.0,234.19999999999948
243,2000,0,50000.0,234.29999999999947
244,2000,0,50000.0,234.39999999999947
245,2000,0,50000.0,234.49999999999946
246,2000,0,50000.0,234.59999999999945
247,2000,0,50000.0,234.69999999999945
248,2000,0,50000.0,234.79999999999944
249,2000,0,50000.0,234.89999999999944
250,2000,0,50000.0,234.99999999999943
251,2000,0,50000.0,235.09999999999943
252,2000,0,50000.0,235.19999999999942
253,2000,0,50000.0,235.29999999999941
254,2000,0,50000.0,235.3999999999994
255,2000,0,50000.0,235.4999999999994
256,2000,0,50000.0,235.5999999999994
257,2000,0,50000.0,235.6999999999994
258,2000,0,50000.0,235.7999999999994
259,2000,0,50000.0,235.89999999999938
260,2000,0,50000.0,235.99999999999937
261,2000,0,50000.0,236.09999999999937
262,2000,0,50000.0,236.19999999999936
263,2000,0,50000.0,236.29999999999936
264,2000,0,50000.0,236.39999999999935
265,2000,0,50000.0,236.49999999999935
266,2000,0,50000.0,236.59999999999934
267,2000,0,50000.0,236.69999999999933
268,2000,0,50000.0,236.79999999999933
269,2000,0,50000.0,236.89999999999932
270,2000,0,50000.0,236.99999999999932
271,2000,0,50000.0,237.0999999999993
272,2000,0,50000.0,237.1999999999993
273,2000,0,50000.0,237.2999999999993
274,2000,0,50000.0,237.3999999999993
275,2000,0,50000.0,237.4999999999993
276,2000,0,50000.0,237.59999999999928
277,2000,0,50000.0,237.69999999999928
278,2000,0,50000.0,237.79999999999927
279,2000,0,50000.0,237.89999999999927
280,2000,0,50000.0,237.99999999999926
281,2000,0,50000.0,238.09999999999926
282,2000,0,50000.0,238.19999999999925
283,2000,0,50000.0,238.29999999999924
284,2000,0,50000.0,238.39999999999924
285,2000,0,50000.0,238.49999999999923
286,2000,0,50000.0,238.59999999999923
287,2000,0,50000.0,238.69999999999922
288,2000,0,50000.0,238.79999999999922
289,2000,0,50000.0,238.8999999999992
290,2000,0,50000.0,238.9999999999992
291,2000,0,50000.0,239.0999999999992
292,2000,0,50000.0,239.1999999999992
293,2000,0,50000.0,239.2999999999992
294,2000,0,50000.0,239.39999999999918
295,2000,0,50000.0,239.49999999999918
296,2000,0,50000.0,239.59999999999917
297,2000,0,50000.0,239.69999999999916
298,2000,0,50000.0,239.79999999999916
299,2000,0,50000.0,239.89999999999915
