Simulation Number,CPMU20.photonEnergy,CPMU20.energySpread,CPMU20.numberRays,M3.radius
0,500,0,50000.0,225.0
1,500,0,50000.0,225.1
2,500,0,50000.0,225.2
3,500,0,50000.0,225.29999999999998
4,500,0,50000.0,225.39999999999998
5,500,0,50000.0,225.49999999999997
6,500,0,50000.0,225.59999999999997
7,500,0,50000.0,225.69999999999996
8,500,0,50000.0,225.79999999999995
9,500,0,50000.0,225.89999999999995
10,500,0,50000.0,225.99999999999994
11,500,0,50000.0,226.09999999999994
12,500,0,50000.0,226.19999999999993
13,500,0,50000.0,226.29999999999993
14,500,0,50000.0,226.39999999999992
15,500,0,50000.0,226.49999999999991
16,500,0,50000.0,226.5999999999999
17,500,0,50000.0,226.6999999999999
18,500,0,50000.0,226.7999999999999
19,500,0,50000.0,226.8999999999999
20,500,0,50000.0,226.9999999999999
21,500,0,50000.0,227.09999999999988
22,500,0,50000.0,227.19999999999987
23,500,0,50000.0,227.29999999999987
24,500,0,50000.0,227.39999999999986
25,500,0,50000.0,227.49999999999986
26,500,0,50000.0,227.59999999999985
27,500,0,50000.0,227.69999999999985
28,500,0,50000.0,227.79999999999984
29,500,0,50000.0,227.89999999999984
30,500,0,50000.0,227.99999999999983
31,500,0,50000.0,228.09999999999982
32,500,0,50000.0,228.19999999999982
33,500,0,50000.0,228.2999999999998
34,500,0,50000.0,228.3999999999998
35,500,0,50000.0,228.4999999999998
36,500,0,50000.0,228.5999999999998
37,500,0,50000.0,228.6999999999998
38,500,0,50000.0,228.79999999999978
39,500,0,50000.0,228.89999999999978
40,500,0,50000.0,228.99999999999977
41,500,0,50000.0,229.09999999999977
42,500,0,50000.0,229.19999999999976
43,500,0,50000.0,229.29999999999976
44,500,0,50000.0,229.39999999999975
45,500,0,50000.0,229.49999999999974
46,500,0,50000.0,229.59999999999974
47,500,0,50000.0,229.69999999999973
48,500,0,50000.0,229.79999999999973
49,500,0,50000.0,229.89999999999972
50,500,0,50000.0,229.99999999999972
51,500,0,50000.0,230.0999999999997
52,500,0,50000.0,230.1999999999997
53,500,0,50000.0,230.2999999999997
54,500,0,50000.0,230.3999999999997
55,500,0,50000.0,230.4999999999997
56,500,0,50000.0,230.59999999999968
57,500,0,50000.0,230.69999999999968
58,500,0,50000.0,230.79999999999967
59,500,0,50000.0,230.89999999999966
60,500,0,50000.0,230.99999999999966
61,500,0,50000.0,231.09999999999965
62,500,0,50000.0,231.19999999999965
63,500,0,50000.0,231.29999999999964
64,500,0,50000.0,231.39999999999964
65,500,0,50000.0,231.49999999999963
66,500,0,50000.0,231.59999999999962
67,500,0,50000.0,231.69999999999962
68,500,0,50000.0,231.7999999999996
69,500,0,50000.0,231.8999999999996
70,500,0,50000.0,231.9999999999996
71,500,0,50000.0,232.0999999999996
72,500,0,50000.0,232.1999999999996
73,500,0,50000.0,232.29999999999959
74,500,0,50000.0,232.39999999999958
75,500,0,50000.0,232.49999999999957
76,500,0,50000.0,232.59999999999957
77,500,0,50000.0,232.69999999999956
78,500,0,50000.0,232.79999999999956
79,500,0,50000.0,232.89999999999955
