,Simulation Number,CPMU20.photonEnergy,CPMU20.energySpread,CPMU20.numberRays,M3.radius,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,500,0,50000.0,225.0,,0.0,49958.0,99.916,500.0,0.0,2.5881732102994706,0.0504357256610181,-0.0042687501728607,-9.169215865055464e-05,1386115007978436.8,,,,0.0300774675355875,0.0168188448618012
1,1,500,0,50000.0,225.1,,0.0,49943.0,99.886,500.0,0.0,2.6210045831988267,0.0420560226064377,-0.0019043842257584,4.486423593504042e-05,1385698823881401.5,,,,0.0300684367094329,0.0168137949664306
2,2,500,0,50000.0,225.2,,0.0,49946.0,99.892,500.0,0.0,2.5977948738945367,0.0474766318290691,0.002841350482631,0.0001247207349831,1385782060700808.5,,,,0.0300702428746638,0.0168148049455047
3,3,500,0,50000.0,225.3,,0.0,49961.0,99.922,500.0,0.0,2.362333378826655,0.0453570192370694,-0.0001349775043091,-9.667990209401671e-05,1386198244797843.8,,,,0.0300792737008185,0.0168198548408754
4,4,500,0,50000.0,225.4,,0.0,49945.0,99.89,500.0,0.0,2.327240049086416,0.0466871352190393,-0.009157915597201,0.0001270976182882,1385754315094339.5,,,,0.0300696408195868,0.0168144682858133
5,5,500,0,50000.0,225.5,,0.0,49963.0,99.926,500.0,0.0,2.377099695433149,0.0461062005262026,0.0097659419333624,-7.807401488672266e-05,1386253736010781.8,,,,0.0300804778109724,0.0168205281602581
6,6,500,0,50000.0,225.6,,0.0,49942.0,99.884,500.0,0.0,2.3820054070621737,0.0484953546354533,-0.0052930256595929,5.3114456383458375e-05,1385671078274932.5,,,,0.0300678346543559,0.0168134583067392
7,7,500,0,50000.0,225.7,,0.0,49948.0,99.896,500.0,0.0,2.349687393905142,0.0425799194395784,-0.0010330568571948,5.144779424661026e-05,1385837551913746.5,,,,0.0300714469848178,0.0168154782648875
8,8,500,0,50000.0,225.79999999999995,,0.0,49949.0,99.898,500.0,0.0,2.343250357637877,0.035959454978733,0.0049755750963029,-5.513774406846943e-06,1385865297520215.5,,,,0.0300720490398947,0.0168158149245789
9,9,500,0,50000.0,225.89999999999995,,0.0,49956.0,99.912,500.0,0.0,2.365901750355645,0.034152501560229,0.0012153875007484,-0.0001574195567458,1386059516765498.8,,,,0.0300762634254336,0.0168181715424185
10,10,500,0,50000.0,225.99999999999997,,0.0,49939.0,99.878,500.0,0.0,2.3341488031872206,0.043437514826362,-0.0029904335216871,-0.0001217468598449,1385587841455525.5,,,,0.030066028489125,0.0168124483276651
11,11,500,0,50000.0,226.09999999999997,,0.0,49953.0,99.906,500.0,0.0,2.340490312704474,0.0348490537999093,-0.0001721779967074,-0.0001760228203794,1385976279946091.5,,,,0.0300744572602026,0.0168171615633444
12,12,500,0,50000.0,226.19999999999996,,0.0,49949.0,99.898,500.0,0.0,2.436658175792316,0.0412660277771705,-0.0008654105141966,4.726957840784226e-05,1385865297520215.5,,,,0.0300720490398947,0.0168158149245789
13,13,500,0,50000.0,226.29999999999995,,0.0,49940.0,99.88,500.0,0.0,2.367878265110871,0.0320931604726567,0.0005442547672373,-5.857411536321304e-05,1385615587061994.5,,,,0.0300666305442019,0.0168127849873565
14,14,500,0,50000.0,226.39999999999992,,0.0,49940.0,99.88,500.0,0.0,2.609574549312084,0.037247443568675,-0.0005401630324491,-5.832561830505244e-05,1385615587061994.5,,,,0.0300666305442019,0.0168127849873565
15,15,500,0,50000.0,226.49999999999991,,0.0,49956.0,99.912,500.0,0.0,2.630906419079444,0.031337513269789,0.001953040203852,7.176554311295946e-05,1386059516765498.8,,,,0.0300762634254336,0.0168181715424185
16,16,500,0,50000.0,226.5999999999999,,0.0,49961.0,99.922,500.0,0.0,2.3406657178821213,0.029238181360194,0.0127784427419578,-3.991431489699623e-05,1386198244797843.8,,,,0.0300792737008185,0.0168198548408754
17,17,500,0,50000.0,226.6999999999999,,0.0,49934.0,99.868,500.0,0.0,2.467864663937724,0.0346790073891928,0.0005276950922726,4.957459365956831e-05,1385449113423180.5,,,,0.0300630182137401,0.0168107650292082
18,18,500,0,50000.0,226.7999999999999,,0.0,49949.0,99.898,500.0,0.0,2.344017389721024,0.0312488546567882,0.0006198759437945,-0.0001530339058497,1385865297520215.5,,,,0.0300720490398947,0.0168158149245789
19,19,500,0,50000.0,226.8999999999999,,0.0,49945.0,99.89,500.0,0.0,2.325243748868472,0.0380753810214976,-0.0087437861621239,1.0584507011014848e-05,1385754315094339.5,,,,0.0300696408195868,0.0168144682858133
20,20,500,0,50000.0,226.9999999999999,,0.0,49956.0,99.912,500.0,0.0,2.4486091733450435,0.0320188227443225,0.0016299670563176,-2.398977854047896e-05,1386059516765498.8,,,,0.0300762634254336,0.0168181715424185
21,21,500,0,50000.0,227.09999999999988,,0.0,49961.0,99.922,500.0,0.0,2.34130757196324,0.0318591697188984,0.0057390045056718,-0.0001571375086467,1386198244797843.8,,,,0.0300792737008185,0.0168198548408754
22,22,500,0,50000.0,227.19999999999987,,0.0,49944.0,99.888,500.0,0.0,2.361201709775769,0.034636998476793,-0.0023839239703801,-1.1319928913262927e-05,1385726569487870.8,,,,0.0300690387645099,0.016814131626122
23,23,500,0,50000.0,227.29999999999987,,0.0,49947.0,99.894,500.0,0.0,2.381482307135034,0.030967896230046,0.0018272692945957,0.0001329684957104,1385809806307277.8,,,,0.0300708449297408,0.0168151416051961
24,24,500,0,50000.0,227.39999999999984,,0.0,49959.0,99.918,500.0,0.0,2.3319049267093828,0.0312494017425142,0.0003391242780524,6.685006744153913e-05,1386142753584905.5,,,,0.0300780695906645,0.0168191815214926
25,25,500,0,50000.0,227.49999999999983,,0.0,49941.0,99.882,500.0,0.0,2.3319597722577,0.028475301875671,1.6315048664887396e-05,-1.496219432334418e-05,1385643332668463.8,,,,0.0300672325992789,0.0168131216470478
26,26,500,0,50000.0,227.59999999999985,,0.0,49950.0,99.9,500.0,0.0,2.57963865140252,0.0305574973418488,8.254889177027931e-05,-3.812519510771183e-05,1385893043126684.8,,,,0.0300726510949717,0.0168161515842702
27,27,500,0,50000.0,227.69999999999985,,0.0,49943.0,99.886,500.0,0.0,2.364077439631677,0.0287896534986787,0.0038705633860261,-8.837428481618265e-05,1385698823881401.5,,,,0.0300684367094329,0.0168137949664306
28,28,500,0,50000.0,227.79999999999984,,0.0,49933.0,99.866,500.0,0.0,2.337725172301557,0.0230492301662892,0.0011995543162819,3.938880214612961e-05,1385421367816711.5,,,,0.0300624161586631,0.0168104283695168
29,29,500,0,50000.0,227.89999999999984,,0.0,49960.0,99.92,500.0,0.0,2.3881431803223507,0.0272309598928144,-0.0022378392613389,-8.727331342047267e-05,1386170499191374.5,,,,0.0300786716457415,0.016819518181184
30,30,500,0,50000.0,227.99999999999983,,0.0,49947.0,99.894,500.0,0.0,2.403150502785828,0.0229456933252235,-0.011067359467129,9.808961024641985e-05,1385809806307277.8,,,,0.0300708449297408,0.0168151416051961
31,31,500,0,50000.0,228.09999999999985,,0.0,49951.0,99.902,500.0,0.0,2.57448662016663,0.0228719173370381,0.0001543944631649,-1.2346942751900558e-05,1385920788733153.8,,,,0.0300732531500487,0.0168164882439616
32,32,500,0,50000.0,228.19999999999985,,0.0,49956.0,99.912,500.0,0.0,2.5584192802937302,0.0237349059663585,-0.0052661454285394,-3.6469621946920864e-05,1386059516765498.8,,,,0.0300762634254336,0.0168181715424185
33,33,500,0,50000.0,228.2999999999998,,0.0,49956.0,99.912,500.0,0.0,2.360820422026732,0.0204943563537078,0.006504127641713,1.0410875614569345e-05,1386059516765498.8,,,,0.0300762634254336,0.0168181715424185
34,34,500,0,50000.0,228.3999999999998,,0.0,49951.0,99.902,500.0,0.0,2.3290639184719746,0.0257478469775272,0.0048909801720685,-5.49436602392933e-06,1385920788733153.8,,,,0.0300732531500487,0.0168164882439616
35,35,500,0,50000.0,228.4999999999998,,0.0,49948.0,99.896,500.0,0.0,2.602572607896663,0.0221662543392519,0.0001247313591093,8.36347990497659e-06,1385837551913746.5,,,,0.0300714469848178,0.0168154782648875
36,36,500,0,50000.0,228.5999999999998,,0.0,49944.0,99.888,500.0,0.0,2.372862217597893,0.0163887114110114,-0.0028527416777704,1.571833541202154e-05,1385726569487870.8,,,,0.0300690387645099,0.016814131626122
37,37,500,0,50000.0,228.6999999999998,,0.0,49949.0,99.898,500.0,0.0,2.3743220010526502,0.0148094882299533,-0.0022356841289925,4.512560614618805e-05,1385865297520215.5,,,,0.0300720490398947,0.0168158149245789
38,38,500,0,50000.0,228.79999999999976,,0.0,49957.0,99.914,500.0,0.0,2.376501744040876,0.0208258211370834,0.0090345538395155,8.000626985136058e-05,1386087262371967.8,,,,0.0300768654805105,0.0168185082021099
39,39,500,0,50000.0,228.89999999999975,,0.0,49939.0,99.878,500.0,0.0,2.3285208415828924,0.0245157104358428,-0.0052011126386873,-1.0190121036188236e-05,1385587841455525.5,,,,0.030066028489125,0.0168124483276651
40,40,500,0,50000.0,228.99999999999977,,0.0,49952.0,99.904,500.0,0.0,2.3578232994787625,0.0216608154370761,0.0014928210268692,6.018643732841615e-05,1385948534339622.8,,,,0.0300738552051257,0.016816824903653
41,41,500,0,50000.0,229.09999999999977,,0.0,49943.0,99.886,500.0,0.0,2.59932123349515,0.0193594890571985,0.004397900066231,-1.6234009373783312e-05,1385698823881401.5,,,,0.0300684367094329,0.0168137949664306
42,42,500,0,50000.0,229.19999999999976,,0.0,49941.0,99.882,500.0,0.0,2.62203644396372,0.0176537308912063,-0.0004619279856675,5.3958836606627935e-05,1385643332668463.8,,,,0.0300672325992789,0.0168131216470478
43,43,500,0,50000.0,229.29999999999976,,0.0,49965.0,99.93,500.0,0.0,2.388384449204241,0.0186952552473326,0.0026663032195091,-6.87086023223129e-05,1386309227223719.5,,,,0.0300816819211264,0.0168212014796409
44,44,500,0,50000.0,229.39999999999972,,0.0,49951.0,99.902,500.0,0.0,2.635706517778834,0.0183897077525343,-0.0049606071900274,3.238505122042073e-05,1385920788733153.8,,,,0.0300732531500487,0.0168164882439616
45,45,500,0,50000.0,229.49999999999972,,0.0,49953.0,99.906,500.0,0.0,2.342781210384267,0.0246630192833754,-0.0031756786429156,0.0001098185429172,1385976279946091.5,,,,0.0300744572602026,0.0168171615633444
46,46,500,0,50000.0,229.5999999999997,,0.0,49950.0,99.9,500.0,0.0,2.3563310117460663,0.0174736996193053,-0.0047096046900306,9.805442058246272e-05,1385893043126684.8,,,,0.0300726510949717,0.0168161515842702
47,47,500,0,50000.0,229.69999999999973,,0.0,49952.0,99.904,500.0,0.0,2.326810234750614,0.0193911778965951,0.0028638756529845,4.599475992724163e-05,1385948534339622.8,,,,0.0300738552051257,0.016816824903653
48,48,500,0,50000.0,229.79999999999973,,0.0,49949.0,99.898,500.0,0.0,2.3499047640258386,0.0186436080680811,0.0017062754807499,-2.1141102457497056e-05,1385865297520215.5,,,,0.0300720490398947,0.0168158149245789
49,49,500,0,50000.0,229.8999999999997,,0.0,49959.0,99.918,500.0,0.0,2.5602724380690303,0.0173794314629251,0.0005366235671217,1.689164871801739e-05,1386142753584905.5,,,,0.0300780695906645,0.0168191815214926
50,50,500,0,50000.0,229.9999999999997,,0.0,49938.0,99.876,500.0,0.0,2.352164401528401,0.0212169655135021,8.005985821774626e-05,-3.8627191013265326e-05,1385560095849056.8,,,,0.030065426434048,0.0168121116679737
51,51,500,0,50000.0,230.0999999999997,,0.0,49950.0,99.9,500.0,0.0,2.337993281165208,0.0212880480955637,0.0053829917022234,1.7872611489870377e-05,1385893043126684.8,,,,0.0300726510949717,0.0168161515842702
52,52,500,0,50000.0,230.1999999999997,,0.0,49942.0,99.884,500.0,0.0,2.390709889745493,0.0220337043836985,0.0086979601825594,3.3702761796997664e-06,1385671078274932.5,,,,0.0300678346543559,0.0168134583067392
53,53,500,0,50000.0,230.2999999999997,,0.0,49949.0,99.898,500.0,0.0,2.6296377226618333,0.0191887724939472,0.0024116741133978,-2.4658002416199084e-06,1385865297520215.5,,,,0.0300720490398947,0.0168158149245789
54,54,500,0,50000.0,230.3999999999997,,0.0,49946.0,99.892,500.0,0.0,2.319722040184121,0.0201323756358081,-0.0068740931015363,4.777073847015152e-05,1385782060700808.5,,,,0.0300702428746638,0.0168148049455047
