,Simulation Number,CPMU20.photonEnergy,M1_hor_foc.distanceImagePlane,CPMU20.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
14,14,500.0,7990,500000.0,,0.5,431172.75,86.23455000000001,500.0,0.491855986921134,0.1236294626355402,0.7410706509103899,0.0136590778883373,0.0001805141180288,0.0033362338799777,-0.0001909288772269,1196314944165768.2,1.023832996926419,88.28989845169511,1224828388814471.5,0.025958974319138,0.0145158484945077
15,15,500.0,8000,500000.0,,0.5,431054.75,86.21095,500.0,0.4994708808263368,0.1241402113930645,0.7411183512123454,0.0136369939885386,0.0001772197847449,0.0033057975990764,-1.2372906723911577e-05,1195987546009433.8,1.001066066948511,86.30286732768475,1197262697010245.5,0.0259518700692297,0.0145118759101495
16,16,500.0,8010,500000.0,,0.5,431210.85,86.24216999999999,500.0,0.4995619323694342,0.1226271340638984,0.7377164258430484,0.0136667973312974,0.0001783995981497,0.0033066768060732,6.0965848033237535e-05,1196420654926415.2,1.0008783359916371,86.31791675496997,1197471474753765.2,0.0259612681489813,0.0145171311679319
17,17,500.0,8020,500000.0,,0.5,431150.95,86.23019,500.0,0.4918313015753953,0.1248455275747122,0.7390868358263463,0.0136730373096077,0.000178029731508,0.0033144756314293,0.000129225103147,1196254458743665.5,1.0238910854147043,88.29116399968301,1224845945512691.5,0.0259576618390702,0.0145151145763806
18,18,500.0,8030,500000.0,,0.5,431151.7,86.23033999999998,500.0,0.4998248999597677,0.1246733020361693,0.7363582872485595,0.0136553235126922,0.0001731584801784,0.0033300434394883,-5.80038162314849e-05,1196256539664151.0,1.0003504787710773,86.26056378706755,1196675828315141.0,0.025957706993201,0.0145151398258574
19,19,500.0,8040,500000.0,,0.5,431119.8,86.22396,500.0,0.4998347852551887,0.1273941579724431,0.7371957366405288,0.0136618627570119,0.0001798976374322,0.0033149506528443,0.0002920505486824,1196168031179514.8,1.000330624078559,86.25247227961367,1196563576424362.2,0.0259557864375054,0.0145140658814419
20,20,500.0,8050,500000.0,,0.5,431223.55,86.24471000000001,500.0,0.4917887786321701,0.1253970904754167,0.7386138403027444,0.0136406963986762,0.0001792824051282,0.0033249386534812,-0.0001924854653556,1196455891846630.8,1.0239622609133805,88.31286107568896,1225146944778885.8,0.025962032758929,0.0145175587257399
21,21,1000.0,7850,500000.0,,1.0,430116.6,86.02332000000001,1000.0,0.9997570163568354,0.1249865989780757,0.5467398120458276,0.0136389734616258,0.0001485630174331,0.0033194950344575,2.260400928532731e-05,655325419891212.9,1.0002430712661616,86.04423005621396,655484712643089.6,0.0286237029814157,0.0150823922809872
22,22,1000.0,7860,500000.0,,1.0,430148.45,86.02968999999999,1000.0,0.9674786718034362,0.1257632733917767,0.5496676667265524,0.0136137907213942,0.0001498885863931,0.0033084094982482,3.006858551889577e-05,655373946534043.2,1.0476360755979237,90.129594324224,686607006625026.6,0.0286258225576886,0.0150835091274287
23,23,1000.0,7870,500000.0,,1.0,430201.55,86.04030999999999,1000.0,0.9994874469928108,0.1243421564005105,0.5422715854494188,0.0136352128275324,0.0001471026723585,0.0032496741149896,-9.381911555086956e-05,655454849665417.8,1.000513057805415,86.08445324405704,655791132779659.9,0.0286293562939553,0.0150853711225949
24,24,1000.0,7880,500000.0,,1.0,430104.9,86.02097999999998,1000.0,0.9835690543385034,0.1250180476534277,0.5488321582309641,0.0136227462478323,0.0001491881876735,0.0033180254333895,9.371134028350202e-06,655307593777520.2,1.0239758033729252,88.08190221916296,671007693688057.4,0.0286229243615603,0.0150819820108658
25,25,1000.0,7890,500000.0,,1.0,430248.05,86.04961,1000.0,0.9678103540246654,0.1249651167498556,0.5441170687582788,0.0136181352690175,0.0001512241997771,0.0033176575313478,-1.307430142229238e-05,655525697040350.4,1.0471706240414007,90.10801437121624,686442610601180.5,0.0286324508087651,0.0150870016833337
26,26,1000.0,7900,500000.0,,1.0,430187.6,86.03752,1000.0,0.9992775865250052,0.1229346956367853,0.5411775614525391,0.0136397255882299,0.0001493419948976,0.0033030185605035,-4.640982150448384e-06,655433595452938.2,1.00072367475173,86.09978778390446,655907951262884.6,0.0286284279395124,0.0150848819543733
27,27,1000.0,7910,500000.0,,1.0,430163.85,86.03277,1000.0,0.9833859083042632,0.1255515326936309,0.5462807052509862,0.0136487811537181,0.0001461958239429,0.0033037156726678,-0.0001229045941198,655397409965741.2,1.02417758697622,88.11293115462588,671244072034777.8,0.0286268474077547,0.0150840491410927
28,28,1000.0,7920,500000.0,,1.0,430196.65,86.03932999999998,1000.0,0.9995782648041086,0.1250059513754048,0.541639600802396,0.013600496618265,0.0001480676737556,0.0032555802738088,6.701128092733714e-05,655447384028059.2,1.000422607252217,86.07568917172057,655724368100223.4,0.0286290302052979,0.0150851993000655
29,29,1000.0,7930,500000.0,,1.0,430254.55,86.05091,1000.0,0.998906952030484,0.1250086427229428,0.5429997200496842,0.0135915496220778,0.0001497011039079,0.0032472866623841,4.4304601553220906e-05,655535600436846.4,1.0011006998180376,86.14562440010067,656257134481518.2,0.0286328833753514,0.015087229611179
30,30,1000.0,7940,500000.0,,1.0,430250.4,86.05008000000001,1000.0,0.983238699477947,0.1228276533446374,0.545970512437945,0.0135976011501011,0.0001500907653121,0.0032828072770284,0.0001051014552696,655529277499083.6,1.0243216951381875,88.14255813996174,671469770329209.1,0.0286326071982232,0.0150870840880162
31,31,1000.0,7950,500000.0,,1.0,430164.0,86.03279999999998,1000.0,0.9993370490323514,0.1240208594917152,0.5442907339343842,0.0136234464331253,0.0001484362900085,0.003278431953114,1.6685337858942727e-05,655397638505660.4,1.000664814038818,86.0900012486579,655833397463755.1,0.0286268573900605,0.0150840544009661
32,32,1000.0,7960,500000.0,,1.0,430139.05,86.02781000000002,1000.0,0.9835251171062008,0.1245015972068121,0.5431964929191103,0.0136194439066659,0.0001484818789664,0.0032571266946889,0.0002315432784092,655359624699110.5,1.0240177712154348,88.09328936012552,671094440897216.9,0.0286251969998561,0.0150831795086987
33,33,1000.0,7970,500000.0,,1.0,430123.75,86.02475,1000.0,0.999577328620586,0.1270795595759983,0.5488190200063618,0.0136600979686185,0.0001471238446054,0.003242211830432,-2.8899043964772468e-05,655336313627358.4,1.0004230282381903,86.06114619541717,655613579745943.8,0.0286241788046606,0.0150826430016169
34,34,1000.0,7980,500000.0,,1.0,430055.45,86.01109,1000.0,0.9989842525223764,0.1262916698379,0.5455088784023152,0.0136276854171421,0.0001500911214597,0.0032533062983827,-0.0001033745714481,655232251784178.0,1.0010186944089696,86.09871569025546,655899784056356.2,0.0286196335280691,0.0150802480059511
35,35,1000.0,7990,500000.0,,1.0,430185.25,86.03705,1000.0,0.9994543038981364,0.1216544870903041,0.5431817367967804,0.0136096791274625,0.000150255297846,0.0032575276716761,8.631891193083803e-06,655430014994204.8,1.0005466234529894,86.08408539014938,655788330469582.8,0.0286282715500542,0.0150847995496908
36,36,1000.0,8000,500000.0,,1.0,430178.0,86.03559999999999,1000.0,0.999458958229792,0.124407014107016,0.5413707720943491,0.0136285517797077,0.0001489160333688,0.0032599087982884,-0.0001761410595795,655418968898113.0,1.0005418466756777,86.08221095416269,655774051021288.8,0.0286277890719387,0.0150845453224788
37,37,1000.0,8010,500000.0,,1.0,430188.25,86.03764999999999,1000.0,0.983702933242384,0.1264734257274074,0.543715746934663,0.0136283712121812,0.0001483166270583,0.0032539994135617,7.120496314711158e-05,655434585792587.6,1.023862396410507,88.09018658386468,671070803956025.2,0.028628471196171,0.0150849047471578
38,38,1000.0,8020,500000.0,,1.0,430146.5,86.0293,1000.0,0.9996116083159564,0.1261994345421619,0.5412549958052979,0.0136351172683513,0.0001499728718444,0.0032313321853056,0.0001169943871367,655370975515094.2,1.0003887605423485,86.0627437283047,655625749747174.6,0.0286256927877127,0.0150834407490751
39,39,1000.0,8030,500000.0,,1.0,430248.5,86.04969999999999,1000.0,0.9990704080289732,0.1227676515699027,0.5456686948448706,0.013624153201483,0.0001509822671658,0.0032399090538911,-5.1890443577608434e-05,655526382660107.8,1.0009323140874993,86.12994003976131,656137651066729.0,0.0286324807556826,0.0150870174629538
40,40,1000.0,8040,500000.0,,1.0,430076.25,86.01525000000001,1000.0,0.9990693313988686,0.1251630850318612,0.5422212906856003,0.0136146039557631,0.0001469853162115,0.0032224357347231,5.41988864696096e-05,655263942652965.1,1.0009329977464656,86.09552119444024,655875448395846.4,0.0286210177411453,0.0150809773750558
41,41,1000.0,8050,500000.0,,1.0,430179.65,86.03593000000001,1000.0,0.9831291338316428,0.1249542540966235,0.5413477149836785,0.0135795611817356,0.0001473924423573,0.0032138126518979,9.734092935035547e-07,655421482837223.8,1.0244518978499877,88.14000556199255,671450324797120.2,0.0286278988773029,0.0150846031810857
