,Simulation Number,CPMU20.photonEnergy,M1_hor_foc.distanceImagePlane,CPMU20.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,500.0,7850,500000.0,,0.5,431094.95,86.21899,500.0,0.4997974738555513,0.1231453458464085,0.739781821057822,0.0136610821778539,0.000175763010234,0.0034247886455614,4.4103988386405647e-05,1196099083347439.5,1.0004054023555593,86.25394030508714,1196583942052899.5,0.0259542903306391,0.0145132292821088
1,1,500.0,7860,500000.0,,0.5,431168.9,86.23378,500.0,0.4997383914661526,0.125330418109837,0.7365921787005716,0.0136739234420179,0.0001797290669294,0.0033577239771016,7.442890223115063e-05,1196304262107277.5,1.0005239317859116,86.27896828648616,1196931150314204.5,0.0259587425279334,0.0145157188805266
2,2,500.0,7870,500000.0,,0.5,431145.85,86.22917,500.0,0.4918514833299564,0.1274161235601072,0.7392229617845618,0.0136731757306601,0.0001810439921067,0.0033647501197577,-0.0001071059603349,1196240308484366.5,1.023853831333532,88.28612829605575,1224776086187123.2,0.0259573547909809,0.014514942879938
3,3,500.0,7880,500000.0,,0.5,431056.9,86.21137999999999,500.0,0.4998239179702324,0.1259336594793913,0.7399201872501147,0.0137266549019306,0.0001771870051358,0.0033909616109384,6.981203096628755e-05,1195993511314824.8,1.0003526635126792,86.24177628851098,1196415193044396.8,0.0259519995110712,0.0145119482919832
4,4,500.0,7890,500000.0,,0.5,431188.85,86.23777,500.0,0.4916563569817825,0.1267097094265021,0.7393601777460644,0.013628501916987,0.0001740941329606,0.0033830917762926,5.26309655708054e-05,1196359614592183.2,1.0242250861378888,88.3262068984562,1225332088752138.5,0.0259599436278119,0.0145163905166109
5,5,500.0,7900,500000.0,,0.5,431196.3,86.23925999999999,500.0,0.4917249371778329,0.1242092514456742,0.7407663601554593,0.013635780317983,0.0001794850207208,0.0033705712589388,1.0536362979027278e-05,1196380285069002.5,1.0240988049359043,88.31696576858522,1225203888375773.5,0.0259603921588443,0.014516641328081
6,6,500.0,7910,500000.0,,0.5,431112.2,86.22244000000003,500.0,0.4995594538519669,0.123615425061907,0.7402301423781855,0.0136727336016353,0.0001803576669425,0.0033684819477389,-0.0002243574775283,1196146944518598.5,1.0008841303386449,86.29868064286295,1197204615955508.0,0.0259553288756469,0.0145138100200765
7,7,500.0,7920,500000.0,,0.5,431117.05,86.22340999999997,500.0,0.4917926571008661,0.1214314550630883,0.73862611127351,0.0136338259178443,0.0001801148527853,0.0033870728921586,5.069863582739604e-05,1196160401137735.8,1.023950255251456,88.28733201598837,1224792785156898.2,0.0259556208723593,0.0145139733000268
8,8,500.0,7930,500000.0,,0.5,431136.45,86.22729000000001,500.0,0.4995246001221318,0.1227374114573096,0.738853129242722,0.0136601728215629,0.0001761361369321,0.0033556481686476,8.870090262241876e-05,1196214227614285.5,1.0009536876685137,86.30951637562072,1197354937943958.0,0.0259567888592086,0.0145146264198281
9,9,500.0,7940,500000.0,,0.5,431145.75,86.22915,500.0,0.483751450243455,0.122454938444424,0.738466814157615,0.0136432698124954,0.0001789595272669,0.0033428555985941,-3.470419945563282e-05,1196240031028301.8,1.0475614448864152,90.33021792535128,1253133339408024.5,0.0259573487704302,0.014514939513341
10,10,500.0,7950,500000.0,,0.5,431008.1,86.20161999999999,500.0,0.483781154454419,0.1245314842929049,0.7377415944687585,0.0136635757628955,0.000176934358861,0.0033704798060488,0.000133901015127,1195858112755255.5,1.0475303859604397,90.29705685352108,1252673302383479.0,0.0259490614822956,0.0145103053926892
11,11,500.0,7960,500000.0,,0.5,431127.4,86.22548,500.0,0.4917181420214331,0.1240613918595617,0.7449869287347156,0.0136605085993742,0.0001817813418965,0.0033397248519828,-6.953356743235993e-06,1196189117840431.2,1.0241451670948956,88.30604110771006,1225052332705049.0,0.0259562439993639,0.0145143217428074
12,12,500.0,7970,500000.0,,0.5,431218.4,86.24368000000001,500.0,0.4916954804433284,0.1248664595748639,0.7381843148735865,0.0137444441199716,0.0001789593054417,0.003327378101054,8.759434081252519e-05,1196441602859299.2,1.024153223615127,88.3254379847373,1225321421763412.0,0.0259617227005644,0.0145173853459989
13,13,500.0,7980,500000.0,,0.5,431110.5,86.22209999999998,500.0,0.4997569573319509,0.124972875804895,0.7332594278267348,0.0136650961664135,0.0001777629658169,0.0032890130999501,4.8887603581452805e-05,1196142227765499.0,1.000486578372279,86.26405277147595,1196724230309326.8,0.0259552265262838,0.0145137527879289
