
Energy1[eV],Photons1
3.60105e+02,1.483e+15
3.70123e+02,1.477e+15
3.80141e+02,1.471e+15
3.90158e+02,1.465e+15
4.00176e+02,1.459e+15
4.10193e+02,1.453e+15
4.20211e+02,1.446e+15
4.30228e+02,1.439e+15
4.40246e+02,1.432e+15
4.50264e+02,1.425e+15
4.60281e+02,1.418e+15
4.70299e+02,1.410e+15
4.80316e+02,1.403e+15
4.90334e+02,1.395e+15
5.00351e+02,1.387e+15
5.10369e+02,1.379e+15
5.20387e+02,1.371e+15
5.30404e+02,1.362e+15
5.40422e+02,1.354e+15
5.50439e+02,1.345e+15
5.60457e+02,1.336e+15
5.70475e+02,1.327e+15
5.80492e+02,1.317e+15
5.90510e+02,1.308e+15
6.00527e+02,1.298e+15
6.10545e+02,1.288e+15
6.20562e+02,1.278e+15
6.30580e+02,1.268e+15
6.40598e+02,1.258e+15
6.50615e+02,1.247e+15
6.60633e+02,1.236e+15
6.70650e+02,1.225e+15
6.80668e+02,1.214e+15
6.90685e+02,1.203e+15
7.00703e+02,1.191e+15
7.10721e+02,1.179e+15
7.20738e+02,1.168e+15
7.30756e+02,1.155e+15
7.40773e+02,1.143e+15
7.50791e+02,1.130e+15
7.60808e+02,1.118e+15
7.70826e+02,1.105e+15
7.80844e+02,1.092e+15
7.90861e+02,1.079e+15
8.00879e+02,1.065e+15
8.10896e+02,1.052e+15
8.20914e+02,1.038e+15
8.30931e+02,1.024e+15
8.40949e+02,1.010e+15
8.50967e+02,9.960e+14
8.60984e+02,9.815e+14
8.71002e+02,9.669e+14
8.81019e+02,9.520e+14
8.91037e+02,9.370e+14
9.01054e+02,9.218e+14
9.11072e+02,9.065e+14
9.21090e+02,8.909e+14
9.31107e+02,8.752e+14
9.41125e+02,8.592e+14
9.51142e+02,8.431e+14
9.61160e+02,8.268e+14
9.71178e+02,8.103e+14
9.81195e+02,7.936e+14
9.91213e+02,7.768e+14
1.00123e+03,7.597e+14
1.01125e+03,7.425e+14
1.02127e+03,7.251e+14
1.03128e+03,7.075e+14
1.04130e+03,6.897e+14
1.05132e+03,6.717e+14
1.06134e+03,8.174e+14
1.07135e+03,8.136e+14
1.08137e+03,8.098e+14
1.09139e+03,8.059e+14
1.10141e+03,8.021e+14
1.11142e+03,7.982e+14
1.12144e+03,7.943e+14
1.13146e+03,7.903e+14
1.14148e+03,7.864e+14
1.15149e+03,7.824e+14
1.16151e+03,7.784e+14
1.17153e+03,7.744e+14
1.18155e+03,7.704e+14
1.19156e+03,7.664e+14
1.20158e+03,7.623e+14
1.21160e+03,7.582e+14
1.22162e+03,7.542e+14
1.23163e+03,7.501e+14
1.24165e+03,7.459e+14
1.25167e+03,7.418e+14
1.26169e+03,7.376e+14
1.27170e+03,7.335e+14
1.28172e+03,7.293e+14
1.29174e+03,7.251e+14
1.30176e+03,7.209e+14
1.31178e+03,7.167e+14
1.32179e+03,7.124e+14
1.33181e+03,7.082e+14
1.34183e+03,7.039e+14
1.35185e+03,6.997e+14
1.36186e+03,6.954e+14
1.37188e+03,6.911e+14
1.38190e+03,6.868e+14
1.39192e+03,6.825e+14
1.40193e+03,6.781e+14
1.41195e+03,6.738e+14
1.42197e+03,6.694e+14
1.43199e+03,6.651e+14
1.44200e+03,6.607e+14
1.45202e+03,6.564e+14
1.46204e+03,6.520e+14
1.47206e+03,6.476e+14
1.48207e+03,6.432e+14
1.49209e+03,6.388e+14
1.50211e+03,6.344e+14
1.51213e+03,6.300e+14
1.52214e+03,6.252e+14
1.53216e+03,6.208e+14
1.54218e+03,6.164e+14
1.55220e+03,6.120e+14
1.56221e+03,6.075e+14
1.57223e+03,6.031e+14
1.58225e+03,5.987e+14
1.59227e+03,5.942e+14
1.60228e+03,5.898e+14
1.61230e+03,5.853e+14
1.62232e+03,5.809e+14
1.63234e+03,5.764e+14
1.64236e+03,5.720e+14
1.65237e+03,5.675e+14
1.66239e+03,5.630e+14
1.67241e+03,5.586e+14
1.68243e+03,5.541e+14
1.69244e+03,5.497e+14
1.70246e+03,5.452e+14
1.71248e+03,5.408e+14
1.72250e+03,5.363e+14
1.73251e+03,5.319e+14
1.74253e+03,5.274e+14
1.75255e+03,5.230e+14
1.76257e+03,5.185e+14
1.77258e+03,5.475e+14
1.78260e+03,5.447e+14
1.79262e+03,5.419e+14
1.80264e+03,5.391e+14
1.81265e+03,5.363e+14
1.82267e+03,5.335e+14
1.83269e+03,5.305e+14
1.84271e+03,5.277e+14
1.85272e+03,5.249e+14
1.86274e+03,5.221e+14
1.87276e+03,5.193e+14
1.88278e+03,5.165e+14
1.89279e+03,5.137e+14
1.90281e+03,5.109e+14
1.91283e+03,5.081e+14
1.92285e+03,5.053e+14
1.93286e+03,5.025e+14
1.94288e+03,4.997e+14
1.95290e+03,4.969e+14
1.96292e+03,4.941e+14
1.97293e+03,4.913e+14
1.98295e+03,4.885e+14
1.99297e+03,4.857e+14
2.00299e+03,4.829e+14
2.01301e+03,4.801e+14
2.02302e+03,4.773e+14
2.03304e+03,4.745e+14
2.04306e+03,4.717e+14
2.05308e+03,4.689e+14
2.06309e+03,4.662e+14
2.07311e+03,4.634e+14
2.08313e+03,4.606e+14
2.09315e+03,4.578e+14
2.10316e+03,4.550e+14
2.11318e+03,4.522e+14
2.12320e+03,4.495e+14
2.13322e+03,4.467e+14
2.14323e+03,4.439e+14
2.15325e+03,4.412e+14
2.16327e+03,4.384e+14
2.17329e+03,4.356e+14
2.18330e+03,4.329e+14
2.19332e+03,4.301e+14
2.20334e+03,4.274e+14
2.21336e+03,4.246e+14
2.22337e+03,4.219e+14
2.23339e+03,4.191e+14
2.24341e+03,4.164e+14
2.25343e+03,4.137e+14
2.26344e+03,4.109e+14
2.27346e+03,4.082e+14
2.28348e+03,4.055e+14
2.29350e+03,4.028e+14
2.30351e+03,4.001e+14
2.31353e+03,3.974e+14
2.32355e+03,3.947e+14
2.33357e+03,3.920e+14
2.34359e+03,3.893e+14
2.35360e+03,3.866e+14
2.36362e+03,3.839e+14
2.37364e+03,3.813e+14
2.38366e+03,3.786e+14
2.39367e+03,3.759e+14
2.40369e+03,3.733e+14
2.41371e+03,3.706e+14
2.42373e+03,3.680e+14
2.43374e+03,3.653e+14
2.44376e+03,3.627e+14
2.45378e+03,3.601e+14
2.46380e+03,3.575e+14
2.47381e+03,3.549e+14
2.48383e+03,3.862e+14
2.49385e+03,3.841e+14
2.50387e+03,3.821e+14
2.51388e+03,3.800e+14
2.52390e+03,3.780e+14
2.53392e+03,3.759e+14
2.54394e+03,3.738e+14
2.55395e+03,3.718e+14
2.56397e+03,3.697e+14
2.57399e+03,3.677e+14
2.58401e+03,3.657e+14
2.59402e+03,3.636e+14
2.60404e+03,3.616e+14
2.61406e+03,3.596e+14
2.62408e+03,3.575e+14
2.63409e+03,3.555e+14
2.64411e+03,3.535e+14
2.65413e+03,3.515e+14
2.66415e+03,3.494e+14
2.67417e+03,3.474e+14
2.68418e+03,3.454e+14
2.69420e+03,3.434e+14
2.70422e+03,3.414e+14
2.71424e+03,3.394e+14
2.72425e+03,3.375e+14
2.73427e+03,3.355e+14
2.74429e+03,3.335e+14
2.75431e+03,3.315e+14
2.76432e+03,3.295e+14
2.77434e+03,3.276e+14
2.78436e+03,3.256e+14
2.79438e+03,3.236e+14
2.80439e+03,3.217e+14
2.81441e+03,3.197e+14
2.82443e+03,3.178e+14
2.83445e+03,3.159e+14
2.84446e+03,3.139e+14
2.85448e+03,3.120e+14
2.86450e+03,3.101e+14
2.87452e+03,3.081e+14
2.88453e+03,3.062e+14
2.89455e+03,3.043e+14
2.90457e+03,3.024e+14
2.91459e+03,3.005e+14
2.92460e+03,2.986e+14
2.93462e+03,2.967e+14
2.94464e+03,2.948e+14
2.95466e+03,2.929e+14
2.96467e+03,2.911e+14
2.97469e+03,2.892e+14
2.98471e+03,2.873e+14
2.99473e+03,2.855e+14
3.00475e+03,2.836e+14
3.01476e+03,2.818e+14
3.02478e+03,2.799e+14
3.03480e+03,2.781e+14
3.04482e+03,2.763e+14
3.05483e+03,2.744e+14
3.06485e+03,2.726e+14
3.07487e+03,2.708e+14
3.08489e+03,2.690e+14
3.09490e+03,2.672e+14
3.10492e+03,2.654e+14
3.11494e+03,2.636e+14
3.12496e+03,2.618e+14
3.13497e+03,2.600e+14
3.14499e+03,2.583e+14
3.15501e+03,2.565e+14
3.16503e+03,2.547e+14
3.17504e+03,2.530e+14
3.18506e+03,2.803e+14
3.19508e+03,2.788e+14
3.20510e+03,2.773e+14
3.21511e+03,2.757e+14
3.22513e+03,2.742e+14
3.23515e+03,2.726e+14
3.24517e+03,2.711e+14
3.25518e+03,2.696e+14
3.26520e+03,2.681e+14
3.27522e+03,2.666e+14
3.28524e+03,2.650e+14
3.29525e+03,2.635e+14
3.30527e+03,2.620e+14
3.31529e+03,2.605e+14
3.32531e+03,2.590e+14
3.33533e+03,2.575e+14
3.34534e+03,2.560e+14
3.35536e+03,2.546e+14
3.36538e+03,2.531e+14
3.37540e+03,2.516e+14
3.38541e+03,2.501e+14
3.39543e+03,2.487e+14
3.40545e+03,2.472e+14
3.41547e+03,2.458e+14
3.42548e+03,2.443e+14
3.43550e+03,2.429e+14
3.44552e+03,2.414e+14
3.45554e+03,2.400e+14
3.46555e+03,2.385e+14
3.47557e+03,2.371e+14
3.48559e+03,2.357e+14
3.49561e+03,2.343e+14
3.50562e+03,2.328e+14
3.51564e+03,2.314e+14
3.52566e+03,2.300e+14
3.53568e+03,2.286e+14
3.54569e+03,2.272e+14
3.55571e+03,2.258e+14
3.56573e+03,2.244e+14
3.57575e+03,2.230e+14
3.58576e+03,2.217e+14
3.59578e+03,2.203e+14
3.60580e+03,2.189e+14
3.61582e+03,2.175e+14
3.62583e+03,2.162e+14
3.63585e+03,2.148e+14
3.64587e+03,2.135e+14
3.65589e+03,2.121e+14
3.66591e+03,2.108e+14
3.67592e+03,2.094e+14
3.68594e+03,2.081e+14
3.69596e+03,2.068e+14
3.70598e+03,2.055e+14
3.71599e+03,2.041e+14
3.72601e+03,2.028e+14
3.73603e+03,2.015e+14
3.74605e+03,2.002e+14
3.75606e+03,1.989e+14
3.76608e+03,1.976e+14
3.77610e+03,1.963e+14
3.78612e+03,1.950e+14
3.79613e+03,1.938e+14
3.80615e+03,1.925e+14
3.81617e+03,1.912e+14
3.82619e+03,1.900e+14
3.83620e+03,1.887e+14
3.84622e+03,1.874e+14
3.85624e+03,1.862e+14
3.86626e+03,1.849e+14
3.87627e+03,1.837e+14
3.88629e+03,1.825e+14
3.89631e+03,2.049e+14
3.90633e+03,2.037e+14
3.91634e+03,2.026e+14
3.92636e+03,2.014e+14
3.93638e+03,2.003e+14
3.94640e+03,1.991e+14
3.95641e+03,1.980e+14
3.96643e+03,1.968e+14
3.97645e+03,1.957e+14
3.98647e+03,1.946e+14
3.99649e+03,1.935e+14
4.00650e+03,1.923e+14
4.01652e+03,1.912e+14
4.02654e+03,1.901e+14
4.03656e+03,1.890e+14
4.04657e+03,1.879e+14
4.05659e+03,1.868e+14
4.06661e+03,1.857e+14
4.07663e+03,1.846e+14
4.08664e+03,1.835e+14
4.09666e+03,1.824e+14
4.10668e+03,1.813e+14
4.11670e+03,1.803e+14
4.12671e+03,1.792e+14
4.13673e+03,1.781e+14
4.14675e+03,1.770e+14
4.15677e+03,1.760e+14
4.16678e+03,1.749e+14
4.17680e+03,1.739e+14
4.18682e+03,1.728e+14
4.19684e+03,1.718e+14
4.20685e+03,1.707e+14
4.21687e+03,1.697e+14
4.22689e+03,1.686e+14
4.23691e+03,1.676e+14
4.24692e+03,1.666e+14
4.25694e+03,1.656e+14
4.26696e+03,1.645e+14
4.27698e+03,1.635e+14
4.28699e+03,1.625e+14
4.29701e+03,1.615e+14
4.30703e+03,1.605e+14
4.31705e+03,1.595e+14
4.32707e+03,1.585e+14
4.33708e+03,1.575e+14
4.34710e+03,1.565e+14
4.35712e+03,1.555e+14
4.36714e+03,1.546e+14
4.37715e+03,1.536e+14
4.38717e+03,1.526e+14
4.39719e+03,1.516e+14
4.40721e+03,1.507e+14
4.41722e+03,1.497e+14
4.42724e+03,1.488e+14
4.43726e+03,1.478e+14
4.44728e+03,1.469e+14
4.45729e+03,1.459e+14
4.46731e+03,1.450e+14
4.47733e+03,1.440e+14
4.48735e+03,1.431e+14
4.49736e+03,1.422e+14
4.50738e+03,1.412e+14
4.51740e+03,1.403e+14
4.52742e+03,1.394e+14
4.53743e+03,1.385e+14
4.54745e+03,1.376e+14
4.55747e+03,1.367e+14
4.56749e+03,1.358e+14
4.57750e+03,1.349e+14
4.58752e+03,1.340e+14
4.59754e+03,1.331e+14
4.60756e+03,1.508e+14
4.61757e+03,1.500e+14
4.62759e+03,1.491e+14
4.63761e+03,1.482e+14
4.64763e+03,1.474e+14
4.65764e+03,1.465e+14
4.66766e+03,1.457e+14
4.67768e+03,1.448e+14
4.68770e+03,1.440e+14
4.69772e+03,1.431e+14
4.70773e+03,1.423e+14
4.71775e+03,1.414e+14
4.72777e+03,1.406e+14
4.73779e+03,1.398e+14
4.74780e+03,1.390e+14
4.75782e+03,1.381e+14
4.76784e+03,1.373e+14
4.77786e+03,1.365e+14
4.78787e+03,1.357e+14
4.79789e+03,1.349e+14
4.80791e+03,1.341e+14
4.81793e+03,1.333e+14
4.82794e+03,1.325e+14
4.83796e+03,1.317e+14
4.84798e+03,1.309e+14
4.85800e+03,1.301e+14
4.86801e+03,1.293e+14
4.87803e+03,1.285e+14
4.88805e+03,1.277e+14
4.89807e+03,1.269e+14
4.90808e+03,1.262e+14
4.91810e+03,1.254e+14
4.92812e+03,1.246e+14
4.93814e+03,1.239e+14
4.94815e+03,1.231e+14
4.95817e+03,1.223e+14
4.96819e+03,1.216e+14
4.97821e+03,1.208e+14
4.98822e+03,1.201e+14
4.99824e+03,1.193e+14
5.00826e+03,1.186e+14
5.01828e+03,1.179e+14
5.02830e+03,1.171e+14
5.03831e+03,1.164e+14
5.04833e+03,1.157e+14
5.05835e+03,1.149e+14
5.06837e+03,1.142e+14
5.07838e+03,1.135e+14
5.08840e+03,1.128e+14
5.09842e+03,1.121e+14
5.10844e+03,1.114e+14
5.11845e+03,1.106e+14
5.12847e+03,1.099e+14
5.13849e+03,1.092e+14
5.14851e+03,1.085e+14
5.15852e+03,1.078e+14
5.16854e+03,1.072e+14
5.17856e+03,1.065e+14
5.18858e+03,1.058e+14
5.19859e+03,1.051e+14
5.20861e+03,1.044e+14
5.21863e+03,1.037e+14
5.22865e+03,1.031e+14
5.23866e+03,1.024e+14
5.24868e+03,1.017e+14
5.25870e+03,1.011e+14
5.26872e+03,1.004e+14
5.27873e+03,9.975e+13
5.28875e+03,9.909e+13
5.29877e+03,9.844e+13
5.30879e+03,1.122e+14
5.31880e+03,1.116e+14
5.32882e+03,1.109e+14
5.33884e+03,1.103e+14
5.34886e+03,1.096e+14
5.35888e+03,1.090e+14
5.36889e+03,1.083e+14
5.37891e+03,1.077e+14
5.38893e+03,1.071e+14
5.39895e+03,1.064e+14
5.40896e+03,1.058e+14
5.41898e+03,1.052e+14
5.42900e+03,1.046e+14
5.43902e+03,1.039e+14
5.44903e+03,1.033e+14
5.45905e+03,1.027e+14
5.46907e+03,1.021e+14
5.47909e+03,1.015e+14
5.48910e+03,1.009e+14
5.49912e+03,1.002e+14
5.50914e+03,9.964e+13
5.51916e+03,9.904e+13
5.52917e+03,9.844e+13
5.53919e+03,9.785e+13
5.54921e+03,9.725e+13
5.55923e+03,9.666e+13
5.56924e+03,9.607e+13
5.57926e+03,9.549e+13
5.58928e+03,9.490e+13
5.59930e+03,9.432e+13
5.60931e+03,9.375e+13
5.61933e+03,9.317e+13
5.62935e+03,9.260e+13
5.63937e+03,9.203e+13
5.64938e+03,9.146e+13
5.65940e+03,9.089e+13
5.66942e+03,9.033e+13
5.67944e+03,8.977e+13
5.68946e+03,8.921e+13
5.69947e+03,8.866e+13
5.70949e+03,8.811e+13
5.71951e+03,8.756e+13
5.72953e+03,8.701e+13
5.73954e+03,8.646e+13
5.74956e+03,8.592e+13
5.75958e+03,8.538e+13
5.76960e+03,8.484e+13
5.77961e+03,8.431e+13
5.78963e+03,8.378e+13
5.79965e+03,8.325e+13
5.80967e+03,8.272e+13
5.81968e+03,8.219e+13
5.82970e+03,8.167e+13
5.83972e+03,8.115e+13
5.84974e+03,8.063e+13
5.85975e+03,8.012e+13
5.86977e+03,7.961e+13
5.87979e+03,7.910e+13
5.88981e+03,7.859e+13
5.89982e+03,7.808e+13
5.90984e+03,7.758e+13
5.91986e+03,7.708e+13
5.92988e+03,7.658e+13
5.93989e+03,7.609e+13
5.94991e+03,7.559e+13
5.95993e+03,7.510e+13
5.96995e+03,7.461e+13
5.97996e+03,7.413e+13
5.98998e+03,7.365e+13
6.00000e+03,7.316e+13
