,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,500.0,1.5,1,100000.0,,100000.0,100.0,500.0,0.4997189909067288,0.1979699727378698,0.0422015000816919,1387280323450134.8,1.000562334228606,100.0562334228606,1388060438660682.2,0.0301027538488205,0.0168329845688391
1,1,0.03,500.0,2.25,1,100000.0,,100000.0,100.0,500.0,0.3398702124662803,0.1728343628741092,0.0354418517285944,1387280323450134.8,1.471149814429844,147.1149814429844,2040897190405840.0,0.0301027538488205,0.0168329845688391
2,2,0.03,500.0,3.0,1,100000.0,,100000.0,100.0,500.0,0.4994445658581981,0.196045484745969,0.0377671544878405,1387280323450134.8,1.001112103684315,100.11121036843149,1388823123009021.0,0.0301027538488205,0.0168329845688391
3,3,0.03,500.0,5.0,1,100000.0,,100000.0,100.0,500.0,0.499313345909286,0.1771099959721029,0.0360862864566159,1387280323450134.8,1.0013751967503763,100.13751967503764,1389188106842804.5,0.0301027538488205,0.0168329845688391
4,4,0.03,510.0,1.5,1,100000.0,,100000.0,100.0,510.0,0.5091273054094927,0.1899933500255648,0.0357629341116596,1379294669594729.5,1.0017140989713866,100.17140989713867,1381658917169121.0,0.0305404590916379,0.017127244376718
5,5,0.03,510.0,2.25,1,100000.0,,100000.0,100.0,510.0,0.5098570318316433,0.1810237590377101,0.0359179236306072,1379294669594729.5,1.0002804083486758,100.02804083486758,1379681435335367.8,0.0305404590916379,0.017127244376718
6,6,0.03,510.0,3.0,1,100000.0,,100000.0,100.0,510.0,0.5058035017038947,0.1794004326777569,0.0380706516006265,1379294669594729.5,1.0082966968041318,100.82966968041318,1390738259271912.0,0.0305404590916379,0.017127244376718
7,7,0.03,510.0,5.0,1,100000.0,,100000.0,100.0,510.0,0.5092659068159833,0.1776952648748853,0.041800845118064,1379294669594729.5,1.0014414732543289,100.14414732543288,1381282885970788.5,0.0305404590916379,0.017127244376718
8,8,0.03,520.0,1.5,1,100000.0,,100000.0,100.0,520.0,0.5193012262632237,0.1802113115719772,0.0415205622165931,1371309043721301.5,1.001345603864263,100.1345603864263,1373154282469631.5,0.0309715735064132,0.0174111045842883
9,9,0.03,520.0,2.25,1,100000.0,,100000.0,100.0,520.0,0.5198919929985095,0.1702258461346972,0.0419887396287751,1371309043721301.5,1.0002077489227474,100.02077489227474,1371593931697888.5,0.0309715735064132,0.0174111045842883
10,10,0.03,520.0,3.0,1,100000.0,,100000.0,100.0,520.0,0.5194563639041689,0.1700277131444327,0.0360291019533924,1371309043721301.5,1.0010465481484243,100.10465481484242,1372744184661925.5,0.0309715735064132,0.0174111045842883
11,11,0.03,520.0,5.0,1,100000.0,,100000.0,100.0,520.0,0.5199109014806709,0.2002635905175632,0.0403140202303661,1371309043721301.5,1.000171372669962,100.01713726699622,1371544048613467.0,0.0309715735064132,0.0174111045842883
12,12,0.03,530.0,1.5,1,100000.0,,100000.0,100.0,530.0,0.5296343339258556,0.1688749082689785,0.0404835273431057,1362362982929020.8,1.000690412329265,100.06904123292652,1363303575129369.0,0.0313681858197426,0.0176902917981379
13,13,0.03,530.0,2.25,1,100000.0,,100000.0,100.0,530.0,0.525201084202763,0.1727197227432329,0.0409648770943847,1362362982929020.8,1.0091372922516366,100.91372922516364,1374811291656854.5,0.0313681858197426,0.0176902917981379
14,14,0.03,530.0,3.0,1,100000.0,,100000.0,100.0,530.0,0.5288802136414006,0.1816647464795506,0.0376025724303766,1362362982929020.8,1.002117277844239,100.21172778442391,1365247483888588.0,0.0313681858197426,0.0176902917981379
15,15,0.03,530.0,5.0,1,100000.0,,100000.0,100.0,530.0,0.5276058344065859,0.1982790915299053,0.0348710666745723,1362362982929020.8,1.0045377921116183,100.45377921116184,1368545102926117.2,0.0313681858197426,0.0176902917981379
16,16,0.03,540.0,1.5,1,100000.0,,100000.0,100.0,540.0,0.5396150084561668,0.1702858546511729,0.0363299488555251,1354336993411858.8,1.0007134559598976,100.07134559598975,1355303253211518.2,0.0317893306565431,0.0179866713071337
17,17,0.03,540.0,2.25,1,100000.0,,100000.0,100.0,540.0,0.5397373421714065,0.1780796886212642,0.0377757095743836,1354336993411858.8,1.000486640089672,100.0486640089672,1354996068087778.8,0.0317893306565431,0.0179866713071337
18,18,0.03,540.0,3.0,1,100000.0,,100000.0,100.0,540.0,0.5367884099281355,0.1992588152819352,0.0415615205905244,1354336993411858.8,1.0059829720844653,100.59829720844652,1362439953836400.8,0.0317893306565431,0.0179866713071337
19,19,0.03,540.0,5.0,1,100000.0,,100000.0,100.0,540.0,0.5383160414794474,0.1960843605694602,0.0374748759263138,1354336993411858.8,1.0031281968041017,100.31281968041014,1358573626066326.2,0.0317893306565431,0.0179866713071337
20,20,0.03,550.0,1.5,1,100000.0,,100000.0,100.0,550.0,0.5488384286577457,0.1959188351438341,0.0409357418939965,1345394429469901.2,1.0021164176588275,100.21164176588272,1348241845998519.5,0.0320255223548937,0.0182627935032008
21,21,0.03,550.0,2.25,1,100000.0,,100000.0,100.0,550.0,0.5482999473080099,0.1781675189421724,0.0356798833807342,1345394429469901.2,1.0031005888297764,100.31005888297764,1349565944409558.8,0.0320255223548937,0.0182627935032008
22,22,0.03,550.0,3.0,1,100000.0,,100000.0,100.0,550.0,0.5473505184698979,0.1736445700776221,0.0416472833795257,1345394429469901.2,1.0048405572675965,100.48405572675964,1351906888253255.5,0.0320255223548937,0.0182627935032008
23,23,0.03,550.0,5.0,1,100000.0,,100000.0,100.0,550.0,0.5494830132946618,0.1883222468697192,0.0370293981613775,1345394429469901.2,1.0009408602137462,100.0940860213746,1346660257560385.2,0.0320255223548937,0.0182627935032008
24,24,0.03,560.0,1.5,1,100000.0,,100000.0,100.0,560.0,0.5573934443066264,0.1806395856281788,0.0356150121789771,1336410560990217.5,1.0046763300142794,100.46763300142794,1342660057807976.0,0.0324128480731707,0.0185274708897554
25,25,0.03,560.0,2.25,1,100000.0,,100000.0,100.0,560.0,0.5596151818992894,0.1740515354438161,0.0364798675016536,1336410560990217.5,1.0006876477142823,100.06876477142822,1337329540657825.0,0.0324128480731707,0.0185274708897554
26,26,0.03,560.0,3.0,1,100000.0,,100000.0,100.0,560.0,0.559061727638209,0.1751357732411228,0.0342013705447092,1336410560990217.5,1.0016782983262953,100.16782983262954,1338653456597971.0,0.0324128480731707,0.0185274708897554
27,27,0.03,560.0,5.0,1,100000.0,,100000.0,100.0,560.0,0.5596096163960738,0.1708226145970663,0.0354422595388265,1336410560990217.5,1.0006975998847918,100.06975998847918,1337342840843598.8,0.0324128480731707,0.0185274708897554
28,28,0.03,570.0,1.5,1,100000.0,,100000.0,100.0,570.0,0.5692183553812811,0.1678224381810006,0.040069106308284,1327426731882611.2,1.0013731894119882,100.1373189411988,1329249540216022.5,0.0327807776423997,0.0187793622428763
29,29,0.03,570.0,2.25,1,100000.0,,100000.0,100.0,570.0,0.5685038382914627,0.1992982444813087,0.0360072790527315,1327426731882611.2,1.0026317530467934,100.26317530467934,1330920191228638.2,0.0327807776423997,0.0187793622428763
