Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays
0,0.03,500.0,1.5,1,100000.0
1,0.03,500.0,2.25,1,100000.0
2,0.03,500.0,3.0,1,100000.0
3,0.03,500.0,5.0,1,100000.0
4,0.03,510.0,1.5,1,100000.0
5,0.03,510.0,2.25,1,100000.0
6,0.03,510.0,3.0,1,100000.0
7,0.03,510.0,5.0,1,100000.0
8,0.03,520.0,1.5,1,100000.0
9,0.03,520.0,2.25,1,100000.0
10,0.03,520.0,3.0,1,100000.0
11,0.03,520.0,5.0,1,100000.0
12,0.03,530.0,1.5,1,100000.0
13,0.03,530.0,2.25,1,100000.0
14,0.03,530.0,3.0,1,100000.0
15,0.03,530.0,5.0,1,100000.0
16,0.03,540.0,1.5,1,100000.0
17,0.03,540.0,2.25,1,100000.0
18,0.03,540.0,3.0,1,100000.0
19,0.03,540.0,5.0,1,100000.0
20,0.03,550.0,1.5,1,100000.0
21,0.03,550.0,2.25,1,100000.0
22,0.03,550.0,3.0,1,100000.0
23,0.03,550.0,5.0,1,100000.0
24,0.03,560.0,1.5,1,100000.0
25,0.03,560.0,2.25,1,100000.0
26,0.03,560.0,3.0,1,100000.0
27,0.03,560.0,5.0,1,100000.0
28,0.03,570.0,1.5,1,100000.0
29,0.03,570.0,2.25,1,100000.0
30,0.03,570.0,3.0,1,100000.0
31,0.03,570.0,5.0,1,100000.0
32,0.03,580.0,1.5,1,100000.0
33,0.03,580.0,2.25,1,100000.0
34,0.03,580.0,3.0,1,100000.0
35,0.03,580.0,5.0,1,100000.0
36,0.03,590.0,1.5,1,100000.0
37,0.03,590.0,2.25,1,100000.0
38,0.03,590.0,3.0,1,100000.0
39,0.03,590.0,5.0,1,100000.0
40,0.03,600.0,1.5,1,100000.0
41,0.03,600.0,2.25,1,100000.0
42,0.03,600.0,3.0,1,100000.0
43,0.03,600.0,5.0,1,100000.0
44,0.03,610.0,1.5,1,100000.0
45,0.03,610.0,2.25,1,100000.0
46,0.03,610.0,3.0,1,100000.0
47,0.03,610.0,5.0,1,100000.0
48,0.03,620.0,1.5,1,100000.0
49,0.03,620.0,2.25,1,100000.0
50,0.03,620.0,3.0,1,100000.0
51,0.03,620.0,5.0,1,100000.0
52,0.03,630.0,1.5,1,100000.0
53,0.03,630.0,2.25,1,100000.0
54,0.03,630.0,3.0,1,100000.0
55,0.03,630.0,5.0,1,100000.0
56,0.03,640.0,1.5,1,100000.0
57,0.03,640.0,2.25,1,100000.0
58,0.03,640.0,3.0,1,100000.0
59,0.03,640.0,5.0,1,100000.0
60,0.03,650.0,1.5,1,100000.0
61,0.03,650.0,2.25,1,100000.0
62,0.03,650.0,3.0,1,100000.0
63,0.03,650.0,5.0,1,100000.0
64,0.03,660.0,1.5,1,100000.0
65,0.03,660.0,2.25,1,100000.0
66,0.03,660.0,3.0,1,100000.0
67,0.03,660.0,5.0,1,100000.0
68,0.03,670.0,1.5,1,100000.0
69,0.03,670.0,2.25,1,100000.0
70,0.03,670.0,3.0,1,100000.0
71,0.03,670.0,5.0,1,100000.0
72,0.03,680.0,1.5,1,100000.0
73,0.03,680.0,2.25,1,100000.0
74,0.03,680.0,3.0,1,100000.0
75,0.03,680.0,5.0,1,100000.0
76,0.03,690.0,1.5,1,100000.0
77,0.03,690.0,2.25,1,100000.0
78,0.03,690.0,3.0,1,100000.0
79,0.03,690.0,5.0,1,100000.0
80,0.03,700.0,1.5,1,100000.0
81,0.03,700.0,2.25,1,100000.0
82,0.03,700.0,3.0,1,100000.0
83,0.03,700.0,5.0,1,100000.0
84,0.03,710.0,1.5,1,100000.0
85,0.03,710.0,2.25,1,100000.0
86,0.03,710.0,3.0,1,100000.0
87,0.03,710.0,5.0,1,100000.0
88,0.03,720.0,1.5,1,100000.0
89,0.03,720.0,2.25,1,100000.0
90,0.03,720.0,3.0,1,100000.0
91,0.03,720.0,5.0,1,100000.0
92,0.03,730.0,1.5,1,100000.0
93,0.03,730.0,2.25,1,100000.0
94,0.03,730.0,3.0,1,100000.0
95,0.03,730.0,5.0,1,100000.0
96,0.03,740.0,1.5,1,100000.0
97,0.03,740.0,2.25,1,100000.0
98,0.03,740.0,3.0,1,100000.0
99,0.03,740.0,5.0,1,100000.0
100,0.03,750.0,1.5,1,100000.0
101,0.03,750.0,2.25,1,100000.0
102,0.03,750.0,3.0,1,100000.0
103,0.03,750.0,5.0,1,100000.0
104,0.03,760.0,1.5,1,100000.0
105,0.03,760.0,2.25,1,100000.0
106,0.03,760.0,3.0,1,100000.0
107,0.03,760.0,5.0,1,100000.0
108,0.03,770.0,1.5,1,100000.0
109,0.03,770.0,2.25,1,100000.0
110,0.03,770.0,3.0,1,100000.0
111,0.03,770.0,5.0,1,100000.0
112,0.03,780.0,1.5,1,100000.0
113,0.03,780.0,2.25,1,100000.0
114,0.03,780.0,3.0,1,100000.0
115,0.03,780.0,5.0,1,100000.0
116,0.03,790.0,1.5,1,100000.0
117,0.03,790.0,2.25,1,100000.0
118,0.03,790.0,3.0,1,100000.0
119,0.03,790.0,5.0,1,100000.0
120,0.03,800.0,1.5,1,100000.0
121,0.03,800.0,2.25,1,100000.0
122,0.03,800.0,3.0,1,100000.0
123,0.03,800.0,5.0,1,100000.0
124,0.03,810.0,1.5,1,100000.0
125,0.03,810.0,2.25,1,100000.0
126,0.03,810.0,3.0,1,100000.0
127,0.03,810.0,5.0,1,100000.0
128,0.03,820.0,1.5,1,100000.0
129,0.03,820.0,2.25,1,100000.0
130,0.03,820.0,3.0,1,100000.0
131,0.03,820.0,5.0,1,100000.0
132,0.03,830.0,1.5,1,100000.0
133,0.03,830.0,2.25,1,100000.0
134,0.03,830.0,3.0,1,100000.0
135,0.03,830.0,5.0,1,100000.0
136,0.03,840.0,1.5,1,100000.0
137,0.03,840.0,2.25,1,100000.0
138,0.03,840.0,3.0,1,100000.0
139,0.03,840.0,5.0,1,100000.0
140,0.03,850.0,1.5,1,100000.0
141,0.03,850.0,2.25,1,100000.0
142,0.03,850.0,3.0,1,100000.0
143,0.03,850.0,5.0,1,100000.0
144,0.03,860.0,1.5,1,100000.0
145,0.03,860.0,2.25,1,100000.0
146,0.03,860.0,3.0,1,100000.0
147,0.03,860.0,5.0,1,100000.0
148,0.03,870.0,1.5,1,100000.0
149,0.03,870.0,2.25,1,100000.0
150,0.03,870.0,3.0,1,100000.0
151,0.03,870.0,5.0,1,100000.0
152,0.03,880.0,1.5,1,100000.0
153,0.03,880.0,2.25,1,100000.0
154,0.03,880.0,3.0,1,100000.0
155,0.03,880.0,5.0,1,100000.0
156,0.03,890.0,1.5,1,100000.0
157,0.03,890.0,2.25,1,100000.0
158,0.03,890.0,3.0,1,100000.0
159,0.03,890.0,5.0,1,100000.0
160,0.03,900.0,1.5,1,100000.0
161,0.03,900.0,2.25,1,100000.0
162,0.03,900.0,3.0,1,100000.0
163,0.03,900.0,5.0,1,100000.0
164,0.03,910.0,1.5,1,100000.0
165,0.03,910.0,2.25,1,100000.0
166,0.03,910.0,3.0,1,100000.0
167,0.03,910.0,5.0,1,100000.0
168,0.03,920.0,1.5,1,100000.0
169,0.03,920.0,2.25,1,100000.0
170,0.03,920.0,3.0,1,100000.0
171,0.03,920.0,5.0,1,100000.0
172,0.03,930.0,1.5,1,100000.0
173,0.03,930.0,2.25,1,100000.0
174,0.03,930.0,3.0,1,100000.0
175,0.03,930.0,5.0,1,100000.0
176,0.03,940.0,1.5,1,100000.0
177,0.03,940.0,2.25,1,100000.0
178,0.03,940.0,3.0,1,100000.0
179,0.03,940.0,5.0,1,100000.0
180,0.03,950.0,1.5,1,100000.0
181,0.03,950.0,2.25,1,100000.0
182,0.03,950.0,3.0,1,100000.0
183,0.03,950.0,5.0,1,100000.0
184,0.03,960.0,1.5,1,100000.0
185,0.03,960.0,2.25,1,100000.0
186,0.03,960.0,3.0,1,100000.0
187,0.03,960.0,5.0,1,100000.0
188,0.03,970.0,1.5,1,100000.0
189,0.03,970.0,2.25,1,100000.0
190,0.03,970.0,3.0,1,100000.0
191,0.03,970.0,5.0,1,100000.0
192,0.03,980.0,1.5,1,100000.0
193,0.03,980.0,2.25,1,100000.0
194,0.03,980.0,3.0,1,100000.0
195,0.03,980.0,5.0,1,100000.0
196,0.03,990.0,1.5,1,100000.0
197,0.03,990.0,2.25,1,100000.0
198,0.03,990.0,3.0,1,100000.0
199,0.03,990.0,5.0,1,100000.0
200,0.03,1000.0,1.5,1,100000.0
201,0.03,1000.0,2.25,1,100000.0
202,0.03,1000.0,3.0,1,100000.0
203,0.03,1000.0,5.0,1,100000.0
204,0.03,1010.0,1.5,1,100000.0
205,0.03,1010.0,2.25,1,100000.0
206,0.03,1010.0,3.0,1,100000.0
207,0.03,1010.0,5.0,1,100000.0
208,0.03,1020.0,1.5,1,100000.0
209,0.03,1020.0,2.25,1,100000.0
210,0.03,1020.0,3.0,1,100000.0
211,0.03,1020.0,5.0,1,100000.0
212,0.03,1030.0,1.5,1,100000.0
213,0.03,1030.0,2.25,1,100000.0
214,0.03,1030.0,3.0,1,100000.0
215,0.03,1030.0,5.0,1,100000.0
216,0.03,1040.0,1.5,1,100000.0
217,0.03,1040.0,2.25,1,100000.0
218,0.03,1040.0,3.0,1,100000.0
219,0.03,1040.0,5.0,1,100000.0
220,0.03,1050.0,1.5,1,100000.0
221,0.03,1050.0,2.25,1,100000.0
222,0.03,1050.0,3.0,1,100000.0
223,0.03,1050.0,5.0,1,100000.0
224,0.03,1060.0,1.5,1,100000.0
225,0.03,1060.0,2.25,1,100000.0
226,0.03,1060.0,3.0,1,100000.0
227,0.03,1060.0,5.0,1,100000.0
228,0.03,1070.0,1.5,1,100000.0
229,0.03,1070.0,2.25,1,100000.0
230,0.03,1070.0,3.0,1,100000.0
231,0.03,1070.0,5.0,1,100000.0
232,0.03,1080.0,1.5,1,100000.0
233,0.03,1080.0,2.25,1,100000.0
234,0.03,1080.0,3.0,1,100000.0
235,0.03,1080.0,5.0,1,100000.0
236,0.03,1090.0,1.5,1,100000.0
237,0.03,1090.0,2.25,1,100000.0
238,0.03,1090.0,3.0,1,100000.0
239,0.03,1090.0,5.0,1,100000.0
240,0.03,1100.0,1.5,1,100000.0
241,0.03,1100.0,2.25,1,100000.0
242,0.03,1100.0,3.0,1,100000.0
243,0.03,1100.0,5.0,1,100000.0
244,0.03,1110.0,1.5,1,100000.0
245,0.03,1110.0,2.25,1,100000.0
246,0.03,1110.0,3.0,1,100000.0
247,0.03,1110.0,5.0,1,100000.0
248,0.03,1120.0,1.5,1,100000.0
249,0.03,1120.0,2.25,1,100000.0
250,0.03,1120.0,3.0,1,100000.0
251,0.03,1120.0,5.0,1,100000.0
252,0.03,1130.0,1.5,1,100000.0
253,0.03,1130.0,2.25,1,100000.0
254,0.03,1130.0,3.0,1,100000.0
255,0.03,1130.0,5.0,1,100000.0
256,0.03,1140.0,1.5,1,100000.0
257,0.03,1140.0,2.25,1,100000.0
258,0.03,1140.0,3.0,1,100000.0
259,0.03,1140.0,5.0,1,100000.0
260,0.03,1150.0,1.5,1,100000.0
261,0.03,1150.0,2.25,1,100000.0
262,0.03,1150.0,3.0,1,100000.0
263,0.03,1150.0,5.0,1,100000.0
264,0.03,1160.0,1.5,1,100000.0
265,0.03,1160.0,2.25,1,100000.0
266,0.03,1160.0,3.0,1,100000.0
267,0.03,1160.0,5.0,1,100000.0
268,0.03,1170.0,1.5,1,100000.0
269,0.03,1170.0,2.25,1,100000.0
270,0.03,1170.0,3.0,1,100000.0
