Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor
119,0.03,738,2,500000.0,1.27368491854199
120,0.03,740,2,500000.0,1.27448555561608
121,0.03,742,2,500000.0,1.27528577565715
122,0.03,744,2,500000.0,1.276086046278
123,0.03,746,2,500000.0,1.27688630008345
124,0.03,748,2,500000.0,1.27768646892401
125,0.03,750,2,500000.0,1.27848648389625
126,0.03,752,2,500000.0,1.2792868307211
127,0.03,754,2,500000.0,1.28016843760962
128,0.03,756,2,500000.0,1.28096914587123
129,0.03,758,2,500000.0,1.2817699952141
130,0.03,760,2,500000.0,1.28257035434233
131,0.03,762,2,500000.0,1.28337129179016
132,0.03,764,2,500000.0,1.28418710389317
133,0.03,766,2,500000.0,1.28505838495462
134,0.03,768,2,500000.0,1.28585885107582
135,0.03,770,2,500000.0,1.28689382385114
136,0.03,772,2,500000.0,1.28769614424958
137,0.03,774,2,500000.0,1.28835108195056
138,0.03,776,2,500000.0,1.2891523913895
139,0.03,778,2,500000.0,1.28995378710095
140,0.03,780,2,500000.0,1.29084637328192
141,0.03,782,2,500000.0,1.29164824012589
142,0.03,784,2,500000.0,1.29245061579877
143,0.03,786,2,500000.0,1.29326685540874
144,0.03,788,2,500000.0,1.29414859932067
145,0.03,790,2,500000.0,1.29519742122294
146,0.03,792,2,500000.0,1.29600119569745
147,0.03,794,2,500000.0,1.29690183422233
148,0.03,796,2,500000.0,1.29770587029687
149,0.03,798,2,500000.0,1.29851063884867
