,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,500,2,500000.0,1.17577026432641,,19747.8,0.0006410569498546,500.0,0.0445381203508815,0.0090051175942539,0.0096462484210551,-0.0001647498924924,4.694061969133002e-06,8893256927.444195,11.243679687817792,0.0072074656521309,99987752811.44057,1.9297579564552504e-07,1.079090174465166e-07
1,1,0.03,502,2,500000.0,1.17662360156545,,19748.6,0.0005587535092399,502.0,0.0443903740464917,0.0094487964072208,0.009590227978782,-0.000173119113487,3.951354923354262e-06,7742553340.962145,11.333209551487489,0.0063315083219144,87734645242.49991,1.686848008535248e-07,9.437769224103263e-08
2,2,0.03,504,2,500000.0,1.17747901516844,,19854.0,0.0004789668158216,504.0,0.0442910713250852,0.0090913570600935,0.0097188415413362,-0.000183288768847,-4.594589397086239e-06,6629312858.537744,11.415456582610885,0.0054668944616561,75666523345.15533,1.4501707646851882e-07,8.118037551269856e-08
3,3,0.03,506,2,500000.0,1.17837189466193,,19801.3,0.000397928069923,506.0,0.0440110902213461,0.0089780056967273,0.0096599111082685,-0.0001699710527584,-4.46064664262825e-06,5501311476.034056,11.54068241344157,0.0045925391506123,63491344901.31172,1.208194475109207e-07,6.767922816873718e-08
4,4,0.03,508,2,500000.0,1.1791362468331,,19775.2,0.0003261992034847,508.0,0.0437056417187136,0.0094347428522521,0.0097170353687509,-0.0001737637154914,-4.899339419848507e-07,4504458035.524486,11.64140508415689,0.003798087179479,52447474219.6169,9.932496331526341e-08,5.567338711322407e-08
5,5,0.03,510,2,500000.0,1.18000708146274,,19741.2,0.0002545564250904,510.0,0.0447053378056409,0.0090896086650047,0.0096222372225884,-0.0001657353371613,1.8488834158816124e-05,3511083202.3840723,11.452364928961885,0.002915557516379,40214129412.385216,7.774270086989797e-08,4.359850100188586e-08
6,6,0.03,512,2,500000.0,1.18089388467086,,19776.6,0.0001989433379553,512.0,0.0448760469499915,0.0093399479678658,0.0096304210026562,-0.0001736765157198,1.5007650254073563e-06,2740837481.7990727,11.43872663147611,0.0022756099156603,31351021928.632977,6.091685323717728e-08,3.4184459377063514e-08
7,7,0.03,514,2,500000.0,1.18169303123046,,19782.2,0.0001583955817875,514.0,0.0455335888401577,0.008846102911761,0.0097193375258368,-0.0001647159931939,2.867240223388472e-06,2179682265.044701,11.313146965704224,0.0017918998641989,24658341543.69911,4.864482991783818e-08,2.7306252252401436e-08
8,8,0.03,516,2,500000.0,1.18256256858225,,19750.2,0.0001176009508579,516.0,0.0452314004908884,0.009264609079693,0.0095900878189249,-0.0001640130633165,3.732796995733312e-06,1616428943.4013891,11.42762948789907,0.0013437873751062,18470401736.141914,3.622420512446684e-08,2.0340309576402e-08
9,9,0.03,518,2,500000.0,1.18333929872482,,19783.1,8.748008782169014e-05,518.0,0.0452964723057447,0.0088363815395253,0.0096273513442938,-0.0001612897167527,-1.1277548372274526e-05,1201019522.2596111,11.484963082216806,0.0010046419186993,13792790877.139462,2.7021186373069425e-08,1.5180695654620027e-08
10,10,0.03,520,2,500000.0,1.18413280440169,,19680.1,6.042951890270316e-05,520.0,0.0457292629273524,0.0090652731143276,0.0096596283183774,-0.0001779048948493,-3.120574142106721e-06,828675457.7900417,11.3875226106907,0.0006881765690239,9437027527.796818,1.8715972866522565e-08,1.0521446735931949e-08
11,11,0.03,522,2,500000.0,1.184814908884,,19793.7,3.4029715257282664e-05,522.0,0.0447081636751135,0.0088135497909922,0.0096609236804163,-0.0001523895714333,9.527016124382197e-06,466054225.191631,11.704635565500515,0.0003983368728779,5455425684.606251,1.0567288841730167e-08,5.943745868769084e-09
12,12,0.03,524,2,500000.0,1.18564428721044,,19725.5,2.405598916864228e-05,524.0,0.0461038837181944,0.0092281013243469,0.0096014464222897,-0.0001830657150416,2.293977279775502e-05,329026710.43410444,11.383278058796106,0.0002738335933101,3745369428.859712,7.488917878662e-09,4.214988337780761e-09
13,13,0.03,526,2,500000.0,1.18623535979449,,19678.6,1.4352352249997506e-05,526.0,0.0466339405457688,0.0092245723907275,0.0097148973785054,-0.0001674922460072,-4.062204286908026e-06,196046942.0412732,11.302713439524643,0.0001622332006115,2216035554.553996,4.479550939428605e-09,2.5227571822977948e-09
14,14,0.03,528,2,500000.0,1.18691311580508,,19750.0,6.504358325698327e-06,528.0,0.0469425132668902,0.0092875647329871,0.0097166816363363,-0.0001632620557002,1.1903532606002854e-05,88729849.86065613,11.282660583383166,7.339917899548203e-05,1001282187.4270468,2.035130823630987e-09,1.1469489253415014e-09
15,15,0.03,530,2,500000.0,1.18740617352132,,19752.9,4.364197251825319e-06,530.0,0.0455413479634784,0.0093683934838341,0.0096702265911848,-0.0001687194053317,4.917860595667546e-06,59456207.86087377,11.675320313434538,5.094910471445707e-05,694111742.7635077,1.3689695034926696e-09,7.720392284942167e-10
16,16,0.03,532,2,500000.0,1.18810554884438,,19660.9,2.212727009640359e-06,532.0,0.0467083637380596,0.0091903735145905,0.0097177816111763,-0.0001683097968186,3.405418081135752e-06,30109140.535247497,11.440660667370462,2.53130134059245e-05,344440626.7420488,6.960024446962746e-10,3.927166849128513e-10
