,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.02,502,2,300000.0,1.17662360156545,,300000.0,100.0,502.0,0.5016291569852456,0.1814363186473056,0.037558832128093,,1.0007392772321753,100.07392772321752,,,
1,1,0.02,504,2,300000.0,1.17747901516844,,300000.0,100.0,504.0,0.5036427307666145,0.1811105459219438,0.0373318854649828,,1.0007093703761825,100.07093703761826,,,
2,2,0.02,506,2,300000.0,1.17837189466193,,300000.0,100.0,506.0,0.5058954382154752,0.1784106810332217,0.0372495958903688,,1.000206686553438,100.0206686553438,,,
3,3,0.02,508,2,300000.0,1.1791362468331,,300000.0,100.0,508.0,0.5078968875325245,0.1729372595253301,0.0385348448246711,,1.000203018506328,100.0203018506328,,,
4,4,0.02,510,2,300000.0,1.18000708146274,,300000.0,100.0,510.0,0.509896135746942,0.1778972101672191,0.0424630168584161,,1.0002036968821226,100.02036968821224,,,
5,5,0.02,512,2,300000.0,1.18089388467086,,300000.0,100.0,512.0,0.511929529392205,0.1775392619212876,0.0381355334298389,,1.0001376568526503,100.01376568526504,,,
6,6,0.02,514,2,300000.0,1.18169303123046,,300000.0,100.0,514.0,0.5138781804348582,0.1745911431544137,0.0375746768727733,,1.000237059228782,100.0237059228782,,,
7,7,0.02,516,2,300000.0,1.18256256858225,,300000.0,100.0,516.0,0.5158944768627407,0.1798322702288564,0.037988379979634,,1.0002045440336966,100.02045440336968,,,
8,8,0.02,518,2,300000.0,1.18333929872482,,300000.0,100.0,518.0,0.5178077863790804,0.1742698875357582,0.0375564195948985,,1.0003712065093957,100.03712065093954,,,
9,9,0.02,520,2,300000.0,1.18413280440169,,300000.0,100.0,520.0,0.5197878870018258,0.1720018556226004,0.0374142061123973,,1.000408076070025,100.04080760700248,,,
10,10,0.02,522,2,300000.0,1.184814908884,,300000.0,100.0,522.0,0.5218936367915603,0.1776780474283978,0.0382602405963552,,1.0002038024626887,100.02038024626889,,,
