# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	2.283999999999999986e+01	4.568000000000000879e-03	nan	1.000000000000000000e+01	4.942188467843596899e-04	4.093503602028124473e-03	2.556837056475447321e-03	4.713278340204071881e+00	1.084850379135291754e-01	nan
nan	9.879999999999999005e+00	1.975999999999999892e-03	nan	1.000000000000000000e+01	4.269239715548419538e-04	4.303769782157517397e-03	2.241462164287502494e-03	4.728449396234028157e+00	4.664560256376533431e-02	nan
nan	7.840000000000000746e+00	1.567999999999999949e-03	nan	1.000000000000000000e+01	3.391865890570152980e-04	4.235750442900374294e-03	2.210251161428579587e-03	5.925242979925171127e+00	4.643945260841229883e-02	nan
nan	3.120000000000000107e+00	6.239999999999999887e-04	nan	1.000000000000000000e+01	2.201604857926119812e-04	3.760172358850834458e-03	2.153797687272467933e-03	1.042782167406140914e+01	3.115956164730722747e-02	nan
nan	3.471999999999999886e+01	6.943999999999998785e-03	nan	1.200000000000000000e+01	6.026663670806442757e-04	3.871059479862155265e-03	2.708301463225383163e-03	4.007190038111335895e+00	1.390936117081422452e-01	nan
nan	1.824000000000000199e+01	3.647999999999999767e-03	nan	1.200000000000000000e+01	5.441788484191646550e-04	4.316894057828539639e-03	2.276057627313224970e-03	4.458440636536672663e+00	8.140411807270975242e-02	nan
nan	1.180000000000000071e+01	2.360000000000000119e-03	nan	1.200000000000000000e+01	3.958186619330428127e-04	4.513880219937943354e-03	2.214350924341781414e-03	6.089544662153148380e+00	7.177554476011585582e-02	nan
nan	4.279999999999999361e+00	8.560000000000002069e-04	nan	1.200000000000000000e+01	3.153243008854842984e-04	5.162294942808572096e-03	2.119390221997996451e-03	7.818248302149712003e+00	3.322837131524107590e-02	nan
nan	6.003999999999999915e+01	1.200800000000000131e-02	nan	1.400000000000000000e+01	7.798768908946840731e-04	3.345584180062627540e-03	2.499465156928231454e-03	3.630899384301129906e+00	2.173747343159491696e-01	nan
nan	2.776000000000000156e+01	5.551999999999999644e-03	nan	1.400000000000000000e+01	5.285594297259877099e-04	3.519435359469470694e-03	2.703250195098409140e-03	5.300597769729703757e+00	1.470927136139267011e-01	nan
nan	1.683999999999999986e+01	3.368000000000000334e-03	nan	1.400000000000000000e+01	4.072954927155000284e-04	4.441904298248865700e-03	2.168004535749265549e-03	7.598003131014083422e+00	1.325087679773694904e-01	nan
nan	6.479999999999999538e+00	1.295999999999999843e-03	nan	1.400000000000000000e+01	4.060933296528188258e-04	4.571042908520577333e-03	2.191875372105731891e-03	6.953887273664848934e+00	4.501943319091404605e-02	nan
