Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays
49,0.04,170,2.25,1,500000.0
50,0.04,170,3.0,1,500000.0
51,0.04,170,5.0,1,500000.0
52,0.04,180,1.5,1,500000.0
53,0.04,180,2.25,1,500000.0
54,0.04,180,3.0,1,500000.0
55,0.04,180,5.0,1,500000.0
56,0.04,190,1.5,1,500000.0
57,0.04,190,2.25,1,500000.0
58,0.04,190,3.0,1,500000.0
59,0.04,190,5.0,1,500000.0
60,0.04,200,1.5,1,500000.0
61,0.04,200,2.25,1,500000.0
62,0.04,200,3.0,1,500000.0
63,0.04,200,5.0,1,500000.0
64,0.04,210,1.5,1,500000.0
65,0.04,210,2.25,1,500000.0
66,0.04,210,3.0,1,500000.0
67,0.04,210,5.0,1,500000.0
68,0.04,220,1.5,1,500000.0
69,0.04,220,2.25,1,500000.0
70,0.04,220,3.0,1,500000.0
71,0.04,220,5.0,1,500000.0
72,0.04,230,1.5,1,500000.0
73,0.04,230,2.25,1,500000.0
74,0.04,230,3.0,1,500000.0
75,0.04,230,5.0,1,500000.0
76,0.04,240,1.5,1,500000.0
77,0.04,240,2.25,1,500000.0
78,0.04,240,3.0,1,500000.0
79,0.04,240,5.0,1,500000.0
80,0.04,250,1.5,1,500000.0
81,0.04,250,2.25,1,500000.0
82,0.04,250,3.0,1,500000.0
83,0.04,250,5.0,1,500000.0
84,0.04,260,1.5,1,500000.0
85,0.04,260,2.25,1,500000.0
86,0.04,260,3.0,1,500000.0
87,0.04,260,5.0,1,500000.0
88,0.04,270,1.5,1,500000.0
89,0.04,270,2.25,1,500000.0
90,0.04,270,3.0,1,500000.0
91,0.04,270,5.0,1,500000.0
92,0.04,280,1.5,1,500000.0
93,0.04,280,2.25,1,500000.0
94,0.04,280,3.0,1,500000.0
95,0.04,280,5.0,1,500000.0
96,0.04,290,1.5,1,500000.0
97,0.04,290,2.25,1,500000.0
98,0.04,290,3.0,1,500000.0
99,0.04,290,5.0,1,500000.0
100,0.04,300,1.5,1,500000.0
101,0.04,300,2.25,1,500000.0
102,0.04,300,3.0,1,500000.0
103,0.04,300,5.0,1,500000.0
104,0.04,310,1.5,1,500000.0
105,0.04,310,2.25,1,500000.0
106,0.04,310,3.0,1,500000.0
107,0.04,310,5.0,1,500000.0
108,0.04,320,1.5,1,500000.0
109,0.04,320,2.25,1,500000.0
110,0.04,320,3.0,1,500000.0
111,0.04,320,5.0,1,500000.0
112,0.04,330,1.5,1,500000.0
113,0.04,330,2.25,1,500000.0
114,0.04,330,3.0,1,500000.0
115,0.04,330,5.0,1,500000.0
116,0.04,340,1.5,1,500000.0
117,0.04,340,2.25,1,500000.0
118,0.04,340,3.0,1,500000.0
119,0.04,340,5.0,1,500000.0
120,0.04,350,1.5,1,500000.0
121,0.04,350,2.25,1,500000.0
122,0.04,350,3.0,1,500000.0
123,0.04,350,5.0,1,500000.0
124,0.04,360,1.5,1,500000.0
125,0.04,360,2.25,1,500000.0
126,0.04,360,3.0,1,500000.0
127,0.04,360,5.0,1,500000.0
128,0.04,370,1.5,1,500000.0
129,0.04,370,2.25,1,500000.0
130,0.04,370,3.0,1,500000.0
131,0.04,370,5.0,1,500000.0
132,0.04,380,1.5,1,500000.0
133,0.04,380,2.25,1,500000.0
134,0.04,380,3.0,1,500000.0
135,0.04,380,5.0,1,500000.0
136,0.04,390,1.5,1,500000.0
137,0.04,390,2.25,1,500000.0
138,0.04,390,3.0,1,500000.0
139,0.04,390,5.0,1,500000.0
140,0.04,400,1.5,1,500000.0
141,0.04,400,2.25,1,500000.0
142,0.04,400,3.0,1,500000.0
143,0.04,400,5.0,1,500000.0
144,0.04,410,1.5,1,500000.0
145,0.04,410,2.25,1,500000.0
146,0.04,410,3.0,1,500000.0
147,0.04,410,5.0,1,500000.0
148,0.04,420,1.5,1,500000.0
149,0.04,420,2.25,1,500000.0
150,0.04,420,3.0,1,500000.0
151,0.04,420,5.0,1,500000.0
152,0.04,430,1.5,1,500000.0
153,0.04,430,2.25,1,500000.0
154,0.04,430,3.0,1,500000.0
155,0.04,430,5.0,1,500000.0
156,0.04,440,1.5,1,500000.0
157,0.04,440,2.25,1,500000.0
158,0.04,440,3.0,1,500000.0
159,0.04,440,5.0,1,500000.0
160,0.04,450,1.5,1,500000.0
161,0.04,450,2.25,1,500000.0
162,0.04,450,3.0,1,500000.0
163,0.04,450,5.0,1,500000.0
164,0.04,460,1.5,1,500000.0
165,0.04,460,2.25,1,500000.0
166,0.04,460,3.0,1,500000.0
167,0.04,460,5.0,1,500000.0
168,0.04,470,1.5,1,500000.0
169,0.04,470,2.25,1,500000.0
170,0.04,470,3.0,1,500000.0
171,0.04,470,5.0,1,500000.0
172,0.04,480,1.5,1,500000.0
173,0.04,480,2.25,1,500000.0
174,0.04,480,3.0,1,500000.0
175,0.04,480,5.0,1,500000.0
176,0.04,490,1.5,1,500000.0
177,0.04,490,2.25,1,500000.0
178,0.04,490,3.0,1,500000.0
179,0.04,490,5.0,1,500000.0
180,0.04,500,1.5,1,500000.0
181,0.04,500,2.25,1,500000.0
182,0.04,500,3.0,1,500000.0
183,0.04,500,5.0,1,500000.0
184,0.04,510,1.5,1,500000.0
185,0.04,510,2.25,1,500000.0
186,0.04,510,3.0,1,500000.0
187,0.04,510,5.0,1,500000.0
188,0.04,520,1.5,1,500000.0
189,0.04,520,2.25,1,500000.0
190,0.04,520,3.0,1,500000.0
191,0.04,520,5.0,1,500000.0
192,0.04,530,1.5,1,500000.0
193,0.04,530,2.25,1,500000.0
194,0.04,530,3.0,1,500000.0
195,0.04,530,5.0,1,500000.0
196,0.04,540,1.5,1,500000.0
197,0.04,540,2.25,1,500000.0
198,0.04,540,3.0,1,500000.0
199,0.04,540,5.0,1,500000.0
200,0.04,550,1.5,1,500000.0
201,0.04,550,2.25,1,500000.0
202,0.04,550,3.0,1,500000.0
203,0.04,550,5.0,1,500000.0
204,0.04,560,1.5,1,500000.0
205,0.04,560,2.25,1,500000.0
206,0.04,560,3.0,1,500000.0
207,0.04,560,5.0,1,500000.0
208,0.04,570,1.5,1,500000.0
209,0.04,570,2.25,1,500000.0
210,0.04,570,3.0,1,500000.0
211,0.04,570,5.0,1,500000.0
212,0.04,580,1.5,1,500000.0
213,0.04,580,2.25,1,500000.0
214,0.04,580,3.0,1,500000.0
215,0.04,580,5.0,1,500000.0
216,0.04,590,1.5,1,500000.0
217,0.04,590,2.25,1,500000.0
218,0.04,590,3.0,1,500000.0
219,0.04,590,5.0,1,500000.0
220,0.04,600,1.5,1,500000.0
221,0.04,600,2.25,1,500000.0
222,0.04,600,3.0,1,500000.0
223,0.04,600,5.0,1,500000.0
224,0.04,610,1.5,1,500000.0
225,0.04,610,2.25,1,500000.0
226,0.04,610,3.0,1,500000.0
227,0.04,610,5.0,1,500000.0
228,0.04,620,1.5,1,500000.0
229,0.04,620,2.25,1,500000.0
230,0.04,620,3.0,1,500000.0
231,0.04,620,5.0,1,500000.0
232,0.04,630,1.5,1,500000.0
233,0.04,630,2.25,1,500000.0
234,0.04,630,3.0,1,500000.0
235,0.04,630,5.0,1,500000.0
236,0.04,640,1.5,1,500000.0
237,0.04,640,2.25,1,500000.0
238,0.04,640,3.0,1,500000.0
239,0.04,640,5.0,1,500000.0
240,0.04,650,1.5,1,500000.0
241,0.04,650,2.25,1,500000.0
242,0.04,650,3.0,1,500000.0
243,0.04,650,5.0,1,500000.0
244,0.04,660,1.5,1,500000.0
245,0.04,660,2.25,1,500000.0
246,0.04,660,3.0,1,500000.0
247,0.04,660,5.0,1,500000.0
248,0.04,670,1.5,1,500000.0
249,0.04,670,2.25,1,500000.0
250,0.04,670,3.0,1,500000.0
251,0.04,670,5.0,1,500000.0
252,0.04,680,1.5,1,500000.0
253,0.04,680,2.25,1,500000.0
254,0.04,680,3.0,1,500000.0
255,0.04,680,5.0,1,500000.0
256,0.04,690,1.5,1,500000.0
257,0.04,690,2.25,1,500000.0
258,0.04,690,3.0,1,500000.0
259,0.04,690,5.0,1,500000.0
260,0.04,700,1.5,1,500000.0
261,0.04,700,2.25,1,500000.0
262,0.04,700,3.0,1,500000.0
263,0.04,700,5.0,1,500000.0
264,0.04,710,1.5,1,500000.0
265,0.04,710,2.25,1,500000.0
266,0.04,710,3.0,1,500000.0
267,0.04,710,5.0,1,500000.0
268,0.04,720,1.5,1,500000.0
269,0.04,720,2.25,1,500000.0
270,0.04,720,3.0,1,500000.0
271,0.04,720,5.0,1,500000.0
272,0.04,730,1.5,1,500000.0
273,0.04,730,2.25,1,500000.0
274,0.04,730,3.0,1,500000.0
275,0.04,730,5.0,1,500000.0
276,0.04,740,1.5,1,500000.0
277,0.04,740,2.25,1,500000.0
278,0.04,740,3.0,1,500000.0
279,0.04,740,5.0,1,500000.0
280,0.04,750,1.5,1,500000.0
281,0.04,750,2.25,1,500000.0
282,0.04,750,3.0,1,500000.0
283,0.04,750,5.0,1,500000.0
284,0.04,760,1.5,1,500000.0
285,0.04,760,2.25,1,500000.0
286,0.04,760,3.0,1,500000.0
287,0.04,760,5.0,1,500000.0
288,0.04,770,1.5,1,500000.0
289,0.04,770,2.25,1,500000.0
290,0.04,770,3.0,1,500000.0
291,0.04,770,5.0,1,500000.0
292,0.04,780,1.5,1,500000.0
293,0.04,780,2.25,1,500000.0
294,0.04,780,3.0,1,500000.0
295,0.04,780,5.0,1,500000.0
296,0.04,790,1.5,1,500000.0
297,0.04,790,2.25,1,500000.0
298,0.04,790,3.0,1,500000.0
299,0.04,790,5.0,1,500000.0
300,0.04,800,1.5,1,500000.0
301,0.04,800,2.25,1,500000.0
302,0.04,800,3.0,1,500000.0
303,0.04,800,5.0,1,500000.0
304,0.04,810,1.5,1,500000.0
305,0.04,810,2.25,1,500000.0
306,0.04,810,3.0,1,500000.0
307,0.04,810,5.0,1,500000.0
308,0.04,820,1.5,1,500000.0
309,0.04,820,2.25,1,500000.0
310,0.04,820,3.0,1,500000.0
311,0.04,820,5.0,1,500000.0
312,0.04,830,1.5,1,500000.0
313,0.04,830,2.25,1,500000.0
314,0.04,830,3.0,1,500000.0
315,0.04,830,5.0,1,500000.0
316,0.04,840,1.5,1,500000.0
317,0.04,840,2.25,1,500000.0
318,0.04,840,3.0,1,500000.0
319,0.04,840,5.0,1,500000.0
320,0.04,850,1.5,1,500000.0
321,0.04,850,2.25,1,500000.0
322,0.04,850,3.0,1,500000.0
323,0.04,850,5.0,1,500000.0
324,0.04,860,1.5,1,500000.0
325,0.04,860,2.25,1,500000.0
326,0.04,860,3.0,1,500000.0
327,0.04,860,5.0,1,500000.0
328,0.04,870,1.5,1,500000.0
329,0.04,870,2.25,1,500000.0
330,0.04,870,3.0,1,500000.0
331,0.04,870,5.0,1,500000.0
332,0.04,880,1.5,1,500000.0
333,0.04,880,2.25,1,500000.0
334,0.04,880,3.0,1,500000.0
335,0.04,880,5.0,1,500000.0
336,0.04,890,1.5,1,500000.0
337,0.04,890,2.25,1,500000.0
338,0.04,890,3.0,1,500000.0
339,0.04,890,5.0,1,500000.0
340,0.04,900,1.5,1,500000.0
341,0.04,900,2.25,1,500000.0
342,0.04,900,3.0,1,500000.0
343,0.04,900,5.0,1,500000.0
344,0.04,910,1.5,1,500000.0
345,0.04,910,2.25,1,500000.0
346,0.04,910,3.0,1,500000.0
347,0.04,910,5.0,1,500000.0
348,0.04,920,1.5,1,500000.0
349,0.04,920,2.25,1,500000.0
350,0.04,920,3.0,1,500000.0
351,0.04,920,5.0,1,500000.0
352,0.04,930,1.5,1,500000.0
353,0.04,930,2.25,1,500000.0
354,0.04,930,3.0,1,500000.0
355,0.04,930,5.0,1,500000.0
356,0.04,940,1.5,1,500000.0
357,0.04,940,2.25,1,500000.0
358,0.04,940,3.0,1,500000.0
359,0.04,940,5.0,1,500000.0
360,0.04,950,1.5,1,500000.0
361,0.04,950,2.25,1,500000.0
362,0.04,950,3.0,1,500000.0
363,0.04,950,5.0,1,500000.0
364,0.04,960,1.5,1,500000.0
365,0.04,960,2.25,1,500000.0
366,0.04,960,3.0,1,500000.0
367,0.04,960,5.0,1,500000.0
368,0.04,970,1.5,1,500000.0
369,0.04,970,2.25,1,500000.0
370,0.04,970,3.0,1,500000.0
371,0.04,970,5.0,1,500000.0
372,0.04,980,1.5,1,500000.0
373,0.04,980,2.25,1,500000.0
374,0.04,980,3.0,1,500000.0
375,0.04,980,5.0,1,500000.0
376,0.04,990,1.5,1,500000.0
377,0.04,990,2.25,1,500000.0
378,0.04,990,3.0,1,500000.0
379,0.04,990,5.0,1,500000.0
380,0.04,1000,1.5,1,500000.0
381,0.04,1000,2.25,1,500000.0
382,0.04,1000,3.0,1,500000.0
383,0.04,1000,5.0,1,500000.0
384,0.04,1010,1.5,1,500000.0
385,0.04,1010,2.25,1,500000.0
386,0.04,1010,3.0,1,500000.0
387,0.04,1010,5.0,1,500000.0
388,0.04,1020,1.5,1,500000.0
389,0.04,1020,2.25,1,500000.0
390,0.04,1020,3.0,1,500000.0
391,0.04,1020,5.0,1,500000.0
392,0.04,1030,1.5,1,500000.0
393,0.04,1030,2.25,1,500000.0
394,0.04,1030,3.0,1,500000.0
395,0.04,1030,5.0,1,500000.0
396,0.04,1040,1.5,1,500000.0
397,0.04,1040,2.25,1,500000.0
398,0.04,1040,3.0,1,500000.0
399,0.04,1040,5.0,1,500000.0
400,0.04,1050,1.5,1,500000.0
401,0.04,1050,2.25,1,500000.0
402,0.04,1050,3.0,1,500000.0
403,0.04,1050,5.0,1,500000.0
404,0.04,1060,1.5,1,500000.0
405,0.04,1060,2.25,1,500000.0
406,0.04,1060,3.0,1,500000.0
407,0.04,1060,5.0,1,500000.0
408,0.04,1070,1.5,1,500000.0
409,0.04,1070,2.25,1,500000.0
410,0.04,1070,3.0,1,500000.0
411,0.04,1070,5.0,1,500000.0
412,0.04,1080,1.5,1,500000.0
413,0.04,1080,2.25,1,500000.0
414,0.04,1080,3.0,1,500000.0
415,0.04,1080,5.0,1,500000.0
416,0.04,1090,1.5,1,500000.0
417,0.04,1090,2.25,1,500000.0
418,0.04,1090,3.0,1,500000.0
419,0.04,1090,5.0,1,500000.0
420,0.04,1100,1.5,1,500000.0
421,0.04,1100,2.25,1,500000.0
422,0.04,1100,3.0,1,500000.0
423,0.04,1100,5.0,1,500000.0
424,0.04,1110,1.5,1,500000.0
425,0.04,1110,2.25,1,500000.0
426,0.04,1110,3.0,1,500000.0
427,0.04,1110,5.0,1,500000.0
428,0.04,1120,1.5,1,500000.0
429,0.04,1120,2.25,1,500000.0
430,0.04,1120,3.0,1,500000.0
431,0.04,1120,5.0,1,500000.0
432,0.04,1130,1.5,1,500000.0
433,0.04,1130,2.25,1,500000.0
434,0.04,1130,3.0,1,500000.0
435,0.04,1130,5.0,1,500000.0
436,0.04,1140,1.5,1,500000.0
437,0.04,1140,2.25,1,500000.0
438,0.04,1140,3.0,1,500000.0
439,0.04,1140,5.0,1,500000.0
440,0.04,1150,1.5,1,500000.0
441,0.04,1150,2.25,1,500000.0
442,0.04,1150,3.0,1,500000.0
443,0.04,1150,5.0,1,500000.0
444,0.04,1160,1.5,1,500000.0
445,0.04,1160,2.25,1,500000.0
446,0.04,1160,3.0,1,500000.0
447,0.04,1160,5.0,1,500000.0
448,0.04,1170,1.5,1,500000.0
449,0.04,1170,2.25,1,500000.0
450,0.04,1170,3.0,1,500000.0
451,0.04,1170,5.0,1,500000.0
452,0.04,1180,1.5,1,500000.0
453,0.04,1180,2.25,1,500000.0
454,0.04,1180,3.0,1,500000.0
455,0.04,1180,5.0,1,500000.0
456,0.04,1190,1.5,1,500000.0
457,0.04,1190,2.25,1,500000.0
458,0.04,1190,3.0,1,500000.0
459,0.04,1190,5.0,1,500000.0
460,0.04,1200,1.5,1,500000.0
461,0.04,1200,2.25,1,500000.0
462,0.04,1200,3.0,1,500000.0
463,0.04,1200,5.0,1,500000.0
464,0.04,1210,1.5,1,500000.0
465,0.04,1210,2.25,1,500000.0
466,0.04,1210,3.0,1,500000.0
467,0.04,1210,5.0,1,500000.0
468,0.04,1220,1.5,1,500000.0
469,0.04,1220,2.25,1,500000.0
470,0.04,1220,3.0,1,500000.0
471,0.04,1220,5.0,1,500000.0
472,0.04,1230,1.5,1,500000.0
473,0.04,1230,2.25,1,500000.0
474,0.04,1230,3.0,1,500000.0
475,0.04,1230,5.0,1,500000.0
476,0.04,1240,1.5,1,500000.0
477,0.04,1240,2.25,1,500000.0
478,0.04,1240,3.0,1,500000.0
479,0.04,1240,5.0,1,500000.0
480,0.04,1250,1.5,1,500000.0
481,0.04,1250,2.25,1,500000.0
482,0.04,1250,3.0,1,500000.0
483,0.04,1250,5.0,1,500000.0
484,0.04,1260,1.5,1,500000.0
485,0.04,1260,2.25,1,500000.0
486,0.04,1260,3.0,1,500000.0
487,0.04,1260,5.0,1,500000.0
488,0.04,1270,1.5,1,500000.0
489,0.04,1270,2.25,1,500000.0
490,0.04,1270,3.0,1,500000.0
491,0.04,1270,5.0,1,500000.0
492,0.04,1280,1.5,1,500000.0
493,0.04,1280,2.25,1,500000.0
494,0.04,1280,3.0,1,500000.0
495,0.04,1280,5.0,1,500000.0
496,0.04,1290,1.5,1,500000.0
497,0.04,1290,2.25,1,500000.0
498,0.04,1290,3.0,1,500000.0
499,0.04,1290,5.0,1,500000.0
500,0.04,1300,1.5,1,500000.0
501,0.04,1300,2.25,1,500000.0
502,0.04,1300,3.0,1,500000.0
503,0.04,1300,5.0,1,500000.0
504,0.04,1310,1.5,1,500000.0
505,0.04,1310,2.25,1,500000.0
506,0.04,1310,3.0,1,500000.0
507,0.04,1310,5.0,1,500000.0
508,0.04,1320,1.5,1,500000.0
509,0.04,1320,2.25,1,500000.0
510,0.04,1320,3.0,1,500000.0
511,0.04,1320,5.0,1,500000.0
512,0.04,1330,1.5,1,500000.0
513,0.04,1330,2.25,1,500000.0
514,0.04,1330,3.0,1,500000.0
515,0.04,1330,5.0,1,500000.0
516,0.04,1340,1.5,1,500000.0
517,0.04,1340,2.25,1,500000.0
518,0.04,1340,3.0,1,500000.0
519,0.04,1340,5.0,1,500000.0
520,0.04,1350,1.5,1,500000.0
521,0.04,1350,2.25,1,500000.0
522,0.04,1350,3.0,1,500000.0
523,0.04,1350,5.0,1,500000.0
524,0.04,1360,1.5,1,500000.0
525,0.04,1360,2.25,1,500000.0
526,0.04,1360,3.0,1,500000.0
527,0.04,1360,5.0,1,500000.0
528,0.04,1370,1.5,1,500000.0
529,0.04,1370,2.25,1,500000.0
530,0.04,1370,3.0,1,500000.0
531,0.04,1370,5.0,1,500000.0
532,0.04,1380,1.5,1,500000.0
533,0.04,1380,2.25,1,500000.0
534,0.04,1380,3.0,1,500000.0
535,0.04,1380,5.0,1,500000.0
536,0.04,1390,1.5,1,500000.0
537,0.04,1390,2.25,1,500000.0
538,0.04,1390,3.0,1,500000.0
539,0.04,1390,5.0,1,500000.0
540,0.04,1400,1.5,1,500000.0
541,0.04,1400,2.25,1,500000.0
542,0.04,1400,3.0,1,500000.0
543,0.04,1400,5.0,1,500000.0
544,0.04,1410,1.5,1,500000.0
545,0.04,1410,2.25,1,500000.0
546,0.04,1410,3.0,1,500000.0
547,0.04,1410,5.0,1,500000.0
548,0.04,1420,1.5,1,500000.0
549,0.04,1420,2.25,1,500000.0
550,0.04,1420,3.0,1,500000.0
551,0.04,1420,5.0,1,500000.0
552,0.04,1430,1.5,1,500000.0
553,0.04,1430,2.25,1,500000.0
554,0.04,1430,3.0,1,500000.0
555,0.04,1430,5.0,1,500000.0
556,0.04,1440,1.5,1,500000.0
557,0.04,1440,2.25,1,500000.0
558,0.04,1440,3.0,1,500000.0
559,0.04,1440,5.0,1,500000.0
560,0.04,1450,1.5,1,500000.0
561,0.04,1450,2.25,1,500000.0
562,0.04,1450,3.0,1,500000.0
563,0.04,1450,5.0,1,500000.0
564,0.04,1460,1.5,1,500000.0
565,0.04,1460,2.25,1,500000.0
566,0.04,1460,3.0,1,500000.0
567,0.04,1460,5.0,1,500000.0
568,0.04,1470,1.5,1,500000.0
569,0.04,1470,2.25,1,500000.0
570,0.04,1470,3.0,1,500000.0
571,0.04,1470,5.0,1,500000.0
572,0.04,1480,1.5,1,500000.0
573,0.04,1480,2.25,1,500000.0
574,0.04,1480,3.0,1,500000.0
575,0.04,1480,5.0,1,500000.0
576,0.04,1490,1.5,1,500000.0
577,0.04,1490,2.25,1,500000.0
578,0.04,1490,3.0,1,500000.0
579,0.04,1490,5.0,1,500000.0
580,0.04,1500,1.5,1,500000.0
581,0.04,1500,2.25,1,500000.0
582,0.04,1500,3.0,1,500000.0
583,0.04,1500,5.0,1,500000.0
584,0.04,1510,1.5,1,500000.0
585,0.04,1510,2.25,1,500000.0
586,0.04,1510,3.0,1,500000.0
587,0.04,1510,5.0,1,500000.0
588,0.04,1520,1.5,1,500000.0
589,0.04,1520,2.25,1,500000.0
590,0.04,1520,3.0,1,500000.0
591,0.04,1520,5.0,1,500000.0
592,0.04,1530,1.5,1,500000.0
593,0.04,1530,2.25,1,500000.0
594,0.04,1530,3.0,1,500000.0
595,0.04,1530,5.0,1,500000.0
596,0.04,1540,1.5,1,500000.0
597,0.04,1540,2.25,1,500000.0
598,0.04,1540,3.0,1,500000.0
599,0.04,1540,5.0,1,500000.0
600,0.04,1550,1.5,1,500000.0
601,0.04,1550,2.25,1,500000.0
602,0.04,1550,3.0,1,500000.0
603,0.04,1550,5.0,1,500000.0
604,0.04,1560,1.5,1,500000.0
605,0.04,1560,2.25,1,500000.0
606,0.04,1560,3.0,1,500000.0
607,0.04,1560,5.0,1,500000.0
608,0.04,1570,1.5,1,500000.0
609,0.04,1570,2.25,1,500000.0
610,0.04,1570,3.0,1,500000.0
611,0.04,1570,5.0,1,500000.0
612,0.04,1580,1.5,1,500000.0
613,0.04,1580,2.25,1,500000.0
614,0.04,1580,3.0,1,500000.0
615,0.04,1580,5.0,1,500000.0
616,0.04,1590,1.5,1,500000.0
617,0.04,1590,2.25,1,500000.0
618,0.04,1590,3.0,1,500000.0
619,0.04,1590,5.0,1,500000.0
620,0.04,1600,1.5,1,500000.0
621,0.04,1600,2.25,1,500000.0
622,0.04,1600,3.0,1,500000.0
623,0.04,1600,5.0,1,500000.0
624,0.04,1610,1.5,1,500000.0
625,0.04,1610,2.25,1,500000.0
626,0.04,1610,3.0,1,500000.0
627,0.04,1610,5.0,1,500000.0
628,0.04,1620,1.5,1,500000.0
629,0.04,1620,2.25,1,500000.0
630,0.04,1620,3.0,1,500000.0
631,0.04,1620,5.0,1,500000.0
632,0.04,1630,1.5,1,500000.0
633,0.04,1630,2.25,1,500000.0
634,0.04,1630,3.0,1,500000.0
635,0.04,1630,5.0,1,500000.0
636,0.04,1640,1.5,1,500000.0
637,0.04,1640,2.25,1,500000.0
638,0.04,1640,3.0,1,500000.0
639,0.04,1640,5.0,1,500000.0
640,0.04,1650,1.5,1,500000.0
641,0.04,1650,2.25,1,500000.0
642,0.04,1650,3.0,1,500000.0
643,0.04,1650,5.0,1,500000.0
644,0.04,1660,1.5,1,500000.0
645,0.04,1660,2.25,1,500000.0
646,0.04,1660,3.0,1,500000.0
647,0.04,1660,5.0,1,500000.0
648,0.04,1670,1.5,1,500000.0
649,0.04,1670,2.25,1,500000.0
650,0.04,1670,3.0,1,500000.0
651,0.04,1670,5.0,1,500000.0
652,0.04,1680,1.5,1,500000.0
653,0.04,1680,2.25,1,500000.0
654,0.04,1680,3.0,1,500000.0
655,0.04,1680,5.0,1,500000.0
656,0.04,1690,1.5,1,500000.0
657,0.04,1690,2.25,1,500000.0
658,0.04,1690,3.0,1,500000.0
