,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,500,2,100000.0,1.17577026432641,,0.4,73867.4,73.8674,400.0,0.3996731579682205,0.0773125549119818,0.5871614928237712,0.011007605381225,0.0001468690753307,0.0025803415640451,-0.0005991495306806,1024747905644204.8,0.8006542689058843,73.92781077212695,1025585972399166.0,0.0222361215965236,0.0124340880434026
1,1,0.03,1074,2,100000.0,1.42225871849266,,1.074,91230.6,91.2306,1074.0,1.0724128110440234,0.0970091289398135,0.5138607825855962,0.0132761103399272,0.0001442983297455,0.003202014993707,-0.0001583702829396,741335303174850.2,1.0014809720879647,91.36565996060956,742432793675244.5,0.034795786389405,0.017735930791173
2,2,0.03,1650,2,100000.0,1.73009007495967,,1.65,92463.6,92.4636,1650.0,1.6474768841501828,0.0923583041144892,0.4510502112672411,0.0133359940166905,0.0001331680467331,0.0031305351233086,5.539043432072005e-05,525716069154845.1,1.0015334075231137,92.605345725634,526521986355773.9,0.0374156767538256,0.0243132680230334
3,3,0.03,2548,2,100000.0,2.38210252419051,,2.548,91151.2,91.1512,2548.0,2.54595606312123,0.0928952623831999,0.369460108808799,0.0132951829672543,0.0001336214245763,0.0031651557106032,3.150946855251657e-05,339983777264335.7,1.0008029296564735,91.22436668029832,340256680795366.8,0.0373047840801935,0.0195230731968912
4,4,0.03,3696,2,100000.0,3.69916552933537,,3.696,87728.6,87.7286,3696.0,3.6872691206023775,0.0946527906294589,0.334034518134028,0.013253822862911,0.0001247353475351,0.0031911089276933,-0.000144228731993,181418192018363.3,1.0023734022645117,87.93691977449495,181848986501012.62,0.0290536354878898,0.0102795247198551
5,5,0.03,4848,2,100000.0,5.63675358463856,,4.848,72680.6,72.68060000000001,4848.0,4.828810636263734,0.0980433515193692,0.3192265778304784,0.0133082000480311,0.0001155051260704,0.0032867589985487,-0.0001385789699035,95137744831536.9,1.0039837430119871,72.97003419909416,95516609576447.34,0.0187779459754913,0.0042621305975517
6,6,0.03,6000,2,100000.0,7.77006215966874,,6.0,30324.0,30.324,6000.0,5.988328824431119,0.0982181009917794,0.2913623193558947,0.013112923447681,0.0001190437214685,0.0030730794177491,-0.0006014792827938,22185038400000.0,1.0019511256519582,30.38318519545789,22228338288997.0,0.0044852065463317,0.0007199708701944
