,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,500.0,1.5,1,100000.0,,100000.0,100.0,500.0,0.4989009413701524,0.19490493068974,0.0380788163755566,1387280323450134.8,1.0022029596232656,100.22029596232656,1390336445988846.2,0.0301027538488205,0.0168329845688391
1,1,0.03,500.0,2.25,1,100000.0,,100000.0,100.0,500.0,0.4987793769979589,0.1816213136972896,0.0357451093723897,1387280323450134.8,1.0024472202707893,100.24472202707894,1390675303978949.0,0.0301027538488205,0.0168329845688391
2,2,0.03,500.0,3.0,1,100000.0,,100000.0,100.0,500.0,0.4991984449857227,0.1687580224951722,0.0380308053285732,1387280323450134.8,1.001605684116865,100.1605684116865,1389507857431138.0,0.0301027538488205,0.0168329845688391
3,3,0.03,500.0,5.0,1,100000.0,,100000.0,100.0,500.0,0.4996435979635976,0.1754693183616424,0.0412122201221244,1387280323450134.8,1.0007133125248775,100.07133125248778,1388269887880368.2,0.0301027538488205,0.0168329845688391
4,4,0.03,510.0,1.5,1,100000.0,,100000.0,100.0,510.0,0.5096496101932075,0.1758616638916872,0.0373579625972766,1379294669594729.5,1.000687511183732,100.0687511183732,1380242950105737.8,0.0305404590916379,0.017127244376718
5,5,0.03,510.0,2.25,1,100000.0,,100000.0,100.0,510.0,0.5071222495931806,0.1699727379989422,0.0357836264456488,1379294669594729.5,1.0056746680097903,100.56746680097903,1387121708932353.0,0.0305404590916379,0.017127244376718
6,6,0.03,510.0,3.0,1,100000.0,,100000.0,100.0,510.0,0.5077906436311537,0.1701732099230163,0.0373020477336221,1379294669594729.5,1.004350919806335,100.43509198063347,1385295870091441.2,0.0305404590916379,0.017127244376718
7,7,0.03,510.0,5.0,1,100000.0,,100000.0,100.0,510.0,0.5095070619136095,0.1764677673417829,0.042709603321233,1379294669594729.5,1.000967480381016,100.0967480381016,1380629110127202.2,0.0305404590916379,0.017127244376718
8,8,0.03,520.0,1.5,1,100000.0,,100000.0,100.0,520.0,0.5198717210087125,0.1729512946761431,0.0351839888924323,1371309043721301.5,1.0002467512390143,100.02467512390146,1371647415926911.5,0.0309715735064132,0.0174111045842883
9,9,0.03,520.0,2.25,1,100000.0,,100000.0,100.0,520.0,0.5197357912703637,0.1723970630117036,0.0361789111393825,1371309043721301.5,1.0005083520012938,100.05083520012936,1372006151418069.5,0.0309715735064132,0.0174111045842883
10,10,0.03,520.0,3.0,1,100000.0,,100000.0,100.0,520.0,0.5195655430682109,0.1797339640292445,0.0401863689820401,1371309043721301.5,1.0008361927336895,100.08361927336895,1372455722379304.0,0.0309715735064132,0.0174111045842883
11,11,0.03,520.0,5.0,1,100000.0,,100000.0,100.0,520.0,0.5197775236018742,0.1749241031556531,0.04034834665275,1371309043721301.5,1.0004280223519173,100.04280223519171,1371895994643400.5,0.0309715735064132,0.0174111045842883
12,12,0.03,530.0,1.5,1,100000.0,,100000.0,100.0,530.0,0.5296248482991359,0.1738534025110435,0.035741235349752,1362362982929020.8,1.0007083347808716,100.07083347808717,1363327992014001.5,0.0313681858197426,0.0176902917981379
13,13,0.03,530.0,2.25,1,100000.0,,100000.0,100.0,530.0,0.5296424291025232,0.179948847711121,0.040561080863599,1362362982929020.8,1.000675117546913,100.06751175469132,1363282738084061.0,0.0313681858197426,0.0176902917981379
