,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,500.0,1.5,1,30000.0,,30000.0,100.0,500.0,0.4989098644543333,0.1715359896408725,0.0421456779153623,1387280323450134.8,1.0021850350601085,100.21850350601086,1390311579595072.0,0.0301027538488205,0.0168329845688391
1,1,0.03,500.0,2.25,1,30000.0,,30000.0,100.0,500.0,0.498618971398912,0.1853336639579034,0.0405691883175745,1387280323450134.8,1.0027697072921502,100.27697072921502,1391122683878251.2,0.0301027538488205,0.0168329845688391
2,2,0.03,500.0,3.0,1,30000.0,,30000.0,100.0,500.0,0.4989962223793327,0.1829562534853213,0.0405003314343281,1387280323450134.8,1.0020115936266631,100.20115936266632,1390070967707182.2,0.0301027538488205,0.0168329845688391
3,3,0.03,500.0,5.0,1,30000.0,,30000.0,100.0,500.0,0.4906943935119443,0.1860588359087461,0.0411295017402482,1387280323450134.8,1.0189641589777592,101.89641589777592,1413588928050760.5,0.0301027538488205,0.0168329845688391
4,4,0.03,1000.0,1.5,1,30000.0,,30000.0,100.0,1000.0,0.9978761899342316,0.1995657579919005,0.0330483279213412,761799730458221.0,1.0021283302349446,100.21283302349444,763421091857527.9,0.0332743527934236,0.0175329111698865
5,5,0.03,1000.0,2.25,1,30000.0,,300000.0,100.0,1000.0,0.9998575497734236,0.1793904900105308,0.0323215681021442,761799730458221.0,1.0001424705215345,100.01424705215344,761908264463124.1,0.0332743527934236,0.0175329111698865
6,6,0.03,1000.0,3.0,1,30000.0,,30000.0,100.0,1000.0,0.9929409319470324,0.1861494996319386,0.0350584647559921,761799730458221.0,1.0071092527519494,100.71092527519494,767215557288415.4,0.0332743527934236,0.0175329111698865
7,7,0.03,1000.0,5.0,1,30000.0,,30000.0,100.0,1000.0,0.9959443656172198,0.1861469720669012,0.0330511773282062,761799730458221.0,1.0040721495324358,100.40721495324358,764901892874416.1,0.0332743527934236,0.0175329111698865
8,8,0.03,1500.0,1.5,1,30000.0,,30000.0,100.0,1500.0,1.4954229922084323,0.1888901596383005,0.0310783097953033,635326546906187.6,1.0030606776914728,100.30606776914726,637271076695103.8,0.0415306046838075,0.0269806368789123
9,9,0.03,1500.0,2.25,1,30000.0,,30000.0,100.0,1500.0,1.495169163164519,0.1972854266927664,0.0325350931093139,635326546906187.6,1.0032309633949756,100.32309633949755,637379263723097.8,0.0415306046838075,0.0269806368789123
10,10,0.03,1500.0,3.0,1,30000.0,,30000.0,100.0,1500.0,1.4956338512208731,0.166506317285031,0.0316354443069105,635326546906187.6,1.0029192631442267,100.29192631442264,637181232279119.6,0.0415306046838075,0.0269806368789123
11,11,0.03,1500.0,5.0,1,30000.0,,30000.0,100.0,1500.0,1.4974455466867769,0.1742848463990569,0.0315882304068348,635326546906187.6,1.0017058739256832,100.17058739256832,636410333896849.2,0.0415306046838075,0.0269806368789123
12,12,0.03,2000.0,1.5,1,30000.0,,30000.0,100.0,2000.0,1.993185027787149,0.1768010591607431,0.0303186604868505,483735528942115.75,1.0034191367674563,100.34191367674566,485389486874846.8,0.0412285491782359,0.0255090374007749
13,13,0.03,2000.0,2.25,1,30000.0,,30000.0,100.0,2000.0,1.9950386402385905,0.177085290325669,0.0279703017848461,483735528942115.75,1.0024868489568786,100.24868489568786,484938506137670.56,0.0412285491782359,0.0255090374007749
14,14,0.03,2000.0,3.0,1,30000.0,,300000.0,100.0,2000.0,1.9993965054889031,0.1771683683384479,0.0288599688848301,483735528942115.75,1.0003018383344375,100.03018383344374,483881538868479.9,0.0412285491782359,0.0255090374007749
15,15,0.03,2000.0,5.0,1,30000.0,,300000.0,100.0,2000.0,1.9996588104363584,0.1770393013319016,0.0290983362022186,483735528942115.75,1.0001706238893662,100.0170623889366,483818065779488.5,0.0412285491782359,0.0255090374007749
16,16,0.03,2500.0,1.5,1,30000.0,,30000.0,100.0,2500.0,2.4890642683540136,0.186162463615584,0.0269166292132467,382872455089820.3,1.004393511162015,100.43935111620152,384554609494885.6,0.0411903099361312,0.021867180026833
17,17,0.03,2500.0,2.25,1,30000.0,,30000.0,100.0,2500.0,2.4965132088591417,0.1821461910631954,0.0257092676834197,382872455089820.3,1.001396664407176,100.1396664407176,383407199420332.4,0.0411903099361312,0.021867180026833
18,18,0.03,2500.0,3.0,1,30000.0,,30000.0,100.0,2500.0,2.4948156776636097,0.1952971530971811,0.0267535239746828,382872455089820.3,1.0020780382225454,100.20780382225452,383668078685856.8,0.0411903099361312,0.021867180026833
19,19,0.03,2500.0,5.0,1,30000.0,,30000.0,100.0,2500.0,2.493943907553785,0.1767056986230066,0.0297053535971734,382872455089820.3,1.0024283194292671,100.24283194292671,383802191711446.1,0.0411903099361312,0.021867180026833
